actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-23T02:10:46.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-23T02:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-02-23T02:10:48.3Z,1,REGULAR,jumpball,recovered,[],1628970,,,1610612766,0,0,2024-02-23T02:10:48Z,40000,False,,,0,,Jump Ball N. Richards vs. J. Collins: Tip to M. Bridges,"[1628970, 1630208, 1628381]",1610612766.0,CHA,startperiod,M. Bridges,1628970.0,Bridges,M. Bridges,Richards,1630208.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-02-23T02:10:59.5Z,1,REGULAR,3pt,Jump Shot,[],1641706,70.51576872536137,21.568627450980394,1610612766,0,3,2024-02-23T02:11:05Z,70000,False,-142.0,225.0,1,right,B. Miller 26' 3PT  (3 PTS) (N. Richards 1 AST),"[1641706, 1630208]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,26.59,Made,3.0,N. Richards,1630208.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2024-02-23T02:11:19.6Z,1,REGULAR,3pt,Jump Shot,[],1628374,22.28975032851511,8.57843137254902,1610612762,3,3,2024-02-23T02:11:25Z,90000,False,207.0,157.0,1,left,L. Markkanen 25' 3PT  (3 PTS) (C. Sexton 1 AST),"[1628374, 1629012]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,25.99,Made,3.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,,,
11,PT11M02.00S,2024-02-23T02:11:43.3Z,1,REGULAR,3pt,Jump Shot,[],1641706,70.25295663600527,9.558823529411764,1610612766,3,3,2024-02-23T02:11:48Z,110000,False,-202.0,227.0,1,right,MISS B. Miller 30' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,30.41,Missed,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2024-02-23T02:11:45.3Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,3,3,2024-02-23T02:11:48Z,120000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M54.00S,2024-02-23T02:11:51.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628374,29.77989487516426,73.77450980392157,1610612762,3,3,2024-02-23T02:12:09Z,130000,False,-119.0,227.0,1,left,MISS L. Markkanen 25' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2024-02-23T02:11:54.4Z,1,REGULAR,rebound,offensive,[],1641707,,,1610612762,3,3,2024-02-23T02:12:09Z,140000,False,,,0,,T. Hendricks REBOUND (Off:1 Def:0),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Left Center,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,
15,PT10M45.00S,2024-02-23T02:12:01.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628381,7.440867279894875,48.03921568627451,1610612762,3,3,2024-02-23T02:12:06Z,150000,False,10.0,17.0,1,left,MISS J. Collins Layup - blocked,"[1628381, 1628998]",1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,2.0,Missed,,,,,,,,,Martin,1628998.0,,,,,,,,
16,PT10M45.00S,2024-02-23T02:12:01.4Z,1,REGULAR,block,,[],1628998,,,1610612762,3,3,2024-02-23T02:12:03Z,160000,False,,,0,,C. Martin BLOCK (1 BLK),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
