actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-07T02:10:22.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-07T02:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-07T02:10:25.2Z,1,REGULAR,jumpball,recovered,[],1627739,,,1610612762,0,0,2024-03-07T02:10:25Z,40000,False,,,0,,Jump Ball J. Collins vs. N. Vucevic: Tip to K. Dunn,"[1627739, 1628381, 202696]",1610612762.0,UTA,startperiod,K. Dunn,1627739.0,Dunn,K. Dunn,Collins,1628381.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2024-03-07T02:10:34.8Z,1,REGULAR,foul,personal,[],1627936,,,1610612762,0,0,2024-03-07T02:10:42Z,70000,False,,,0,,A. Caruso personal FOUL (1 PF),"[1627936, 1629012]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Mid-Range,16-24 Center,2882.0,1.0,0.0,Sexton,1629012.0,,,,,,,,,,,,,,,
9,PT11M43.00S,2024-03-07T02:10:59.5Z,1,REGULAR,foul,offensive,[],1629677,,,1610612762,0,0,2024-03-07T02:11:05Z,90000,False,,,0,,L. Samanic offensive FOUL (1 PF),"[1629677, 1627936]",1610612762.0,UTA,,,,Samanic,L. Samanic,,,,,Mid-Range,16-24 Left Center,1628172.0,1.0,0.0,Caruso,1627936.0,,,,,,,,,,,,,,,
11,PT11M43.00S,2024-03-07T02:10:59.5Z,1,REGULAR,turnover,offensive foul,[],1629677,,,1610612762,0,0,2024-03-07T02:10:59Z,110000,False,,,0,,L. Samanic offensive foul TURNOVER (1 TO),[1629677],1610612762.0,UTA,,,,Samanic,L. Samanic,,,,,Mid-Range,16-24 Left Center,1628172.0,,,,,1.0,,,,,,,,,,,,,,
12,PT11M23.00S,2024-03-07T02:11:33.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201942,69.46452036793693,72.30392156862744,1610612741,0,3,2024-03-07T02:11:38Z,120000,False,112.0,235.0,1,right,D. DeRozan 25' 3PT  (3 PTS) (A. Caruso 1 AST),"[201942, 1627936]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,,,,,,,25.97,Made,3.0,A. Caruso,1627936.0,1.0,,,,,,,,
14,PT11M02.00S,2024-03-07T02:11:53.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,11.514454664914586,48.28431372549019,1610612762,2,3,2024-03-07T02:11:58Z,140000,False,9.0,56.0,1,left,J. Collins pullup Jump Shot (2 PTS) (C. Sexton 1 AST),"[1628381, 1629012]",1610612762.0,UTA,pullup,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,5.64,Made,2.0,C. Sexton,1629012.0,1.0,,,,,,,,
16,PT10M52.00S,2024-03-07T02:12:04.0Z,1,REGULAR,2pt,Jump Shot,[],202696,87.99277266754271,75.24509803921569,1610612741,2,5,2024-03-07T02:12:09Z,160000,False,126.0,60.0,1,right,N. Vucevic 13' Jump Shot (2 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Right,,,,,,,13.99,Made,2.0,A. Dosunmu,1630245.0,1.0,,,,,,,,
18,PT10M40.00S,2024-03-07T02:12:15.0Z,1,REGULAR,3pt,Jump Shot,[],1628381,25.04927726675427,83.08823529411765,1610612762,2,5,2024-03-07T02:12:19Z,180000,False,-165.0,183.0,1,left,MISS J. Collins 24' 3PT,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,,,,,,,24.67,Missed,,,,,,,,,,,,
19,PT10M39.00S,2024-03-07T02:12:17.4Z,1,REGULAR,rebound,offensive,[],1629677,,,1610612762,2,5,2024-03-07T02:12:17Z,190000,False,,,0,,L. Samanic REBOUND (Off:1 Def:0),[1629677],1610612762.0,UTA,,,,Samanic,L. Samanic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,18.0,1.0,0.0,1.0,,,,
20,PT10M37.00S,2024-03-07T02:12:19.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629012,33.327858081471746,46.07843137254902,1610612762,2,5,2024-03-07T02:12:43Z,200000,False,20.0,261.0,1,left,MISS C. Sexton 26' 3PT,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Center,,,,,,,26.15,Missed,,,,,,,,,,,,
21,PT10M34.00S,2024-03-07T02:12:22.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,5,2024-03-07T02:12:24Z,210000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,
22,PT10M21.00S,2024-03-07T02:12:34.7Z,1,REGULAR,3pt,Jump Shot,[],1627936,70.51576872536137,72.54901960784314,1610612741,2,5,2024-03-07T02:12:39Z,220000,False,113.0,225.0,1,right,MISS A. Caruso 25' 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Right Center,,,,,,,25.14,Missed,,,,,,,,,,,,
