actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-11T03:14:01.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-11T03:14:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-11T03:14:03.2Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2024-01-11T03:14:03Z,40000,False,,,0,,Jump Ball N. Jokic vs. J. Collins: Tip to A. Gordon,"[203932, 203999, 1628381]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-01-11T03:14:23.8Z,1,REGULAR,3pt,Jump Shot,[],1627750,11.251642575558476,3.1862745098039214,1610612743,0,0,2024-01-11T03:14:30Z,70000,False,234.0,53.0,1,left,MISS J. Murray 24' step back 3PT,[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Right Corner 3,24+ Right,24.01,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2024-01-11T03:14:25.8Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612762,0,0,2024-01-11T03:14:30Z,80000,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2024-01-11T03:14:37.6Z,1,REGULAR,3pt,Jump Shot,[],1631323,70.25295663600527,76.9607843137255,1610612762,0,0,2024-01-11T03:14:42Z,90000,False,135.0,227.0,1,right,MISS S. Fontecchio 26' 3PT,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Right Center,26.41,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2024-01-11T03:14:37.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2024-01-11T03:14:42Z,100000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M17.00S,2024-01-11T03:14:43.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629008,6.783837056504599,53.92156862745098,1610612743,0,2,2024-01-11T03:14:48Z,110000,False,-20.0,11.0,1,left,M. Porter Jr. running Layup (2 PTS) (N. Jokic 1 AST),"[1629008, 203999]",1610612743.0,DEN,running,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,2.26,Made,,,,,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,
13,PT11M00.00S,2024-01-11T03:14:59.5Z,1,REGULAR,3pt,Jump Shot,[],1628374,88.78120893561103,96.07843137254902,1610612762,3,2,2024-01-11T03:15:03Z,130000,False,230.0,53.0,1,right,L. Markkanen 3PT  (3 PTS) (K. Dunn 1 AST),"[1628374, 1627739]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Right Corner 3,24+ Right,23.64,Made,,,,,3.0,K. Dunn,1627739.0,1.0,,,,,,,,,,
15,PT10M36.00S,2024-01-11T03:15:23.6Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,3,2,2024-01-11T03:15:28Z,150000,False,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1629012]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1.0,Sexton,1629012.0,,,,,,,
16,PT10M36.00S,2024-01-11T03:15:23.6Z,1,REGULAR,steal,,[],1629012,,,1610612762,3,2,2024-01-11T03:15:26Z,160000,False,,,0,,C. Sexton STEAL (1 STL),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
