actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-02T03:15:46.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-02T03:15:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-02T03:15:48.7Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2024-02-02T03:15:48Z,40000,False,,,0,,Jump Ball P. Reed vs. J. Collins: Tip to T. Maxey,"[1630178, 1630194, 1628381]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Reed,1630194.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2024-02-02T03:15:58.0Z,1,REGULAR,3pt,Jump Shot,[],202699,4.28712220762155,95.83333333333334,1610612755,0,0,2024-02-02T03:16:02Z,70000,False,-229.0,-12.0,1,left,MISS T. Harris 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,22.95,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2024-02-02T03:16:01.0Z,1,REGULAR,rebound,defensive,[],1631323,,,1610612762,0,0,2024-02-02T03:16:02Z,80000,False,,,0,,S. Fontecchio REBOUND (Off:0 Def:1),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M36.00S,2024-02-02T03:16:09.2Z,1,REGULAR,turnover,lost ball,[],1629012,,,1610612762,0,0,2024-02-02T03:16:14Z,90000,False,,,0,,C. Sexton lost ball TURNOVER (1 TO),"[1629012, 202699]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Harris,202699.0,,,,,,,,,,,
10,PT11M36.00S,2024-02-02T03:16:09.2Z,1,REGULAR,steal,,[],202699,,,1610612755,0,0,2024-02-02T03:16:11Z,100000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2024-02-02T03:16:13.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630178,24.917871222076215,86.51960784313727,1610612755,0,3,2024-02-02T03:16:29Z,110000,False,-183.0,182.0,1,left,T. Maxey 25' 3PT running (3 PTS) (T. Harris 1 AST),"[1630178, 202699]",1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,25.76,Made,,,,,,,,3.0,T. Harris,202699.0,1.0,,,,,,,
13,PT11M20.00S,2024-02-02T03:16:29.0Z,1,REGULAR,violation,kicked ball,[],202699,,,1610612762,0,3,2024-02-02T03:16:37Z,130000,False,,,0,,T. Harris kicked ball VIOLATION,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,201639.0,,,,,,
14,PT11M13.00S,2024-02-02T03:16:48.7Z,1,REGULAR,3pt,Jump Shot,[],1631323,67.7562417871222,21.323529411764707,1610612762,0,3,2024-02-02T03:16:53Z,140000,False,-143.0,251.0,1,right,MISS S. Fontecchio 28' 3PT,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Left Center,28.87,Missed,,,,,,,,,,,,,,,,,,
15,PT11M10.00S,2024-02-02T03:16:51.7Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612762,0,3,2024-02-02T03:16:53Z,150000,False,,,0,,L. Markkanen REBOUND (Off:1 Def:0),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT11M07.00S,2024-02-02T03:16:53.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628381,92.19776609724047,95.58823529411765,1610612762,0,3,2024-02-02T03:16:59Z,160000,False,228.0,21.0,1,right,MISS J. Collins 3PT,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,22.88,Missed,,,,,,,,,,,,,,,,,,
