actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-16T02:11:38.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-16T02:11:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-01-16T02:11:43.1Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612762,0,0,2024-01-16T02:11:43Z,40000,False,,,0,,Jump Ball J. Collins vs. M. Turner: Tip to J. Collins,"[1628381, 1628381, 1626167]",1610612762.0,UTA,startperiod,J. Collins,1628381.0,Collins,J. Collins,Collins,1628381.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-01-16T02:11:59.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631323,90.22667542706965,58.57843137254902,1610612762,0,0,2024-01-16T02:12:04Z,70000,False,43.0,39.0,1,right,MISS S. Fontecchio driving Layup,[1631323],1610612762.0,UTA,driving,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),0-8 Center,5.82,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-01-16T02:12:01.0Z,1,REGULAR,rebound,offensive,[],1629012,,,1610612762,0,0,2024-01-16T02:12:01Z,80000,False,,,0,,C. Sexton REBOUND (Off:1 Def:0),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2024-01-16T02:12:08.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628374,81.553876478318,35.78431372549019,1610612762,2,0,2024-01-16T02:12:57Z,90000,False,-71.0,121.0,1,right,L. Markkanen 14' pullup Jump Shot (2 PTS) (C. Sexton 1 AST),"[1628374, 1629012]",1610612762.0,UTA,pullup,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Left,14.03,Made,,,,,2.0,C. Sexton,1629012.0,1.0,,,,,,,,,,
11,PT11M04.00S,2024-01-16T02:12:32.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626167,12.040078843626807,58.333333333333336,1610612754,2,0,2024-01-16T02:13:32Z,110000,False,-42.0,61.0,1,left,MISS M. Turner 7' turnaround Hook,[1626167],1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,7.36,Missed,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2024-01-16T02:12:35.4Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,2,0,2024-01-16T02:12:37Z,120000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M58.00S,2024-01-16T02:12:39.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629012,91.14651773981603,49.01960784313725,1610612762,4,0,2024-01-16T02:12:46Z,130000,False,-5.0,31.0,1,right,C. Sexton running DUNK (2 PTS) (L. Markkanen 1 AST),"[1629012, 1628374]",1610612762.0,UTA,running,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,3.11,Made,,,,,2.0,L. Markkanen,1628374.0,1.0,,,,,,,,,,
15,PT10M55.00S,2024-01-16T02:12:49.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,4,0,2024-01-16T02:12:50Z,150000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M30.00S,2024-01-16T02:16:37.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630188,4.944152431011826,52.450980392156865,1610612754,4,2,2024-01-16T02:16:43Z,160000,False,-12.0,-6.0,1,left,J. Smith cutting DUNK (2 PTS) (A. Nembhard 1 AST),"[1630188, 1629614]",1610612754.0,IND,cutting,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,1.37,Made,,,,,2.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,
