actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-30T22:11:27.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-30T22:11:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-12-30T22:11:28.9Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2023-12-30T22:11:28Z,40000,False,,,0,,Jump Ball B. Adebayo vs. J. Collins: Tip to J. Butler,"[202710, 1628389, 1628381]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-12-30T22:11:49.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,10.85742444152431,53.18627450980392,1610612748,0,2,2023-12-30T22:12:14Z,70000,False,-16.0,50.0,1,left,B. Adebayo turnaround fadeaway Jump Shot (2 PTS),[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,5.21,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M09.00S,2023-12-30T22:12:17.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,83.26215505913272,43.38235294117647,1610612762,0,2,2023-12-30T22:12:57Z,80000,False,-33.0,105.0,1,right,MISS C. Sexton 10' pullup Shot,[1629012],1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Center,10.99,Missed,,,,,,,,,,,,,,,,,,
9,PT11M06.00S,2023-12-30T22:12:20.5Z,1,REGULAR,rebound,offensive,[],1631323,,,1610612762,0,2,2023-12-30T22:12:22Z,90000,False,,,0,,S. Fontecchio REBOUND (Off:1 Def:0),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),8-16 Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M04.00S,2023-12-30T22:12:21.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627739,69.33311432325887,73.52941176470588,1610612762,0,2,2023-12-30T22:12:26Z,100000,False,118.0,236.0,1,right,MISS K. Dunn 26' 3PT,[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Right Center,26.35,Missed,,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2023-12-30T22:12:22.4Z,1,REGULAR,rebound,offensive,[],1629012,,,1610612762,0,2,2023-12-30T22:12:26Z,110000,False,,,0,,C. Sexton REBOUND (Off:1 Def:0),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT10M57.00S,2023-12-30T22:12:29.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1629012,88.64980289093299,44.85294117647059,1610612762,2,2,2023-12-30T22:12:34Z,120000,False,-26.0,54.0,1,right,C. Sexton 6' turnaround Hook (2 PTS),[1629012],1610612762.0,UTA,turnaround,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,6.0,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M46.00S,2023-12-30T22:12:41.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,9.149145860709593,62.99019607843137,1610612748,2,2,2023-12-30T22:13:00Z,130000,False,-65.0,34.0,1,left,MISS T. Herro 7' Layup - blocked,"[1629639, 1627739]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,7.31,Missed,,,,,,Dunn,1627739.0,,,,,,,,,,,
14,PT10M46.00S,2023-12-30T22:12:41.0Z,1,REGULAR,block,,[],1627739,,,1610612748,2,2,2023-12-30T22:12:43Z,140000,False,,,0,,K. Dunn BLOCK (1 BLK),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
