actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-12-19T02:10:38.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-19T02:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-12-19T02:10:40.4Z,1,REGULAR,jumpball,recovered,[],1629659,,,1610612762,0,0,2023-12-19T02:10:40Z,40000,False,,,0,,Jump Ball W. Kessler vs. N. Claxton: Tip to T. Horton-Tucker,"[1629659, 1631117, 1629651]",1610612762.0,UTA,startperiod,T. Horton-Tucker,1629659.0,Horton-Tucker,T. Horton-Tucker,Kessler,1631117.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2023-12-19T02:11:19.3Z,1,REGULAR,3pt,Jump Shot,[],1631323,7.178055190538765,94.11764705882352,1610612762,0,0,2023-12-19T02:11:24Z,80000,False,-221.0,15.0,1,left,MISS S. Fontecchio 3PT,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Left Corner 3,24+ Left,22.11,Missed,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2023-12-19T02:11:23.3Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,0,0,2023-12-19T02:11:27Z,90000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Left Corner 3,24+ Left,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M25.00S,2023-12-19T02:11:28.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629661,93.9060446780552,54.65686274509803,1610612751,0,0,2023-12-19T02:12:31Z,100000,False,23.0,5.0,1,right,MISS C. Johnson running DUNK - blocked,"[1629661, 1631117]",1610612751.0,BKN,running,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,2.38,Missed,,,,,Kessler,1631117.0,,,,,,,,,,,,
11,PT11M25.00S,2023-12-19T02:11:28.9Z,1,REGULAR,block,,[],1631117,,,1610612751,0,0,2023-12-19T02:11:31Z,110000,False,,,0,,W. Kessler BLOCK (1 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2023-12-19T02:11:33.9Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,0,0,2023-12-19T02:11:36Z,120000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M19.00S,2023-12-19T02:11:34.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203915,68.15045992115637,67.64705882352942,1610612751,0,0,2023-12-19T02:11:39Z,130000,False,88.0,247.0,1,right,MISS S. Dinwiddie 26' 3PT,[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,26.22,Missed,,,,,,,,,,,,,,,,,,
14,PT11M15.00S,2023-12-19T02:11:38.5Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,0,0,2023-12-19T02:11:39Z,140000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Right Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M04.00S,2023-12-19T02:11:49.3Z,1,REGULAR,turnover,lost ball,[],1628374,,,1610612762,0,0,2023-12-19T02:11:54Z,150000,False,,,0,,L. Markkanen lost ball TURNOVER (1 TO),"[1628374, 1630560]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,Thomas,1630560.0,,,,,,,,,
16,PT11M04.00S,2023-12-19T02:11:49.3Z,1,REGULAR,steal,,[],1630560,,,1610612751,0,0,2023-12-19T02:12:21Z,160000,False,,,0,,C. Thomas STEAL (1 STL),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT11M01.00S,2023-12-19T02:11:54.3Z,1,REGULAR,foul,personal,['2freethrow'],1629659,,,1610612751,0,0,2023-12-19T02:12:06Z,170000,False,,,0,,T. Horton-Tucker shooting personal FOUL (1 PF) (Claxton 2 FT),"[1629659, 1629651]",1610612762.0,UTA,shooting,,,Horton-Tucker,T. Horton-Tucker,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,202026.0,1.0,0.0,Claxton,1629651.0,,,,
19,PT11M01.00S,2023-12-19T02:12:23.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629651,,,1610612751,0,1,2023-12-19T02:12:46Z,190000,False,,,0,,N. Claxton Free Throw 1 of 2 (1 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
20,PT11M01.00S,2023-12-19T02:12:23.6Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1629651,,,1610612751,0,1,2023-12-19T02:12:46Z,200000,False,,,0,,MISS N. Claxton Free Throw 2 of 2,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
21,PT10M59.00S,2023-12-19T02:12:25.6Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,0,1,2023-12-19T02:12:46Z,210000,False,,,0,,W. Kessler REBOUND (Off:0 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT10M45.00S,2023-12-19T02:12:59.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628374,5.863994743758213,61.029411764705884,1610612762,2,1,2023-12-19T02:13:06Z,220000,False,-55.0,3.0,1,left,L. Markkanen Hook (2 PTS) (T. Horton-Tucker 1 AST),"[1628374, 1629659]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,5.52,Made,,,,,,,,,,,,,,,2.0,T. Horton-Tucker,1629659.0,1.0
