actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-09T03:10:21.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-09T03:10:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-09T03:10:23.7Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612746,0,0,2023-12-09T03:10:23Z,40000,False,,,0,,Jump Ball I. Zubac vs. W. Kessler: Tip to J. Harden,"[201935, 1627826, 1631117]",1610612746.0,LAC,startperiod,J. Harden,201935.0,Harden,J. Harden,Zubac,1627826.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-12-09T03:10:43.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,91.01511169513797,39.950980392156865,1610612746,0,2,2023-12-09T03:11:30Z,70000,False,-50.0,32.0,1,right,I. Zubac Layup (2 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,5.95,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M14.00S,2023-12-09T03:11:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631323,9.806176084099869,56.86274509803921,1610612762,0,2,2023-12-09T03:11:11Z,80000,False,-34.0,40.0,1,left,MISS S. Fontecchio driving Layup,[1631323],1610612762.0,UTA,driving,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),0-8 Center,5.25,Missed,,,,,,,,,,,,,,,,,,
9,PT11M10.00S,2023-12-09T03:11:09.7Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,0,2,2023-12-09T03:11:09Z,90000,False,,,0,,W. Kessler REBOUND (Off:1 Def:0),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M10.00S,2023-12-09T03:11:09.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631117,5.590000152587891,50.0,1610612762,0,2,2023-12-09T03:12:54Z,100000,False,0.0,0.0,1,left,MISS W. Kessler tip Layup,[1631117],1610612762.0,UTA,tip,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2023-12-09T03:11:09.7Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,0,2,2023-12-09T03:11:14Z,110000,False,,,0,,W. Kessler REBOUND (Off:2 Def:0),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,10.0,2.0,0.0,2.0,,,,,,,,,,,,,
12,PT11M06.00S,2023-12-09T03:11:13.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1631117,6.389618922470433,45.09803921568628,1610612762,2,2,2023-12-09T03:11:42Z,120000,False,25.0,8.0,1,left,W. Kessler bank Hook (2 PTS),[1631117],1610612762.0,UTA,bank,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,2.57,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M49.00S,2023-12-09T03:11:31.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,91.93495400788436,49.26470588235294,1610612746,2,2,2023-12-09T06:26:31Z,130000,False,-4.0,23.0,1,right,MISS I. Zubac driving DUNK - blocked,"[1627826, 1631117]",1610612746.0,LAC,driving,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,2.36,Missed,,,,,,Kessler,1631117.0,,,,,,,,,,,
653,PT10M49.00S,2023-12-09T03:11:31.0Z,1,REGULAR,block,,[],1631117,,,1610612746,2,2,2023-12-09T06:26:31Z,135000,False,,,0,,W. Kessler BLOCK (1 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
