actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-11-26T02:40:39.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-26T02:40:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-26T02:40:41.5Z,1,REGULAR,jumpball,recovered,[],1630529,,,1610612740,0,0,2023-11-26T02:40:41Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. O. Yurtseven: Tip to H. Jones,"[1630529, 202685, 1630209]",1610612740.0,NOP,startperiod,H. Jones,1630529.0,Jones,H. Jones,Valanciunas,202685.0,Yurtseven,1630209.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-11-26T02:40:53.0Z,1,REGULAR,2pt,Jump Shot,[],1627742,79.05716162943496,49.26470588235294,1610612740,0,0,2023-11-26T02:41:19Z,70000,False,-4.0,144.0,1,right,MISS B. Ingram 14' turnaround Shot,[1627742],1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Center,14.44,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-11-26T02:40:56.0Z,1,REGULAR,rebound,defensive,[],1630209,,,1610612762,0,0,2023-11-26T02:40:58Z,80000,False,,,0,,O. Yurtseven REBOUND (Off:0 Def:1),[1630209],1610612762.0,UTA,,,,Yurtseven,O. Yurtseven,,,,,Mid-Range,8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M24.00S,2023-11-26T02:41:40.1Z,1,REGULAR,3pt,Jump Shot,[],1630209,22.683968462549277,10.294117647058822,1610612762,0,0,2023-11-26T02:41:45Z,100000,False,199.0,161.0,1,left,MISS O. Yurtseven 25' 3PT,[1630209],1610612762.0,UTA,,,,Yurtseven,O. Yurtseven,,,,,Above the Break 3,24+ Right Center,25.54,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2023-11-26T02:41:43.1Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612740,0,0,2023-11-26T02:41:45Z,110000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M14.00S,2023-11-26T02:41:49.3Z,1,REGULAR,3pt,Jump Shot,[],202685,94.95729303547962,3.1862745098039214,1610612740,0,0,2023-11-26T02:41:56Z,120000,False,-234.0,-5.0,1,right,MISS J. Valanciunas 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Left Corner 3,24+ Left,23.42,Missed,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2023-11-26T02:41:54.2Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,0,0,2023-11-26T02:41:54Z,130000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Left Corner 3,24+ Left,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M05.00S,2023-11-26T02:42:00.9Z,1,REGULAR,turnover,out-of-bounds,[],1630700,,,1610612740,0,0,2023-11-26T02:42:07Z,140000,False,,,0,,D. Daniels lost ball out-of-bounds TURNOVER (1 TO),[1630700],1610612740.0,NOP,lost ball,,,Daniels,D. Daniels,,,,,Mid-Range,16-24 Left Center,,,,,,,1204.0,1.0,,,,,,,,,,,,
15,PT10M49.00S,2023-11-26T02:42:25.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628381,8.886333771353483,42.8921568627451,1610612762,0,0,2023-11-26T02:45:38Z,150000,False,36.0,31.0,1,left,MISS J. Collins driving floating Shot - blocked,"[1628381, 1630529]",1610612762.0,UTA,driving floating,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,4.71,Missed,,,,,,,Jones,1630529.0,,,,,,,,,,
16,PT10M49.00S,2023-11-26T02:42:25.9Z,1,REGULAR,block,,[],1630529,,,1610612762,0,0,2023-11-26T02:42:28Z,160000,False,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2023-11-26T02:42:25.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,0,0,2023-11-26T02:42:31Z,170000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,15.0,,,,,,,,,,,,,,,,,
19,PT10M40.00S,2023-11-26T02:42:46.1Z,1,REGULAR,3pt,Jump Shot,[],1630700,71.43561103810775,9.313725490196079,1610612740,0,0,2023-11-26T02:42:52Z,190000,False,-203.0,216.0,1,right,MISS D. Daniels 29' 3PT,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,29.67,Missed,,,,,,,,,,,,,,,,,,
20,PT10M36.00S,2023-11-26T02:42:50.1Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612762,0,0,2023-11-26T02:42:52Z,200000,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Left Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M28.00S,2023-11-26T02:42:57.8Z,1,REGULAR,turnover,lost ball,[],1628381,,,1610612762,0,0,2023-11-26T02:43:02Z,210000,False,,,0,,J. Collins lost ball TURNOVER (1 TO),"[1628381, 1641722]",1610612762.0,UTA,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,,Hawkins,1641722.0,,,,,,,,
22,PT10M28.00S,2023-11-26T02:42:57.8Z,1,REGULAR,steal,,[],1641722,,,1610612740,0,0,2023-11-26T02:42:59Z,220000,False,,,0,,J. Hawkins STEAL (1 STL),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M25.00S,2023-11-26T02:43:02.9Z,1,REGULAR,turnover,out-of-bounds,[],1641722,,,1610612740,0,0,2023-11-26T02:43:07Z,230000,False,,,0,,J. Hawkins lost ball out-of-bounds TURNOVER (1 TO),[1641722],1610612740.0,NOP,lost ball,,,Hawkins,J. Hawkins,,,,,Mid-Range,8-16 Left,,,,,,,1204.0,1.0,,,,,,,,,,,,
24,PT10M14.00S,2023-11-26T02:43:34.0Z,1,REGULAR,foul,personal,[],1630529,,,1610612762,0,0,2023-11-26T02:49:06Z,240000,False,,,0,,H. Jones personal FOUL (1 PF),"[1630529, 1630209]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202058.0,,,,,,1.0,0.0,Yurtseven,1630209.0,,,,
26,PT10M08.00S,2023-11-26T02:43:53.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641718,7.966491458607096,41.911764705882355,1610612762,0,0,2023-11-26T02:43:57Z,260000,False,40.0,22.0,1,left,MISS K. George driving floating bank Shot,[1641718],1610612762.0,UTA,driving floating bank,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,4.62,Missed,,,,,,,,,,,,,,,,,,
27,PT10M06.00S,2023-11-26T02:43:55.2Z,1,REGULAR,rebound,defensive,[],1641722,,,1610612740,0,0,2023-11-26T02:43:57Z,270000,False,,,0,,J. Hawkins REBOUND (Off:0 Def:1),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,In The Paint (Non-RA),0-8 Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT10M00.00S,2023-11-26T02:44:01.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630529,93.64323258869908,46.32352941176471,1610612740,0,2,2023-11-26T02:44:09Z,280000,False,-18.0,7.0,1,right,H. Jones reverse Layup (2 PTS) (J. Hawkins 1 AST),"[1630529, 1641722]",1610612740.0,NOP,reverse,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,1.98,Made,,,,,,,,,,,,,,,2.0,J. Hawkins,1641722.0,1.0
29,PT09M48.00S,2023-11-26T02:44:12.9Z,1,REGULAR,turnover,bad pass,[],1641718,,,1610612762,0,2,2023-11-26T02:44:17Z,290000,False,,,0,,K. George bad pass TURNOVER (1 TO),"[1641718, 1630700]",1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,,,Daniels,1630700.0,,,,,,,,
30,PT09M48.00S,2023-11-26T02:44:12.9Z,1,REGULAR,steal,,[],1630700,,,1610612740,0,2,2023-11-26T02:44:14Z,300000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
31,PT09M45.00S,2023-11-26T02:44:20.2Z,1,REGULAR,foul,personal,['2freethrow'],1641718,,,1610612740,0,2,2023-11-26T02:44:26Z,310000,False,,,0,,K. George shooting personal FOUL (1 PF) (Hawkins 2 FT),"[1641718, 1641722]",1610612762.0,UTA,shooting,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,,,,1204.0,,,,,,1.0,0.0,Hawkins,1641722.0,,,,
34,PT09M45.00S,2023-11-26T02:44:44.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1641722,,,1610612740,0,2,2023-11-26T02:44:44Z,330000,False,,,0,,MISS J. Hawkins Free Throw 1 of 2,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
35,PT09M45.00S,2023-11-26T02:44:44.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,0,2,2023-11-26T02:44:44Z,340000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,
36,PT09M45.00S,2023-11-26T02:44:58.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1641722,,,1610612740,0,3,2023-11-26T02:44:58Z,350000,False,,,0,,J. Hawkins Free Throw 2 of 2 (1 PTS),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
