actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-10-28T01:41:39.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-28T01:41:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-10-28T01:41:42.7Z,1,REGULAR,jumpball,recovered,[],1629659,,,1610612762,0,0,2023-10-28T01:41:42Z,40000,False,,,0,,Jump Ball W. Kessler vs. I. Zubac: Tip to T. Horton-Tucker,"[1629659, 1631117, 1627826]",1610612762.0,UTA,startperiod,T. Horton-Tucker,1629659.0,Horton-Tucker,T. Horton-Tucker,Kessler,1631117.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-10-28T01:42:00.7Z,1,REGULAR,3pt,Jump Shot,[],1631117,7.178055190538765,2.941176470588235,1610612762,3,0,2023-10-28T01:42:05Z,70000,False,235.0,15.0,1,left,W. Kessler 3PT  (3 PTS) (T. Horton-Tucker 1 AST),"[1631117, 1629659]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Right Corner 3,24+ Right,23.58,Made,3.0,T. Horton-Tucker,1629659.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2023-10-28T01:42:17.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627826,92.9862023653088,39.950980392156865,1610612746,3,2,2023-10-28T01:42:22Z,90000,False,-50.0,13.0,1,right,I. Zubac floating Jump Shot (2 PTS) (R. Westbrook 1 AST),"[1627826, 201566]",1610612746.0,LAC,floating,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,5.2,Made,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,
11,PT11M08.00S,2023-10-28T01:42:30.7Z,1,REGULAR,turnover,bad pass,[],1629659,,,1610612762,3,2,2023-10-28T01:42:34Z,110000,False,,,0,,T. Horton-Tucker bad pass TURNOVER (1 TO),"[1629659, 203496]",1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Covington,203496.0,,,,,,,,,,,
12,PT11M08.00S,2023-10-28T01:42:30.7Z,1,REGULAR,steal,,[],203496,,,1610612746,3,2,2023-10-28T01:42:32Z,120000,False,,,0,,R. Covington STEAL (1 STL),[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2023-10-28T01:42:35.3Z,1,REGULAR,violation,kicked ball,[],1629659,,,1610612746,3,2,2023-10-28T01:42:43Z,130000,False,,,0,,T. Horton-Tucker kicked ball VIOLATION,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,2714.0,,,,,,,,,,
14,PT10M54.00S,2023-10-28T01:43:03.7Z,1,REGULAR,turnover,lost ball,[],1627826,,,1610612746,3,2,2023-10-28T02:39:36Z,140000,False,,,0,,I. Zubac lost ball TURNOVER (1 TO),"[1627826, 1629659]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Horton-Tucker,1629659.0,,,,,,,,,,,
15,PT10M54.00S,2023-10-28T01:43:03.7Z,1,REGULAR,steal,,[],1629659,,,1610612762,3,2,2023-10-28T01:43:05Z,150000,False,,,0,,T. Horton-Tucker STEAL (1 STL),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M49.00S,2023-10-28T01:43:08.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628374,6.915243101182654,57.107843137254896,1610612762,5,2,2023-10-28T01:43:14Z,160000,False,-36.0,13.0,1,left,L. Markkanen alley-oop Layup (2 PTS) (T. Horton-Tucker 2 AST),"[1628374, 1629659]",1610612762.0,UTA,alley-oop,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,3.76,Made,2.0,T. Horton-Tucker,1629659.0,2.0,,,,,,,,,,,,,,
