actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-04T02:10:34.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-04T02:10:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-04T02:10:37.1Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2024-01-04T02:10:37Z,40000,False,,,0,,Jump Ball J. Duren vs. J. Collins: Tip to C. Cunningham,"[1630595, 1631105, 1628381]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Duren,1631105.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-01-04T02:10:52.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630587,90.62089356110381,61.274509803921575,1610612765,0,2,2024-01-04T02:10:58Z,70000,False,56.0,36.0,1,right,I. Livers 6' driving floating bank Jump Shot (2 PTS) (B. Bogdanovic 1 AST),"[1630587, 202711]",1610612765.0,DET,driving floating bank,,,Livers,I. Livers,,,,,In The Paint (Non-RA),0-8 Center,6.67,Made,2.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,,,,,,
9,PT11M43.00S,2024-01-04T02:10:58.1Z,1,REGULAR,foul,personal,['1freethrow'],1631323,,,1610612765,0,2,2024-01-04T02:11:10Z,90000,False,,,0,,S. Fontecchio shooting personal FOUL (1 PF) (Livers 1 FT),"[1631323, 1630587]",1610612762.0,UTA,shooting,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628482.0,1.0,0.0,Livers,1630587.0,,,,,,,,,
11,PT11M43.00S,2024-01-04T02:11:16.0Z,1,REGULAR,freethrow,1 of 1,[],1630587,,,1610612765,0,3,2024-01-04T02:11:16Z,110000,False,,,0,,I. Livers Free Throw 1 of 1 (3 PTS),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
12,PT11M27.00S,2024-01-04T02:11:35.9Z,1,REGULAR,foul,personal,['2freethrow'],1630587,,,1610612762,0,3,2024-01-04T02:11:46Z,120000,False,,,0,,I. Livers shooting personal FOUL (1 PF) (Sexton 2 FT),"[1630587, 1629012]",1610612765.0,DET,shooting,,,Livers,I. Livers,,,,,Restricted Area,0-8 Center,,,,,,,1628482.0,1.0,0.0,Sexton,1629012.0,,,,,,,,,
14,PT11M27.00S,2024-01-04T02:12:03.7Z,1,REGULAR,freethrow,1 of 2,[],1629012,,,1610612762,1,3,2024-01-04T02:12:03Z,140000,False,,,0,,C. Sexton Free Throw 1 of 2 (1 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
15,PT11M27.00S,2024-01-04T02:12:17.5Z,1,REGULAR,freethrow,2 of 2,[],1629012,,,1610612762,2,3,2024-01-04T02:12:17Z,150000,False,,,0,,C. Sexton Free Throw 2 of 2 (2 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
16,PT11M16.00S,2024-01-04T02:12:31.8Z,1,REGULAR,3pt,Jump Shot,[],1631093,76.2976346911958,10.784313725490197,1610612765,2,6,2024-01-04T02:12:37Z,160000,False,-196.0,170.0,1,right,J. Ivey 25' 3PT  (3 PTS) (J. Duren 1 AST),"[1631093, 1631105]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,25.97,Made,3.0,J. Duren,1631105.0,1.0,,,,,,,,,,,,,,
18,PT10M53.00S,2024-01-04T02:12:53.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,6.1268068331143235,45.83333333333333,1610612762,4,6,2024-01-04T02:12:58Z,180000,False,21.0,5.0,1,left,J. Collins Layup (2 PTS),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,2.14,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M44.00S,2024-01-04T02:13:03.5Z,1,REGULAR,3pt,Jump Shot,[],1630587,91.80354796320631,3.1862745098039214,1610612765,4,9,2024-01-04T02:13:08Z,190000,False,-234.0,25.0,1,right,I. Livers 3PT  (6 PTS) (C. Cunningham 1 AST),"[1630587, 1630595]",1610612765.0,DET,,,,Livers,I. Livers,,,,,Left Corner 3,24+ Left,23.54,Made,6.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,
21,PT10M26.00S,2024-01-04T02:13:20.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627739,6.258212877792378,54.166666666666664,1610612762,4,9,2024-01-04T02:13:25Z,210000,False,-21.0,6.0,1,left,MISS K. Dunn reverse Layup,[1627739],1610612762.0,UTA,reverse,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,,,,,
22,PT10M25.00S,2024-01-04T02:13:21.9Z,1,REGULAR,rebound,defensive,[],1630587,,,1610612765,4,9,2024-01-04T02:13:25Z,220000,False,,,0,,I. Livers REBOUND (Off:0 Def:1),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,
23,PT10M18.00S,2024-01-04T02:13:30.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,91.01511169513797,54.166666666666664,1610612765,4,11,2024-01-04T02:14:32Z,230000,False,21.0,32.0,1,right,J. Ivey cutting Layup (5 PTS) (C. Cunningham 2 AST),"[1631093, 1630595]",1610612765.0,DET,cutting,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,3.82,Made,5.0,C. Cunningham,1630595.0,2.0,,,,,,,,,,,,,,
25,PT10M18.00S,2024-01-04T02:13:34.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,4,11,2024-01-04T02:13:34Z,250000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M12.00S,2024-01-04T02:16:36.6Z,1,REGULAR,foul,personal,[],1630587,,,1610612762,4,11,2024-01-04T02:16:46Z,260000,False,,,0,,I. Livers personal FOUL (2 PF),"[1630587, 1628374]",1610612765.0,DET,,,,Livers,I. Livers,,,,,Mid-Range,16-24 Right Center,,,,,,,201245.0,2.0,0.0,Markkanen,1628374.0,,,,,,,,,
28,PT10M05.00S,2024-01-04T02:16:56.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631323,6.652431011826544,52.69607843137255,1610612762,6,11,2024-01-04T02:17:00Z,280000,False,-13.0,10.0,1,left,S. Fontecchio cutting Layup (2 PTS) (J. Collins 1 AST),"[1631323, 1628381]",1610612762.0,UTA,cutting,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,1.68,Made,2.0,J. Collins,1628381.0,1.0,,,,,,,,,,,,,,
30,PT09M45.00S,2024-01-04T02:17:18.6Z,1,REGULAR,turnover,lost ball,[],1631093,,,1610612765,6,11,2024-01-04T02:17:26Z,300000,False,,,0,,J. Ivey lost ball TURNOVER (1 TO),"[1631093, 1631323]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,1.0,Fontecchio,1631323.0,,
31,PT09M45.00S,2024-01-04T02:17:18.6Z,1,REGULAR,steal,,[],1631323,,,1610612762,6,11,2024-01-04T02:17:23Z,310000,False,,,0,,S. Fontecchio STEAL (1 STL),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
32,PT09M45.00S,2024-01-04T02:17:24.1Z,1,REGULAR,foul,personal,[],1631093,,,1610612762,6,11,2024-01-04T02:17:29Z,320000,False,,,0,,J. Ivey personal FOUL (1 PF),"[1631093, 1631323]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,8-16 Right,,,,,,,2530.0,1.0,0.0,Fontecchio,1631323.0,,,,,,,,,
34,PT09M45.00S,2024-01-04T02:17:34.4Z,1,REGULAR,substitution,out,[],1630587,,,1610612762,6,11,2024-01-04T02:17:38Z,340000,False,,,0,,SUB out: I. Livers,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,,,,,,,,,,,,,,,,,,,
