actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-22T00:10:50.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-22T00:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-12-22T00:10:51.9Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2025-12-22T00:10:51Z,40000,False,,,0,,Jump Ball R. Gobert vs. M. Turner: Tip to A. Edwards,"[1630162, 203497, 1626167]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Gobert,203497.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-12-22T00:11:07.1Z,1,REGULAR,3pt,Jump Shot,[],1630183,29.122864651773984,70.09803921568627,1610612750,0,0,2025-12-22T00:11:14Z,70000,False,-100.0,221.0,1,left,MISS J. McDaniels 24' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,24.31,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-12-22T00:11:08.1Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612749,0,0,2025-12-22T00:11:14Z,80000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2025-12-22T00:11:26.2Z,1,REGULAR,3pt,Jump Shot,[],1626167,75.50919842312747,84.31372549019608,1610612749,0,0,2025-12-22T00:11:31Z,90000,False,172.0,178.0,1,right,MISS M. Turner 24' 3PT,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,24.7,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2025-12-22T00:11:29.2Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612750,0,0,2025-12-22T00:11:31Z,100000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M18.00S,2025-12-22T00:11:33.0Z,1,REGULAR,turnover,out-of-bounds,[],1628978,,,1610612750,0,0,2025-12-22T00:11:38Z,110000,False,,,0,,D. DiVincenzo bad pass out-of-bounds TURNOVER (1 TO),[1628978],1610612750.0,MIN,bad pass,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1146.0,1.0,,,,,,,,,,,,
12,PT11M06.00S,2025-12-22T00:11:50.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631260,90.62089356110381,96.32352941176471,1610612749,0,0,2025-12-22T00:11:55Z,120000,False,232.0,36.0,1,right,MISS A. Green 3PT,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Right Corner 3,24+ Right,23.43,Missed,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2025-12-22T00:11:53.7Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,0,0,2025-12-22T00:11:55Z,130000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M53.00S,2025-12-22T00:12:03.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,6.783837056504599,62.99019607843137,1610612750,0,0,2025-12-22T00:12:29Z,140000,False,-65.0,11.0,1,left,MISS J. McDaniels 6' fadeaway Shot,[1630183],1610612750.0,MIN,fadeaway,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,6.6,Missed,,,,,,,,,,,,,,,,,,
