actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-01T00:10:56.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-01T00:10:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-01T00:10:58.9Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2025-12-01T00:10:59Z,40000,False,,,0,,Jump Ball R. Gobert vs. L. Kornet: Tip to A. Edwards,"[1630162, 203497, 1628436]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Gobert,203497.0,Kornet,1628436.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-12-01T00:11:11.1Z,1,REGULAR,2pt,Jump Shot,[],1630183,21.50131406044678,53.92156862745098,1610612750,2,0,2025-12-01T00:11:17Z,70000,False,-20.0,150.0,1,left,J. McDaniels 15' step back Jump Shot (2 PTS) (J. Randle 1 AST),"[1630183, 203944]",1610612750.0,MIN,step back,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Center,15.09,Made,2.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2025-12-01T00:11:37.2Z,1,REGULAR,3pt,Jump Shot,[],1628368,91.14651773981603,4.166666666666666,1610612759,2,3,2025-12-01T00:11:42Z,90000,False,-229.0,31.0,1,right,D. Fox 3PT  (3 PTS) (J. Champagnie 1 AST),"[1628368, 1630577]",1610612759.0,SAS,,,,Fox,D. Fox,,,,,Left Corner 3,24+ Left,23.12,Made,3.0,J. Champagnie,1630577.0,1.0,,,,,,,,,,,,,,
11,PT10M58.00S,2025-12-01T00:11:57.9Z,1,REGULAR,3pt,Jump Shot,[],203944,28.728646517739815,24.754901960784316,1610612750,5,3,2025-12-01T00:25:53Z,110000,False,126.0,218.0,1,left,J. Randle 25' 3PT pullup (3 PTS) (J. McDaniels 1 AST),"[203944, 1630183]",1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,25.15,Made,3.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,,,,,
13,PT10M36.00S,2025-12-01T00:12:19.5Z,1,REGULAR,3pt,Jump Shot,[],1630577,82.7365308804205,4.6568627450980395,1610612759,5,3,2025-12-01T00:12:29Z,130000,False,-227.0,110.0,1,right,MISS J. Champagnie 25' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,25.19,Missed,,,,,,,,,,,,,,,,,,
14,PT10M35.00S,2025-12-01T00:12:20.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,5,3,2025-12-01T00:12:29Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,13.0,,,,,,,,,,,,,
15,PT10M35.00S,2025-12-01T00:12:24.2Z,1,REGULAR,foul,personal,[],203944,,,1610612759,5,3,2025-12-01T00:12:33Z,150000,False,,,0,,J. Randle loose ball personal FOUL (1 PF),"[203944, 1628436]",1610612750.0,MIN,loose ball,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,,,,,1627534.0,1.0,0.0,Kornet,1628436.0,,,,,,,,
17,PT10M29.00S,2025-12-01T00:12:48.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630170,79.97700394218134,58.08823529411765,1610612759,5,5,2025-12-01T00:12:55Z,170000,False,40.0,136.0,1,right,D. Vassell 14' pullup Jump Shot (2 PTS) (L. Kornet 1 AST),"[1630170, 1628436]",1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,14.16,Made,2.0,L. Kornet,1628436.0,1.0,,,,,,,,,,,,,,
19,PT10M08.00S,2025-12-01T00:13:10.4Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,5,5,2025-12-01T00:13:15Z,190000,False,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 1630577]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,1.0,Champagnie,1630577.0,,,,,
