actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-08T01:10:51.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-08T01:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-08T01:10:54.5Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,0,0,2025-11-08T01:10:54Z,40000,False,,,0,,Jump Ball J. Nurkić vs. R. Gobert: Tip to K. George,"[1641718, 203994, 203497]",1610612762.0,UTA,startperiod,K. George,1641718.0,George,K. George,Nurkić,203994.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M55.00S,2025-11-08T01:10:55.7Z,1,REGULAR,turnover,lost ball,[],1641718,,,1610612762,0,0,2025-11-08T01:11:05Z,80000,False,,,0,,K. George lost ball TURNOVER (1 TO),"[1641718, 1630183]",1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,1.0,McDaniels,1630183.0,,,,,,,,,,,,,,,,,
9,PT11M55.00S,2025-11-08T01:10:55.7Z,1,REGULAR,steal,,[],1630183,,,1610612750,0,0,2025-11-08T01:10:58Z,90000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
10,PT11M52.00S,2025-11-08T01:10:59.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630183,92.9862023653088,50.0,1610612750,2,0,2025-11-08T01:11:08Z,100000,False,0.0,13.0,1,right,J. McDaniels driving DUNK (2 PTS),[1630183],1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,1.34,Made,2.0,,,,,,,,,,,,,,
11,PT11M36.00S,2025-11-08T01:11:14.6Z,1,REGULAR,3pt,Jump Shot,[],1641718,13.485545335085414,94.36274509803921,1610612762,2,0,2025-11-08T01:11:18Z,110000,False,-222.0,74.0,1,left,MISS K. George 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Left Corner 3,24+ Left,,,,23.39,Missed,,,,,,,,,,,,,,,
12,PT11M34.00S,2025-11-08T01:11:16.6Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612750,2,0,2025-11-08T01:11:18Z,120000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Left Corner 3,24+ Left,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M27.00S,2025-11-08T01:11:25.1Z,1,REGULAR,3pt,Jump Shot,[],1630162,71.56701708278581,22.54901960784314,1610612750,5,0,2025-11-08T01:12:13Z,130000,False,-137.0,215.0,1,right,A. Edwards 25' 3PT step back (3 PTS),[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,25.49,Made,3.0,,,,,,,,,,,,,,
14,PT11M10.00S,2025-11-08T01:11:41.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,17.16491458607096,46.32352941176471,1610612762,5,2,2025-11-08T01:11:47Z,140000,False,18.0,109.0,1,left,J. Nurkić 11' floating Jump Shot (2 PTS) (K. George 1 AST),"[203994, 1641718]",1610612762.0,UTA,floating,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),8-16 Center,,,,11.04,Made,2.0,,,,,K. George,1641718.0,1.0,,,,,,,
16,PT10M51.00S,2025-11-08T01:12:00.0Z,1,REGULAR,2pt,Jump Shot,[],1630162,88.12417871222075,70.58823529411765,1610612750,7,2,2025-11-08T01:12:35Z,160000,False,103.0,59.0,1,right,A. Edwards 11' turnaround fadeaway Jump Shot (5 PTS) (J. Randle 1 AST),"[1630162, 203944]",1610612750.0,MIN,turnaround fadeaway,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,,,,11.87,Made,5.0,,,,,J. Randle,203944.0,1.0,,,,,,,
18,PT10M41.00S,2025-11-08T01:12:13.2Z,1,REGULAR,foul,personal,[],203944,,,1610612762,7,2,2025-11-08T01:12:24Z,180000,False,,,0,,J. Randle personal FOUL (1 PF),"[203944, 203994]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,202035.0,1.0,0.0,Nurkić,203994.0,,
20,PT10M36.00S,2025-11-08T01:12:37.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642268,7.178055190538765,44.36274509803921,1610612762,7,2,2025-11-08T01:13:09Z,200000,False,28.0,15.0,1,left,MISS I. Collier driving Layup - blocked,"[1642268, 1630162]",1610612762.0,UTA,driving,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,,,,3.19,Missed,,,,,,,,,,,,,,Edwards,1630162.0
21,PT10M36.00S,2025-11-08T01:12:37.0Z,1,REGULAR,block,,[],1630162,,,1610612762,7,2,2025-11-08T01:12:38Z,210000,False,,,0,,A. Edwards BLOCK (1 BLK),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
