actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-18T00:10:41.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-18T00:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-03-18T00:10:45.6Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612750,0,0,2026-03-18T00:10:45Z,40000,False,,,0,,Jump Ball R. Gobert vs. O. Ighodaro: Tip to J. Randle,"[203944, 203497, 1642345]",1610612750.0,MIN,startperiod,J. Randle,203944.0,Randle,J. Randle,Gobert,203497.0,Ighodaro,1642345.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2026-03-18T00:10:53.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,5.995400788436268,49.50980392156863,1610612750,2,0,2026-03-18T00:11:09Z,70000,False,2.0,4.0,1,left,J. Randle driving finger roll Layup (2 PTS),[203944],1610612750.0,MIN,driving finger roll,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,0.46,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2026-03-18T00:11:10.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,92.9862023653088,50.49019607843137,1610612756,2,2,2026-03-18T00:11:13Z,80000,False,2.0,13.0,1,right,J. Green driving finger roll Layup (2 PTS) (O. Ighodaro 1 AST),"[1630224, 1642345]",1610612756.0,PHX,driving finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.36,Made,2.0,O. Ighodaro,1642345.0,1.0,,,,,,,,,,,,,,
10,PT11M14.00S,2026-03-18T00:11:26.9Z,1,REGULAR,3pt,Jump Shot,[],203944,16.376478318002626,93.62745098039215,1610612750,2,2,2026-03-18T00:11:34Z,100000,False,-218.0,101.0,1,left,MISS J. Randle 24' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,24.05,Missed,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2026-03-18T00:11:27.9Z,1,REGULAR,rebound,defensive,[],1631221,,,1610612756,2,2,2026-03-18T00:11:34Z,110000,False,,,0,,C. Gillespie REBOUND (Off:0 Def:1),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M55.00S,2026-03-18T00:11:45.9Z,1,REGULAR,3pt,Jump Shot,[],1630224,70.90998685939553,73.52941176470588,1610612756,2,2,2026-03-18T00:11:50Z,120000,False,118.0,221.0,1,right,MISS J. Green 25' step back 3PT,[1630224],1610612756.0,PHX,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,25.03,Missed,,,,,,,,,,,,,,,,,,
13,PT10M52.00S,2026-03-18T00:11:48.9Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612750,2,2,2026-03-18T00:11:54Z,130000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612750.0,MIN,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M44.00S,2026-03-18T00:11:56.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,8.09789750328515,48.529411764705884,1610612750,4,2,2026-03-18T00:12:43Z,140000,False,7.0,24.0,1,left,R. Gobert cutting Layup (2 PTS) (A. Dosunmu 1 AST),"[203497, 1630245]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,2.47,Made,2.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,,
16,PT10M38.00S,2026-03-18T00:12:02.1Z,1,REGULAR,3pt,Jump Shot,[],1626220,75.77201051248358,15.196078431372548,1610612756,4,5,2026-03-18T00:13:04Z,160000,False,-174.0,175.0,1,right,R. O'Neale 24' 3PT pullup (3 PTS) (D. Booker 1 AST),"[1626220, 1626164]",1610612756.0,PHX,pullup,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,24.69,Made,3.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,
