actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-19T00:10:37.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-19T00:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-03-19T00:10:39.0Z,1,REGULAR,jumpball,recovered,[],1628978,,,1610612750,0,0,2026-03-19T00:10:39Z,40000,False,,,0,,Jump Ball R. Gobert vs. K. Filipowski: Tip to D. DiVincenzo,"[1628978, 203497, 1642271]",1610612750.0,MIN,startperiod,D. DiVincenzo,1628978.0,DiVincenzo,D. DiVincenzo,Gobert,203497.0,Filipowski,1642271.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-03-19T00:10:51.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,92.59198423127464,50.49019607843137,1610612750,2,0,2026-03-19T00:10:57Z,70000,False,2.0,17.0,1,right,R. Gobert cutting finger roll Layup (2 PTS) (D. DiVincenzo 1 AST),"[203497, 1628978]",1610612750.0,MIN,cutting finger roll,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.73,Made,2.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2026-03-19T00:11:08.9Z,1,REGULAR,3pt,Jump Shot,[],1642846,32.40801576872536,46.81372549019608,1610612762,2,0,2026-03-19T00:11:15Z,90000,False,16.0,252.0,1,left,MISS A. Bailey 25' 3PT,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Above the Break 3,24+ Center,25.26,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2026-03-19T00:11:11.9Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612750,2,0,2026-03-19T00:11:15Z,100000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M13.00S,2026-03-19T00:11:24.9Z,1,REGULAR,turnover,out-of-bounds,[],203497,,,1610612750,2,0,2026-03-19T00:11:30Z,110000,False,,,0,,R. Gobert lost ball out-of-bounds TURNOVER (1 TO),[203497],1610612750.0,MIN,lost ball,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202035.0,1.0,,,,,,,,
12,PT11M00.00S,2026-03-19T00:11:42.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642268,19.004599211563733,45.09803921568628,1610612762,2,2,2026-03-19T00:11:48Z,120000,False,25.0,126.0,1,left,I. Collier 12' pullup Jump Shot (2 PTS) (K. Filipowski 1 AST),"[1642268, 1642271]",1610612762.0,UTA,pullup,,,Collier,I. Collier,,,,,In The Paint (Non-RA),8-16 Center,12.85,Made,2.0,K. Filipowski,1642271.0,1.0,,,,,,,,,,,,,,
14,PT10M43.00S,2026-03-19T00:11:59.3Z,1,REGULAR,2pt,Jump Shot,[],203944,77.34888304862024,60.049019607843135,1610612750,4,2,2026-03-19T00:12:05Z,140000,False,50.0,160.0,1,right,J. Randle 16' pullup Jump Shot (2 PTS) (A. Dosunmu 1 AST),"[203944, 1630245]",1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,Mid-Range,16-24 Center,16.81,Made,2.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,,
16,PT10M30.00S,2026-03-19T00:12:12.3Z,1,REGULAR,3pt,Jump Shot,[],1641729,22.946780551905388,87.00980392156863,1610612762,4,5,2026-03-19T00:12:20Z,160000,False,-185.0,163.0,1,left,B. Sensabaugh 24' 3PT pullup (3 PTS) (K. Filipowski 2 AST),"[1641729, 1642271]",1610612762.0,UTA,pullup,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Left Center,24.67,Made,3.0,K. Filipowski,1642271.0,2.0,,,,,,,,,,,,,,
18,PT10M12.00S,2026-03-19T00:12:30.2Z,1,REGULAR,3pt,Jump Shot,[],203944,95.74572930354796,4.411764705882353,1610612750,4,5,2026-03-19T00:12:34Z,180000,False,-228.0,-13.0,1,right,MISS J. Randle 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Left Corner 3,24+ Left,22.82,Missed,,,,,,,,,,,,,,,,,,
