actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-25T22:41:58.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-25T22:41:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-25T22:42:00.9Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612750,0,0,2026-01-25T22:42:00Z,40000,False,,,0,,Jump Ball R. Gobert vs. A. Horford: Tip to J. Randle,"[203944, 203497, 201143]",1610612750.0,MIN,startperiod,J. Randle,203944.0,Randle,J. Randle,Gobert,203497.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2026-01-25T22:42:21.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,80.6833114323259,47.162224264705884,1610612750,2,0,2026-01-25T22:42:28Z,70000,False,-14.0,129.0,1,right,J. Randle 12' pullup Jump Shot (2 PTS),[203944],1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,12.99,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2026-01-25T22:42:36.4Z,1,REGULAR,3pt,Jump Shot,[],201143,30.831143232588698,36.76470588235294,1610612744,2,0,2026-01-25T22:42:47Z,80000,False,66.0,237.0,1,left,MISS A. Horford 24' 3PT,[201143],1610612744.0,GSW,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,24.64,Missed,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2026-01-25T22:42:38.4Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,2,0,2026-01-25T22:42:47Z,90000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M06.00S,2026-01-25T22:42:52.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,89.43823915900131,48.77450980392157,1610612750,2,0,2026-01-25T22:42:58Z,100000,False,-6.0,47.0,1,right,MISS J. Randle driving floating Shot,[203944],1610612750.0,MIN,driving floating,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,4.72,Missed,,,,,,,,,,,,,,,,,,
11,PT11M02.00S,2026-01-25T22:42:56.2Z,1,REGULAR,rebound,defensive,[],1630541,,,1610612744,2,0,2026-01-25T22:43:15Z,110000,False,,,0,,M. Moody REBOUND (Off:0 Def:1),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,In The Paint (Non-RA),0-8 Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M58.00S,2026-01-25T22:42:59.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630541,6.258212877792378,49.01960784313725,1610612744,2,2,2026-01-25T22:43:04Z,120000,False,5.0,6.0,1,left,M. Moody running Layup (2 PTS) (S. Curry 1 AST),"[1630541, 201939]",1610612744.0,GSW,running,,,Moody,M. Moody,,,,,Restricted Area,0-8 Center,0.8,Made,2.0,,,,,S. Curry,201939.0,1.0,,,,,,,,,,
14,PT10M43.00S,2026-01-25T22:43:14.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,81.42247043363994,48.03921568627451,1610612750,2,2,2026-01-25T22:43:18Z,140000,False,-10.0,122.0,1,right,MISS J. McDaniels 12' pullup Shot,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,12.25,Missed,,,,,,,,,,,,,,,,,,
15,PT10M41.00S,2026-01-25T22:43:17.0Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,2,2,2026-01-25T22:43:17Z,150000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,
