actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-30T01:42:58.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-30T01:42:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-10-30T01:42:59.9Z,1,REGULAR,jumpball,recovered,[],1631222,,,1610612747,0,0,2025-10-30T01:42:59Z,40000,False,,,0,,Jump Ball D. Ayton vs. R. Gobert: Tip to J. LaRavia,"[1631222, 1629028, 203497]",1610612747.0,LAL,startperiod,J. LaRavia,1631222.0,LaRavia,J. LaRavia,Ayton,1629028.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-10-30T01:43:12.7Z,1,REGULAR,turnover,backcourt,[],1629028,,,1610612747,0,0,2025-10-30T01:43:21Z,70000,False,,,0,,D. Ayton backcourt TURNOVER (1 TO),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Left Center,204059.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2025-10-30T01:43:32.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203944,20.45006570302234,26.96078431372549,1610612750,0,0,2025-10-30T01:43:37Z,80000,False,115.0,140.0,1,left,MISS J. Randle 18' Jump Shot,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Right Center,,,18.11,Missed,,,,,,,,,,,,,,,,
9,PT11M34.00S,2025-10-30T01:43:35.8Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612747,0,0,2025-10-30T01:43:37Z,90000,False,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Mid-Range,16-24 Right Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M26.00S,2025-10-30T01:43:43.7Z,1,REGULAR,3pt,Jump Shot,[],1631222,75.50919842312747,14.950980392156863,1610612747,0,3,2025-10-30T01:43:48Z,100000,False,-175.0,178.0,1,right,J. LaRavia 24' 3PT  (3 PTS) (A. Reaves 1 AST),"[1631222, 1630559]",1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Left Center,,,24.95,Made,,,,,3.0,A. Reaves,1630559.0,1.0,,,,,,,,
12,PT11M13.00S,2025-10-30T01:43:56.8Z,1,REGULAR,3pt,Jump Shot,[],1628978,18.74178712220762,7.8431372549019605,1610612750,0,3,2025-10-30T01:44:03Z,120000,False,211.0,124.0,1,left,MISS D. DiVincenzo 24' 3PT,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,24.44,Missed,,,,,,,,,,,,,,,,
13,PT11M07.00S,2025-10-30T01:44:02.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,0,3,2025-10-30T01:44:03Z,130000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Right Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT10M57.00S,2025-10-30T01:44:15.2Z,1,REGULAR,turnover,out-of-bounds,[],1629060,,,1610612747,0,3,2025-10-30T01:44:20Z,140000,False,,,0,,R. Hachimura lost ball out-of-bounds TURNOVER (1 TO),[1629060],1610612747.0,LAL,lost ball,,,Hachimura,R. Hachimura,,,,,Right Corner 3,24+ Right,2002.0,1.0,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2025-10-30T01:44:34.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630183,16.770696452036795,59.31372549019608,1610612750,2,3,2025-10-30T01:45:47Z,150000,False,-47.0,105.0,1,left,J. McDaniels 11' pullup Jump Shot (2 PTS),[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,11.5,Made,,,,,2.0,,,,,,,,,,,
17,PT10M33.00S,2025-10-30T01:44:46.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,82.9993429697766,59.31372549019608,1610612747,2,5,2025-10-30T01:46:21Z,170000,False,47.0,107.0,1,right,D. Ayton 11' floating Jump Shot (2 PTS) (A. Reaves 2 AST),"[1629028, 1630559]",1610612747.0,LAL,floating,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,11.7,Made,,,,,2.0,A. Reaves,1630559.0,2.0,,,,,,,,
19,PT10M21.00S,2025-10-30T01:44:58.5Z,1,REGULAR,3pt,Jump Shot,[],203944,29.122864651773984,71.32352941176471,1610612750,5,5,2025-10-30T01:45:02Z,190000,False,-107.0,221.0,1,left,J. Randle 24' 3PT pullup (3 PTS),[203944],1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,24.56,Made,,,,,3.0,,,,,,,,,,,
20,PT09M59.00S,2025-10-30T01:45:20.0Z,1,REGULAR,3pt,Jump Shot,[],1629060,93.38042049934296,96.07843137254902,1610612747,5,5,2025-10-30T01:45:25Z,200000,False,230.0,10.0,1,right,MISS R. Hachimura 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Right Corner 3,24+ Right,,,23.06,Missed,,,,,,,,,,,,,,,,
21,PT09M55.00S,2025-10-30T01:45:24.0Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612747,5,5,2025-10-30T01:45:25Z,210000,False,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Right Corner 3,24+ Right,,,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,
