actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-07T01:10:50.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-07T01:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-02-07T01:10:53.4Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2026-02-07T01:10:53Z,40000,False,,,0,,Jump Ball D. Queen vs. R. Gobert: Tip to Z. Williamson,"[1629627, 1642852, 203497]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Queen,1642852.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2026-02-07T01:11:11.3Z,1,REGULAR,turnover,bad pass,[],1630530,,,1610612740,0,0,2026-02-07T01:11:15Z,70000,False,,,0,,T. Murphy III bad pass TURNOVER (1 TO),"[1630530, 203497]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,1.0,Gobert,203497.0,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-02-07T01:11:11.3Z,1,REGULAR,steal,,[],203497,,,1610612750,0,0,2026-02-07T01:11:12Z,80000,False,,,0,,R. Gobert STEAL (1 STL),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2026-02-07T01:11:23.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630162,5.995400788436268,50.98039215686274,1610612750,2,0,2026-02-07T01:11:27Z,90000,False,-5.0,4.0,1,left,A. Edwards driving finger roll Layup (2 PTS),[1630162],1610612750.0,MIN,driving finger roll,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,0.63,Made,2.0,,,,,,,,,,,,,,
10,PT11M12.00S,2026-02-07T01:11:36.6Z,1,REGULAR,3pt,Jump Shot,[],1642852,70.77858081471747,25.735294117647058,1610612740,2,3,2026-02-07T01:11:40Z,100000,False,-121.0,222.0,1,right,D. Queen 25' 3PT  (3 PTS) (T. Murphy III 1 AST),"[1642852, 1630530]",1610612740.0,NOP,,,,Queen,D. Queen,,,,,Above the Break 3,24+ Left Center,,,,25.32,Made,3.0,T. Murphy III,1630530.0,1.0,,,,,,,,,,,
12,PT10M56.00S,2026-02-07T01:11:53.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,19.71090670170828,56.15042892156863,1610612750,4,3,2026-02-07T01:12:00Z,120000,False,-31.0,133.0,1,left,J. Randle 13' pullup Jump Shot (2 PTS) (J. McDaniels 1 AST),"[203944, 1630183]",1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,13.63,Made,2.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,,
14,PT10M43.00S,2026-02-07T01:12:07.5Z,1,REGULAR,foul,personal,['2freethrow'],203497,,,1610612740,4,3,2026-02-07T01:12:13Z,140000,False,,,0,,R. Gobert shooting personal FOUL (1 PF) (Queen 2 FT),"[203497, 1642852]",1610612750.0,MIN,shooting,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Left,,,,,,,,,,1627534.0,1.0,0.0,Queen,1642852.0,,,,,,
16,PT10M43.00S,2026-02-07T01:12:31.2Z,1,REGULAR,freethrow,1 of 2,[],1642852,,,1610612740,4,4,2026-02-07T01:13:03Z,160000,False,,,0,,D. Queen Free Throw 1 of 2 (4 PTS),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
18,PT10M43.00S,2026-02-07T01:12:31.2Z,1,REGULAR,freethrow,2 of 2,[],1642852,,,1610612740,4,4,2026-02-07T01:13:03Z,180000,False,,,0,,MISS D. Queen Free Throw 2 of 2,[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
19,PT10M42.00S,2026-02-07T01:12:32.2Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,4,4,2026-02-07T01:13:03Z,190000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,
20,PT10M28.00S,2026-02-07T01:13:04.3Z,1,REGULAR,3pt,Jump Shot,[],203944,28.597240473061763,25.98039215686275,1610612750,4,4,2026-02-07T01:13:09Z,200000,False,120.0,216.0,1,left,MISS J. Randle 24' pullup 3PT,[203944],1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,,24.74,Missed,,,,,,,,,,,,,,,
21,PT10M25.00S,2026-02-07T01:13:07.3Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,4,4,2026-02-07T01:13:09Z,210000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,
22,PT10M11.00S,2026-02-07T01:13:21.2Z,1,REGULAR,3pt,Jump Shot,[],1630529,69.46452036793693,29.411764705882355,1610612740,4,4,2026-02-07T01:13:25Z,220000,False,-103.0,235.0,1,right,MISS H. Jones 25' pullup 3PT,[1630529],1610612740.0,NOP,pullup,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,,25.61,Missed,,,,,,,,,,,,,,,
23,PT10M09.00S,2026-02-07T01:13:23.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,4,4,2026-02-07T01:13:25Z,230000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,
