actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-08T20:12:49.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-08T20:12:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-02-08T20:12:59.4Z,1,REGULAR,jumpball,recovered,[],1627884,,,1610612746,0,0,2026-02-08T20:12:59Z,40000,False,,,0,,Jump Ball B. Lopez vs. R. Gobert: Tip to D. Jones Jr.,"[1627884, 201572, 203497]",1610612746.0,LAC,startperiod,D. Jones Jr.,1627884.0,Jones Jr.,D. Jones Jr.,Lopez,201572.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-02-08T20:13:05.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,14.799605781865965,55.63725490196079,1610612746,0,0,2026-02-08T20:13:36Z,70000,False,-28.0,87.0,1,left,MISS K. Leonard 9' step back Shot,[202695],1610612746.0,LAC,step back,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,9.11,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-02-08T20:13:08.3Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612750,0,0,2026-02-08T20:13:16Z,80000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2026-02-08T20:13:26.8Z,1,REGULAR,3pt,Jump Shot,[],1630162,67.09921156373193,42.15686274509804,1610612750,0,0,2026-02-08T20:13:36Z,90000,False,-39.0,257.0,1,right,MISS A. Edwards 25' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,25.98,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2026-02-08T20:13:27.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,0,0,2026-02-08T20:13:36Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Center,,,9.0,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2026-02-08T20:13:31.2Z,1,REGULAR,foul,personal,[],201572,,,1610612750,0,0,2026-02-08T20:13:40Z,110000,False,,,0,,B. Lopez loose ball personal FOUL (1 PF),"[201572, 203497]",1610612746.0,LAC,loose ball,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202058.0,1.0,0.0,Gobert,203497.0,,,,,,,,,
13,PT11M14.00S,2026-02-08T20:13:51.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630162,80.23981603153744,62.254901960784316,1610612750,2,0,2026-02-08T20:13:58Z,130000,False,61.0,133.0,1,right,A. Edwards 14' pullup Jump Shot (2 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,14.66,Made,,,,,,,,,,2.0,,,,,,,,
14,PT11M00.00S,2026-02-08T20:14:09.3Z,1,REGULAR,foul,personal,['2freethrow'],1630183,,,1610612746,2,0,2026-02-08T20:14:34Z,140000,False,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Leonard 2 FT),"[1630183, 202695]",1610612750.0,MIN,shooting,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,,,,,,,202058.0,1.0,0.0,Leonard,202695.0,,,,,,,,,
16,PT11M00.00S,2026-02-08T20:14:35.4Z,1,REGULAR,freethrow,1 of 2,[],202695,,,1610612746,2,1,2026-02-08T20:14:35Z,160000,False,,,0,,K. Leonard Free Throw 1 of 2 (1 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
