actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
49,PT07M51.00S,2025-12-28T01:16:38.3Z,1,REGULAR,turnover,out-of-bounds,[],1629651,,,1610612751,10,9,2025-12-28T01:16:42Z,470000,False,,,0,,N. Claxton bad pass out-of-bounds TURNOVER (1 TO),[1629651],1610612751.0,BKN,bad pass,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,,,1629183.0,1.0,,,,,,,,,,,
50,PT07M41.00S,2025-12-28T01:16:58.9Z,1,REGULAR,turnover,out-of-bounds,[],1628978,,,1610612750,10,9,2025-12-28T01:17:03Z,480000,False,,,0,,D. DiVincenzo bad pass out-of-bounds TURNOVER (1 TO),[1628978],1610612750.0,MIN,bad pass,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,,,,,,,,1629183.0,1.0,,,,,,,,,,,
51,PT07M28.00S,2025-12-28T01:17:19.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629008,90.22667542706965,50.98039215686274,1610612751,10,9,2025-12-28T01:17:27Z,490000,False,5.0,39.0,1,right,MISS M. Porter Jr. driving Layup,[1629008],1610612751.0,BKN,driving,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,3.97,Missed,,,,,,,,,,,,,,,,,,
52,PT07M27.00S,2025-12-28T01:17:20.4Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,10,9,2025-12-28T01:17:27Z,500000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,,
53,PT07M22.00S,2025-12-28T01:17:25.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628978,21.369908015768726,87.99019607843137,1610612750,10,9,2025-12-28T01:17:30Z,510000,False,-190.0,148.0,1,left,MISS D. DiVincenzo 24' running 3PT,[1628978],1610612750.0,MIN,running,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,24.11,Missed,,,,,,,,,,,,,,,,,,
54,PT07M22.00S,2025-12-28T01:17:25.1Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612751,10,9,2025-12-28T01:17:30Z,520000,False,,,0,,T. Mann REBOUND (Off:0 Def:2),[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,,
55,PT07M16.00S,2025-12-28T01:17:30.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629008,92.59198423127464,50.49019607843137,1610612751,10,11,2025-12-28T01:22:09Z,530000,False,2.0,17.0,1,right,M. Porter Jr. running DUNK (5 PTS) (T. Mann 2 AST),"[1629008, 1629611]",1610612751.0,BKN,running,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,1.73,Made,,,,,5.0,,,,,,,T. Mann,1629611.0,2.0,,,,
57,PT07M00.00S,2025-12-28T01:17:50.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,7.046649145860711,47.794117647058826,1610612750,12,11,2025-12-28T01:17:54Z,550000,False,11.0,14.0,1,left,A. Edwards driving finger roll Layup (2 PTS),[1630162],1610612750.0,MIN,driving finger roll,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.76,Made,,,,,2.0,,,,,,,,,,,,,
59,PT07M00.00S,2025-12-28T01:17:54.9Z,1,REGULAR,foul,personal,['1freethrow'],1641730,,,1610612750,12,11,2025-12-28T01:18:04Z,570000,False,,,0,,N. Clowney shooting personal FOUL (1 PF) (Edwards 1 FT),"[1641730, 1630162]",1610612751.0,BKN,shooting,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,,,,,,,,1629183.0,,1.0,0.0,Edwards,1630162.0,,,,,,,
61,PT07M00.00S,2025-12-28T01:18:18.3Z,1,REGULAR,freethrow,1 of 1,[],1630162,,,1610612750,13,11,2025-12-28T01:18:18Z,590000,False,,,0,,A. Edwards Free Throw 1 of 1 (3 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
