actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-18T01:10:56.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-18T01:10:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-18T01:10:59.1Z,1,REGULAR,jumpball,recovered,[],1630314,,,1610612742,0,0,2025-11-18T01:10:59Z,40000,False,,,0,,Jump Ball M. Cisse vs. R. Gobert: Tip to B. Williams,"[1630314, 1630619, 203497]",1610612742.0,DAL,startperiod,B. Williams,1630314.0,Williams,B. Williams,Cisse,1630619.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-11-18T01:11:13.4Z,1,REGULAR,foul,personal,[],1630162,,,1610612742,0,0,2025-11-18T01:11:28Z,70000,False,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1630314]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,202901.0,1.0,0.0,Williams,1630314.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2025-11-18T01:11:41.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630619,90.62089356110381,50.49019607843137,1610612742,0,0,2025-11-18T01:13:29Z,90000,False,2.0,36.0,1,right,MISS M. Cisse turnaround Hook,[1630619],1610612742.0,DAL,turnaround,,,Cisse,M. Cisse,,,,,Restricted Area,0-8 Center,,,,,,3.58,Missed,,,,,,,,,,,,,
10,PT11M36.00S,2025-11-18T01:11:44.8Z,1,REGULAR,rebound,offensive,[],1630619,,,1610612742,0,0,2025-11-18T01:11:46Z,100000,False,,,0,,M. Cisse REBOUND (Off:1 Def:0),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
11,PT11M36.00S,2025-11-18T01:11:44.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630619,94.40999984741211,50.0,1610612742,0,0,2025-11-18T01:11:44Z,110000,False,0.0,0.0,1,right,MISS M. Cisse tip Layup,[1630619],1610612742.0,DAL,tip,,,Cisse,M. Cisse,,,,,Mid-Range,8-16 Left,,,,,,0.0,Missed,,,,,,,,,,,,,
12,PT11M35.00S,2025-11-18T01:11:45.5Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,0,0,2025-11-18T01:11:45Z,120000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M33.00S,2025-11-18T01:11:46.7Z,1,REGULAR,turnover,lost ball,[],1630183,,,1610612750,0,0,2025-11-18T01:12:11Z,130000,False,,,0,,J. McDaniels lost ball TURNOVER (1 TO),"[1630183, 1630619]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,Cisse,1630619.0,,,,,,
14,PT11M33.00S,2025-11-18T01:11:46.7Z,1,REGULAR,steal,,[],1630619,,,1610612742,0,0,2025-11-18T01:11:49Z,140000,False,,,0,,M. Cisse STEAL (1 STL),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
15,PT11M29.00S,2025-11-18T01:11:50.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630619,91.93495400788436,52.69607843137255,1610612742,0,2,2025-11-18T01:14:03Z,150000,False,13.0,23.0,1,right,M. Cisse turnaround Hook (2 PTS),[1630619],1610612742.0,DAL,turnaround,,,Cisse,M. Cisse,,,,,Restricted Area,0-8 Center,,,,,,2.69,Made,,,,,,,,2.0,,,,,
16,PT11M16.00S,2025-11-18T01:12:03.8Z,1,REGULAR,3pt,Jump Shot,[],1628978,19.66162943495401,90.93137254901961,1610612750,3,2,2025-11-18T01:12:07Z,160000,False,-205.0,132.0,1,left,D. DiVincenzo 24' 3PT  (3 PTS) (R. Gobert 1 AST),"[1628978, 203497]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,,,24.37,Made,,,,,,,,3.0,R. Gobert,203497.0,1.0,,
