actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-23T01:10:52.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-23T01:10:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-23T01:10:53.7Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2026-01-23T01:10:53Z,40000,False,,,0,,Jump Ball R. Gobert vs. J. Smith: Tip to A. Edwards,"[1630162, 203497, 1630188]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Gobert,203497.0,Smith,1630188.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-01-23T01:11:10.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,80.3712220762155,42.8921568627451,1610612750,2,0,2026-01-23T01:11:17Z,70000,False,-36.0,132.0,1,right,A. Edwards 13' pullup Jump Shot (2 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,13.67,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M13.00S,2026-01-23T01:11:38.4Z,1,REGULAR,turnover,lost ball,[],1629632,,,1610612741,2,0,2026-01-23T01:11:41Z,80000,False,,,0,,C. White lost ball TURNOVER (1 TO),"[1629632, 1628978]",1610612741.0,CHI,,,,White,C. White,,,,,In The Paint (Non-RA),8-16 Center,,,,1.0,DiVincenzo,1628978.0,,,,,,,,,,,,,,
9,PT11M13.00S,2026-01-23T01:11:38.4Z,1,REGULAR,steal,,[],1628978,,,1610612750,2,0,2026-01-23T01:11:39Z,90000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M09.00S,2026-01-23T01:11:44.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",1630162,87.46714848883047,72.05882352941177,1610612750,4,0,2026-01-23T01:13:18Z,100000,False,110.0,65.0,1,right,A. Edwards 12' running pullup Jump Shot (4 PTS) (D. DiVincenzo 1 AST),"[1630162, 1628978]",1610612750.0,MIN,running pullup,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,12.82,Made,4.0,,,,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,,
12,PT11M09.00S,2026-01-23T01:11:49.8Z,1,REGULAR,foul,personal,['1freethrow'],1630188,,,1610612750,4,0,2026-01-23T01:12:00Z,120000,False,,,0,,J. Smith shooting personal FOUL (1 PF) (Edwards 1 FT),"[1630188, 1630162]",1610612741.0,CHI,shooting,,,Smith,J. Smith,,,,,Mid-Range,8-16 Right,,,,,,,,,,203593.0,1.0,0.0,Edwards,1630162.0,,,,,,
14,PT11M09.00S,2026-01-23T01:12:12.1Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630162,,,1610612750,5,0,2026-01-23T01:12:12Z,140000,False,,,0,,A. Edwards Free Throw 1 of 1 (5 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2026-01-23T01:12:33.1Z,1,REGULAR,foul,personal,[],1630162,,,1610612741,5,0,2026-01-23T01:12:42Z,150000,False,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1630171]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,,,,,,,,,,203593.0,1.0,0.0,Okoro,1630171.0,,,,,,
17,PT10M47.00S,2026-01-23T01:12:58.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,6.964520367936925,44.95634191176471,1610612741,5,0,2026-01-23T01:14:55Z,170000,False,25.0,13.0,1,left,MISS J. Smith driving Layup,[1630188],1610612741.0,CHI,driving,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,2.84,Missed,,,,,,,,,,,,,,,,,,
