actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-07T01:12:58.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-07T01:12:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-07T01:13:01.6Z,1,REGULAR,jumpball,recovered,[],1630183,,,1610612750,0,0,2026-01-07T01:13:01Z,40000,False,,,0,,Jump Ball R. Gobert vs. K. Ware: Tip to J. McDaniels,"[1630183, 203497, 1642276]",1610612750.0,MIN,startperiod,J. McDaniels,1630183.0,McDaniels,J. McDaniels,Gobert,203497.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-01-07T01:13:10.5Z,1,REGULAR,3pt,Jump Shot,[],1630162,25.443495400788436,82.59803921568627,1610612750,3,0,2026-01-07T01:13:14Z,70000,False,-163.0,187.0,1,left,A. Edwards 24' 3PT pullup (3 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,24.78,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2026-01-07T01:13:27.4Z,1,REGULAR,violation,kicked ball,[],1630183,,,1610612748,3,0,2026-01-07T01:13:32Z,80000,False,,,0,,J. McDaniels kicked ball VIOLATION,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,1628480.0,,,,,,,,,,,,,,,,
9,PT11M26.00S,2026-01-07T01:13:47.6Z,1,REGULAR,3pt,Jump Shot,[],1628389,67.62483574244416,45.34313725490196,1610612748,3,0,2026-01-07T01:13:53Z,90000,False,-23.0,252.0,1,right,MISS B. Adebayo 25' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,25.29,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2026-01-07T01:13:49.6Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,3,0,2026-01-07T01:13:53Z,100000,False,,,0,,K. Ware REBOUND (Off:1 Def:0),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Center,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,
11,PT11M22.00S,2026-01-07T01:13:52.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626181,67.23061760840999,21.813725490196077,1610612748,3,3,2026-01-07T01:13:57Z,110000,False,-141.0,256.0,1,right,N. Powell 29' 3PT  (3 PTS) (A. Wiggins 1 AST),"[1626181, 203952]",1610612748.0,MIA,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,29.18,Made,3.0,,,,,,A. Wiggins,203952.0,1.0,,,,,,,,,
13,PT11M07.00S,2026-01-07T01:14:07.3Z,1,REGULAR,3pt,Jump Shot,[],1628978,5.995400788436268,95.34313725490196,1610612750,3,3,2026-01-07T01:14:11Z,130000,False,-227.0,4.0,1,left,MISS D. DiVincenzo 3PT,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Left Corner 3,24+ Left,22.67,Missed,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2026-01-07T01:14:10.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,3,3,2026-01-07T01:14:11Z,140000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Left Corner 3,24+ Left,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
15,PT11M00.00S,2026-01-07T01:14:14.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626181,67.36202365308804,23.03921568627451,1610612748,3,6,2026-01-07T01:14:52Z,150000,False,-135.0,254.0,1,right,N. Powell 28' 3PT running (6 PTS) (B. Adebayo 1 AST),"[1626181, 1628389]",1610612748.0,MIA,running,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,28.78,Made,6.0,,,,,,B. Adebayo,1628389.0,1.0,,,,,,,,,
17,PT10M52.00S,2026-01-07T01:14:21.9Z,1,REGULAR,3pt,Jump Shot,[],1628978,27.94021024967148,76.22549019607843,1610612750,3,6,2026-01-07T01:14:27Z,170000,False,-131.0,210.0,1,left,MISS D. DiVincenzo 24' 3PT,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,24.76,Missed,,,,,,,,,,,,,,,,,,
18,PT10M52.00S,2026-01-07T01:14:21.9Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,3,6,2026-01-07T01:14:27Z,180000,False,,,0,,K. Ware REBOUND (Off:1 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Left Center,,,,,17.0,2.0,1.0,1.0,,,,,,,,,,,,
19,PT10M37.00S,2026-01-07T01:14:36.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,82.47371879106439,36.51960784313725,1610612748,3,6,2026-01-07T01:15:36Z,190000,False,-67.0,112.0,1,right,MISS A. Wiggins 13' driving floating Shot,[203952],1610612748.0,MIA,driving floating,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Left,13.09,Missed,,,,,,,,,,,,,,,,,,
20,PT10M35.00S,2026-01-07T01:14:38.6Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,3,6,2026-01-07T01:15:36Z,200000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Left,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,
21,PT10M35.00S,2026-01-07T01:14:42.7Z,1,REGULAR,foul,personal,[],203952,,,1610612750,3,6,2026-01-07T01:14:47Z,210000,False,,,0,,A. Wiggins personal FOUL (1 PF),"[203952, 1630162]",1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Left,,,,1162.0,,,,,,,,1.0,0.0,Edwards,1630162.0,,,,,
23,PT10M20.00S,2026-01-07T01:15:13.0Z,1,REGULAR,3pt,Jump Shot,[],1630162,30.962549277266753,41.66666666666667,1610612750,6,6,2026-01-07T01:15:16Z,230000,False,42.0,239.0,1,left,A. Edwards 24' 3PT pullup (6 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,24.21,Made,6.0,,,,,,,,,,,,,,,,,
24,PT10M06.00S,2026-01-07T01:15:26.7Z,1,REGULAR,2pt,Jump Shot,[],1628389,91.40932982917214,21.568627450980394,1610612748,6,8,2026-01-07T01:15:30Z,240000,False,-142.0,28.0,1,right,B. Adebayo 14' step back Jump Shot (2 PTS) (A. Wiggins 2 AST),"[1628389, 203952]",1610612748.0,MIA,step back,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,14.5,Made,2.0,,,,,,A. Wiggins,203952.0,2.0,,,,,,,,,
26,PT10M04.00S,2026-01-07T01:15:33.2Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,6,8,2026-01-07T01:15:52Z,260000,False,,,0,,A. Edwards lost ball out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,lost ball,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,,,,1162.0,,,,,,,,,,,,1.0,,,,
27,PT10M01.00S,2026-01-07T01:15:53.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626181,89.17542706964521,15.196078431372548,1610612748,6,10,2026-01-07T01:15:58Z,270000,False,-174.0,49.0,1,right,N. Powell 18' turnaround Jump Shot (8 PTS) (D. Mitchell 1 AST),"[1626181, 1630558]",1610612748.0,MIA,turnaround,,,Powell,N. Powell,,,,,Mid-Range,16-24 Left,18.08,Made,8.0,,,,,,D. Mitchell,1630558.0,1.0,,,,,,,,,
