actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-27T02:43:04.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-27T02:43:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-27T02:43:06.1Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612750,0,0,2026-01-27T02:43:06Z,40000,False,,,0,,Jump Ball R. Gobert vs. Q. Post: Tip to M. Conley,"[201144, 203497, 1642366]",1610612750.0,MIN,startperiod,M. Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Post,1642366.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-01-27T02:43:19.2Z,1,REGULAR,foul,personal,['2freethrow'],1642366,,,1610612750,0,0,2026-01-27T02:43:24Z,70000,False,,,0,,Q. Post shooting personal FOUL (1 PF) (Gobert 2 FT),"[1642366, 203497]",1610612744.0,GSW,shooting,,,Post,Q. Post,,,,,Restricted Area,0-8 Center,2882.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2026-01-27T02:43:42.2Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612750,1,0,2026-01-27T02:44:07Z,90000,False,,,0,,R. Gobert Free Throw 1 of 2 (1 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M47.00S,2026-01-27T02:43:42.2Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612750,1,0,2026-01-27T02:44:07Z,100000,False,,,0,,MISS R. Gobert Free Throw 2 of 2,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M46.00S,2026-01-27T02:43:43.2Z,1,REGULAR,rebound,defensive,[],1630541,,,1610612744,1,0,2026-01-27T02:44:12Z,110000,False,,,0,,M. Moody REBOUND (Off:0 Def:1),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M22.00S,2026-01-27T02:44:24.7Z,1,REGULAR,3pt,Jump Shot,[],1630311,11.12023653088042,4.411764705882353,1610612744,1,3,2026-01-27T02:44:29Z,120000,False,228.0,52.0,1,left,P. Spencer 3PT  (3 PTS) (B. Podziemski 1 AST),"[1630311, 1641764]",1610612744.0,GSW,,,,Spencer,P. Spencer,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,,,,,23.38,B. Podziemski,1641764.0,1.0,,,,,
14,PT11M09.00S,2026-01-27T02:44:37.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628978,91.5407358738502,54.90196078431373,1610612750,1,3,2026-01-27T02:44:42Z,140000,False,25.0,27.0,1,right,MISS D. DiVincenzo driving finger roll Layup - blocked,"[1628978, 1642366]",1610612750.0,MIN,driving finger roll,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.65,,,,Post,1642366.0,,,
15,PT11M09.00S,2026-01-27T02:44:37.8Z,1,REGULAR,block,,[],1642366,,,1610612750,1,3,2026-01-27T02:44:39Z,150000,False,,,0,,Q. Post BLOCK (1 BLK),[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M07.00S,2026-01-27T02:44:39.8Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,1,3,2026-01-27T02:44:42Z,160000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
