actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-29T22:11:03.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-29T22:11:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-29T22:11:06.9Z,1,REGULAR,jumpball,recovered,[],1628978,,,1610612750,0,0,2025-11-29T22:11:06Z,40000,False,,,0,,Jump Ball R. Gobert vs. N. Queta: Tip to D. DiVincenzo,"[1628978, 203497, 1629674]",1610612750.0,MIN,startperiod,D. DiVincenzo,1628978.0,DiVincenzo,D. DiVincenzo,Gobert,203497.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-11-29T22:11:20.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,11.12023653088042,37.254901960784316,1610612750,2,0,2025-11-29T22:11:27Z,70000,False,64.0,52.0,1,left,J. Randle 8' turnaround fadeaway Jump Shot (2 PTS) (D. DiVincenzo 1 AST),"[203944, 1628978]",1610612750.0,MIN,turnaround fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Right,8.22,Made,2.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2025-11-29T22:11:44.8Z,1,REGULAR,3pt,Jump Shot,[],1641775,94.43166885676742,94.36274509803921,1610612738,2,0,2025-11-29T22:11:50Z,90000,False,222.0,0.0,1,right,MISS J. Walsh 3PT,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Right Corner 3,24+ Right,22.18,Missed,,,,,,,,,,,,,,,,,,
10,PT11M14.00S,2025-11-29T22:11:47.8Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,2,0,2025-11-29T22:11:50Z,100000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M08.00S,2025-11-29T22:11:55.1Z,1,REGULAR,3pt,Jump Shot,[],203944,31.488173455978973,41.911764705882355,1610612750,2,0,2025-11-29T22:11:59Z,110000,False,40.0,243.0,1,left,MISS J. Randle 24' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,24.68,Missed,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2025-11-29T22:11:57.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,0,2025-11-29T22:11:59Z,120000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M00.00S,2025-11-29T22:12:03.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,68.67608409986859,27.941176470588236,1610612738,2,3,2025-11-29T22:13:31Z,130000,False,-110.0,242.0,1,right,J. Brown 26' 3PT running pullup (3 PTS),[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,26.59,Made,3.0,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2025-11-29T22:12:12.4Z,1,REGULAR,3pt,Jump Shot,[],1630183,7.30946123521682,3.9215686274509802,1610612750,2,3,2025-11-29T22:12:17Z,140000,False,230.0,16.0,1,left,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,23.1,Missed,,,,,,,,,,,,,,,,,,
15,PT10M48.00S,2025-11-29T22:12:14.8Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,2,3,2025-11-29T22:12:14Z,150000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,
