actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-02-12T01:13:13.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-12T01:13:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT12M00.00S,2026-02-12T01:13:15.3Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2026-02-12T01:13:42Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-02-12T01:13:16.8Z,1,REGULAR,jumpball,recovered,[],1630183,,,1610612750,0,0,2026-02-12T01:13:16Z,40000,False,,,0,,Jump Ball R. Gobert vs. D. Clingan: Tip to J. McDaniels,"[1630183, 203497, 1642270]",1610612750.0,MIN,startperiod,J. McDaniels,1630183.0,McDaniels,J. McDaniels,Gobert,203497.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-02-12T01:13:27.8Z,1,REGULAR,3pt,Jump Shot,[],1630183,23.603810775295663,12.745098039215685,1610612750,3,0,2026-02-12T01:13:49Z,70000,False,186.0,169.0,1,left,J. McDaniels 25' 3PT pullup (3 PTS) (D. DiVincenzo 1 AST),"[1630183, 1628978]",1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,25.18,Made,3.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,,,,,
10,PT11M28.00S,2026-02-12T01:13:48.2Z,1,REGULAR,foul,personal,['2freethrow'],1630162,,,1610612757,3,0,2026-02-12T01:13:55Z,90000,False,,,0,,A. Edwards shooting personal FOUL (1 PF) (Avdija 2 FT),"[1630162, 1630166]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,1627541.0,1.0,0.0,Avdija,1630166.0,,,,,,,,,
12,PT11M28.00S,2026-02-12T01:14:09.5Z,1,REGULAR,freethrow,1 of 2,[],1630166,,,1610612757,3,1,2026-02-12T01:14:09Z,110000,False,,,0,,D. Avdija Free Throw 1 of 2 (1 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
13,PT11M28.00S,2026-02-12T01:14:21.4Z,1,REGULAR,freethrow,2 of 2,[],1630166,,,1610612757,3,2,2026-02-12T01:14:21Z,120000,False,,,0,,D. Avdija Free Throw 2 of 2 (2 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
14,PT11M12.00S,2026-02-12T01:14:39.0Z,1,REGULAR,3pt,Jump Shot,[],1628978,30.962549277266753,63.970588235294116,1610612750,3,2,2026-02-12T01:14:45Z,130000,False,-70.0,239.0,1,left,MISS D. DiVincenzo 24' pullup 3PT,[1628978],1610612750.0,MIN,pullup,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,24.85,Missed,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2026-02-12T01:14:42.0Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,3,2,2026-02-12T01:14:45Z,140000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
16,PT11M03.00S,2026-02-12T01:14:47.9Z,1,REGULAR,3pt,Jump Shot,[],201950,91.01511169513797,94.6078431372549,1610612757,3,2,2026-02-12T01:14:52Z,150000,False,223.0,32.0,1,right,MISS J. Holiday 3PT,[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,22.53,Missed,,,,,,,,,,,,,,,,,,
