actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-06T01:12:24.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-06T01:12:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2026-03-06T01:12:25.3Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2026-03-06T01:12:38Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-03-06T01:12:26.4Z,1,REGULAR,jumpball,recovered,[],1630193,,,1610612761,0,0,2026-03-06T01:12:26Z,40000,False,,,0,,Jump Ball J. Poeltl vs. R. Gobert: Tip to I. Quickley,"[1630193, 1627751, 203497]",1610612761.0,TOR,startperiod,I. Quickley,1630193.0,Quickley,I. Quickley,Poeltl,1627751.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2026-03-06T01:13:02.1Z,1,REGULAR,2pt,Jump Shot,[],1627742,6.915243101182654,25.49019607843137,1610612761,0,2,2026-03-06T01:13:43Z,80000,False,123.0,13.0,1,left,B. Ingram 12' Jump Shot (2 PTS) (S. Barnes 1 AST),"[1627742, 1630567]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,12.31,Made,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,,
11,PT11M23.00S,2026-03-06T01:13:19.1Z,1,REGULAR,3pt,Jump Shot,[],1628978,71.30420499342969,18.627450980392158,1610612750,3,2,2026-03-06T01:13:28Z,100000,False,-157.0,217.0,1,right,D. DiVincenzo 26' 3PT  (3 PTS) (J. Randle 1 AST),"[1628978, 203944]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,26.79,Made,3.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,,
13,PT11M07.00S,2026-03-06T01:13:33.8Z,1,REGULAR,3pt,Jump Shot,[],1630193,32.14520367936925,47.30392156862745,1610612761,3,2,2026-03-06T01:13:38Z,120000,False,13.0,250.0,1,left,MISS I. Quickley 25' 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,25.01,Missed,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2026-03-06T01:13:36.8Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,3,2,2026-03-06T01:13:38Z,130000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M59.00S,2026-03-06T01:13:42.9Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,3,2,2026-03-06T01:13:49Z,140000,False,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 1627742]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,Ingram,1627742.0,,,,,,,
16,PT10M59.00S,2026-03-06T01:13:42.9Z,1,REGULAR,steal,,[],1627742,,,1610612761,3,2,2026-03-06T01:13:49Z,150000,False,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
17,PT10M57.00S,2026-03-06T01:13:50.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627742,6.783837056504599,48.529411764705884,1610612761,3,4,2026-03-06T01:14:02Z,160000,False,7.0,11.0,1,left,B. Ingram running Layup (4 PTS),[1627742],1610612761.0,TOR,running,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1.35,Made,4.0,,,,,,,,,,,,,,,,,
18,PT10M57.00S,2026-03-06T01:13:54.2Z,1,REGULAR,foul,personal,['1freethrow'],1630183,,,1610612761,3,4,2026-03-06T01:14:07Z,170000,False,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Ingram 1 FT),"[1630183, 1627742]",1610612750.0,MIN,shooting,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1628481.0,1.0,0.0,Ingram,1627742.0,,
