actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-16T01:11:13.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-16T01:11:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-11-16T01:11:18.1Z,1,REGULAR,jumpball,recovered,[],203501,,,1610612743,0,0,2025-11-16T01:11:18Z,40000,False,,,0,,Jump Ball N. Jokić vs. R. Gobert: Tip to T. Hardaway Jr.,"[203501, 203999, 203497]",1610612743.0,DEN,startperiod,T. Hardaway Jr.,203501.0,Hardaway Jr.,T. Hardaway Jr.,Jokić,203999.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-11-16T01:11:33.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,91.14651773981603,49.754901960784316,1610612743,0,2,2025-11-16T01:12:06Z,70000,False,-1.0,31.0,1,right,J. Murray driving finger roll Layup (2 PTS),[1627750],1610612743.0,DEN,driving finger roll,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,3.07,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2025-11-16T01:11:51.9Z,1,REGULAR,3pt,Jump Shot,[],1630162,27.020367936925098,79.41176470588235,1610612750,0,2,2025-11-16T01:11:56Z,80000,False,-147.0,201.0,1,left,MISS A. Edwards 24' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,24.95,Missed,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2025-11-16T01:11:53.9Z,1,REGULAR,rebound,defensive,[],203501,,,1610612743,0,2,2025-11-16T01:11:56Z,90000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M10.00S,2025-11-16T01:12:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,89.30683311432325,46.568627450980394,1610612743,0,2,2025-11-16T01:12:58Z,100000,False,-17.0,48.0,1,right,MISS J. Murray driving Layup - blocked,"[1627750, 203497]",1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,5.1,Missed,,,,,,Gobert,203497.0,,,,,,,,,,,
11,PT11M10.00S,2025-11-16T01:12:05.6Z,1,REGULAR,block,,[],203497,,,1610612743,0,2,2025-11-16T01:12:08Z,110000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2025-11-16T01:12:08.6Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,2,2025-11-16T01:12:58Z,120000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M01.00S,2025-11-16T01:12:16.0Z,1,REGULAR,foul,personal,['2freethrow'],1631212,,,1610612750,0,2,2025-11-16T01:12:22Z,130000,False,,,0,,P. Watson shooting personal FOUL (1 PF) (Edwards 2 FT),"[1631212, 1630162]",1610612743.0,DEN,shooting,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,,,,,,,,201245.0,1.0,0.0,Edwards,1630162.0,,,,,,
15,PT11M01.00S,2025-11-16T01:12:39.6Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,1,2,2025-11-16T01:12:39Z,150000,False,,,0,,A. Edwards Free Throw 1 of 2 (1 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
