actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,shotDistance,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-02-23T00:10:40.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-23T00:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-23T00:10:43.2Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2026-02-23T00:10:43Z,40000,False,,,0,,Jump Ball A. Drummond vs. J. Beringer: Tip to T. Maxey,"[1630178, 203083, 1642866]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Drummond,203083.0,Beringer,1642866.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-02-23T00:11:00.9Z,1,REGULAR,turnover,bad pass,[],1630178,,,1610612755,0,0,2026-02-23T00:11:24Z,70000,False,,,0,,T. Maxey bad pass TURNOVER (1 TO),"[1630178, 1630162]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,1.0,Edwards,1630162.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-02-23T00:11:00.9Z,1,REGULAR,steal,,[],1630162,,,1610612750,0,0,2026-02-23T00:11:02Z,80000,False,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2026-02-23T00:11:04.6Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612750,0,0,2026-02-23T00:11:13Z,90000,False,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Edwards 2 FT),"[1626162, 1630162]",1610612755.0,PHI,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,200834.0,1.0,0.0,Edwards,1630162.0,,,,,,,,,,,,
11,PT11M37.00S,2026-02-23T00:11:30.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630162,,,1610612750,0,0,2026-02-23T00:11:46Z,110000,False,,,0,,MISS A. Edwards Free Throw 1 of 2,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,Missed,,,,,,,,,,,
12,PT11M37.00S,2026-02-23T00:11:30.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612750,0,0,2026-02-23T00:11:46Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,
13,PT11M37.00S,2026-02-23T00:11:30.0Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630162,,,1610612750,0,0,2026-02-23T00:11:46Z,130000,False,,,0,,MISS A. Edwards Free Throw 2 of 2,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,Missed,,,,,,,,,,,
14,PT11M36.00S,2026-02-23T00:11:31.0Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,0,0,2026-02-23T00:11:46Z,140000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT11M22.00S,2026-02-23T00:11:59.5Z,1,REGULAR,foul,personal,['2freethrow'],1642866,,,1610612755,0,0,2026-02-23T00:12:08Z,150000,False,,,0,,J. Beringer shooting personal FOUL (1 PF) (Drummond 2 FT),"[1642866, 203083]",1610612750.0,MIN,shooting,,,Beringer,J. Beringer,,,,,Restricted Area,0-8 Center,,,,200834.0,1.0,0.0,Drummond,203083.0,,,,,,,,,,,,
