actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-10T01:11:49.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-10T01:11:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-02-10T01:11:51.3Z,1,REGULAR,jumpball,recovered,[],1630183,,,1610612750,0,0,2026-02-10T01:11:51Z,40000,False,,,0,,Jump Ball R. Gobert vs. O. Okongwu: Tip to J. McDaniels,"[1630183, 203497, 1630168]",1610612750.0,MIN,startperiod,J. McDaniels,1630183.0,McDaniels,J. McDaniels,Gobert,203497.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2026-02-10T01:12:14.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,8.492115637319317,62.5,1610612750,2,0,2026-02-10T01:12:38Z,70000,False,-62.0,27.0,1,left,A. Edwards 6' pullup Jump Shot (2 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,6.82,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M12.00S,2026-02-10T01:12:51.1Z,1,REGULAR,turnover,out-of-bounds,[],1630168,,,1610612737,2,0,2026-02-10T01:12:58Z,90000,False,,,0,,O. Okongwu bad pass out-of-bounds TURNOVER (1 TO),[1630168],1610612737.0,ATL,bad pass,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,,,,1146.0,1.0,,,,,,,,,,,,,,,
10,PT11M01.00S,2026-02-10T01:13:07.5Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,2,0,2026-02-10T01:13:10Z,100000,False,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 203468]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,1.0,McCollum,203468.0,,,,,,,,,,,,,
11,PT11M01.00S,2026-02-10T01:13:07.5Z,1,REGULAR,steal,,[],203468,,,1610612737,2,0,2026-02-10T01:13:09Z,110000,False,,,0,,C. McCollum STEAL (1 STL),[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
12,PT10M57.00S,2026-02-10T01:13:11.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203468,71.82982917214193,75.24509803921569,1610612737,2,3,2026-02-10T01:13:21Z,120000,False,126.0,212.0,1,right,C. McCollum 24' 3PT running pullup (3 PTS),[203468],1610612737.0,ATL,running pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,24.7,Made,3.0,,,,,,,,,,,,,,,,,
13,PT10M40.00S,2026-02-10T01:13:27.6Z,1,REGULAR,3pt,Jump Shot,[],1628978,17.95335085413929,92.64705882352942,1610612750,5,3,2026-02-10T01:13:32Z,130000,False,-213.0,116.0,1,left,D. DiVincenzo 24' 3PT  (3 PTS) (J. McDaniels 1 AST),"[1628978, 1630183]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,24.29,Made,3.0,,,,,J. McDaniels,1630183.0,1.0,,,,,,,,,,
15,PT10M31.00S,2026-02-10T01:13:40.0Z,1,REGULAR,turnover,out-of-bounds,[],1642854,,,1610612737,5,3,2026-02-10T01:13:45Z,150000,False,,,0,,A. Newell step out-of-bounds TURNOVER (1 TO),[1642854],1610612737.0,ATL,step,,,Newell,A. Newell,,,,,Left Corner 3,24+ Left,,,,1146.0,1.0,,,,,,,,,,,,,,,
16,PT10M25.00S,2026-02-10T01:13:53.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630183,10.726018396846255,55.392156862745104,1610612750,7,3,2026-02-10T01:13:58Z,160000,False,-27.0,48.0,1,left,J. McDaniels turnaround Jump Shot (2 PTS) (D. DiVincenzo 1 AST),"[1630183, 1628978]",1610612750.0,MIN,turnaround,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,5.53,Made,2.0,,,,,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,
18,PT10M16.00S,2026-02-10T01:14:02.7Z,1,REGULAR,3pt,Jump Shot,[],1630168,67.49342969776609,54.65686274509803,1610612737,7,6,2026-02-10T01:14:07Z,180000,False,23.0,253.0,1,right,O. Okongwu 25' 3PT  (3 PTS) (N. Alexander-Walker 1 AST),"[1630168, 1629638]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,25.42,Made,3.0,,,,,N. Alexander-Walker,1629638.0,1.0,,,,,,,,,,
