actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-20T01:10:52.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-20T01:10:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-11-20T01:10:54.7Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612764,0,0,2025-11-20T01:10:54Z,40000,False,,,0,,Jump Ball M. Bagley III vs. R. Gobert: Tip to C. McCollum,"[203468, 1628963, 203497]",1610612764.0,WAS,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Bagley III,1628963.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
8,PT12M00.00S,2025-11-20T01:10:59.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612764,0,0,2025-11-20T01:20:06Z,75000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,,,,,,,,,,2004.0,,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2025-11-20T01:11:09.4Z,1,REGULAR,2pt,Jump Shot,[],203114,83.13074901445466,27.205882352941174,1610612764,0,0,2025-11-20T01:11:18Z,90000,False,-114.0,106.0,1,right,MISS K. Middleton 15' step back Shot,[203114],1610612764.0,WAS,step back,,,Middleton,K. Middleton,,,,,,Mid-Range,8-16 Left,15.57,Missed,,,,,,,,,,,,,,,,,
10,PT11M40.00S,2025-11-20T01:11:12.2Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612750,0,0,2025-11-20T01:11:12Z,100000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,Mid-Range,8-16 Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M23.00S,2025-11-20T01:11:31.9Z,1,REGULAR,foul,personal,[],1641731,,,1610612750,0,0,2025-11-20T01:11:38Z,110000,False,,,0,,B. Coulibaly personal FOUL (1 PF),"[1641731, 1630162]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,2004.0,Mid-Range,8-16 Left,,,,,,,1.0,0.0,Edwards,1630162.0,,,,,,,,,
13,PT11M15.00S,2025-11-20T01:11:53.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,8.360709592641262,64.70588235294117,1610612750,0,0,2025-11-20T01:11:58Z,130000,False,-74.0,26.0,1,left,MISS A. Edwards 7' turnaround Shot,[1630162],1610612750.0,MIN,turnaround,,,Edwards,A. Edwards,,,,,,In The Paint (Non-RA),0-8 Center,7.8,Missed,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2025-11-20T01:11:55.9Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,0,0,2025-11-20T01:11:58Z,140000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT11M09.00S,2025-11-20T01:12:00.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642273,93.24901445466492,50.49019607843137,1610612764,0,2,2025-11-20T01:12:06Z,150000,False,2.0,11.0,1,right,K. George running Layup (2 PTS) (B. Coulibaly 1 AST),"[1642273, 1641731]",1610612764.0,WAS,running,,,George,K. George,,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,,,,,2.0,B. Coulibaly,1641731.0,1.0,,,,,
17,PT10M54.00S,2025-11-20T01:12:15.6Z,1,REGULAR,3pt,Jump Shot,[],1628978,33.85348226018397,31.127450980392158,1610612750,3,2,2025-11-20T01:12:19Z,170000,False,94.0,266.0,1,left,D. DiVincenzo 28' 3PT  (3 PTS) (J. Randle 1 AST),"[1628978, 203944]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,Above the Break 3,24+ Right Center,28.2,Made,,,,,,,,,3.0,J. Randle,203944.0,1.0,,,,,
19,PT10M44.00S,2025-11-20T01:12:25.5Z,1,REGULAR,3pt,Jump Shot,[],1642273,93.51182654402102,4.166666666666666,1610612764,3,2,2025-11-20T01:12:31Z,190000,False,-229.0,8.0,1,right,MISS K. George 3PT,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,Left Corner 3,24+ Left,22.94,Missed,,,,,,,,,,,,,,,,,
20,PT10M41.00S,2025-11-20T01:12:28.5Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612764,3,2,2025-11-20T01:21:07Z,200000,False,,,0,,M. Bagley III REBOUND (Off:1 Def:0),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,Left Corner 3,24+ Left,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,
73,PT10M41.00S,2025-11-20T01:12:29.1Z,1,REGULAR,turnover,out-of-bounds,[],1628963,,,1610612764,3,2,2025-11-20T01:22:05Z,205000,False,,,0,,M. Bagley III bad pass out-of-bounds TURNOVER (1 TO),[1628963],1610612764.0,WAS,bad pass,,,Bagley III,M. Bagley III,,,,,2004.0,Mid-Range,8-16 Left,,,,,,,,,,,,,,,1.0,,,,
22,PT10M30.00S,2025-11-20T01:12:48.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201144,30.17411300919842,65.93137254901961,1610612750,3,2,2025-11-20T01:21:52Z,220000,False,-80.0,231.0,1,left,MISS M. Conley 24' pullup 3PT,[201144],1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,,Above the Break 3,24+ Left Center,24.45,Missed,,,,,,,,,,,,,,,,,
23,PT10M27.00S,2025-11-20T01:12:51.3Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,3,2,2025-11-20T01:12:52Z,230000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,Above the Break 3,24+ Left Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT10M16.00S,2025-11-20T01:13:02.3Z,1,REGULAR,2pt,Jump Shot,[],203114,71.69842312746385,36.029411764705884,1610612764,3,2,2025-11-20T01:13:06Z,240000,False,-70.0,214.0,1,right,MISS K. Middleton 22' pullup Shot,[203114],1610612764.0,WAS,pullup,,,Middleton,K. Middleton,,,,,,Mid-Range,16-24 Left Center,22.47,Missed,,,,,,,,,,,,,,,,,
25,PT10M13.00S,2025-11-20T01:13:05.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,3,2,2025-11-20T01:13:06Z,250000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,Mid-Range,16-24 Left Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,
26,PT10M10.00S,2025-11-20T01:13:09.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630162,26.757555847568987,20.588235294117645,1610612750,6,2,2025-11-20T01:13:43Z,260000,False,147.0,199.0,1,left,A. Edwards 24' 3PT running pullup (3 PTS) (D. DiVincenzo 1 AST),"[1630162, 1628978]",1610612750.0,MIN,running pullup,,,Edwards,A. Edwards,,,,,,Above the Break 3,24+ Right Center,24.75,Made,,,,,,,,,3.0,D. DiVincenzo,1628978.0,1.0,,,,,
