actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-10T00:40:20.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-10T00:40:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-10T00:40:22.9Z,1,REGULAR,jumpball,recovered,[],1630552,,,1610612737,0,0,2024-11-10T00:40:22Z,40000,False,,,0,,Jump Ball C. Capela vs. N. Vučević: Tip to J. Johnson,"[1630552, 203991, 202696]",1610612737.0,ATL,startperiod,J. Johnson,1630552.0,Johnson,J. Johnson,Capela,203991.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-11-10T00:40:37.5Z,1,REGULAR,turnover,bad pass,[],203991,,,1610612737,0,0,2024-11-10T00:40:44Z,70000,False,,,0,,C. Capela bad pass TURNOVER (1 TO),"[203991, 202696]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,16-24 Center,1.0,Vučević,202696.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-11-10T00:40:37.5Z,1,REGULAR,steal,,[],202696,,,1610612741,0,0,2024-11-10T00:40:40Z,80000,False,,,0,,N. Vučević STEAL (1 STL),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2024-11-10T00:40:55.7Z,1,REGULAR,foul,personal,[],1629027,,,1610612741,0,0,2024-11-10T00:41:07Z,90000,False,,,0,,T. Young personal FOUL (1 PF),"[1629027, 203897]",1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,,1830.0,1.0,0.0,LaVine,203897.0,,,,,,,,,,,,
11,PT11M24.00S,2024-11-10T00:41:15.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629632,95.87713534822602,3.9215686274509802,1610612741,0,0,2024-11-10T00:41:21Z,110000,False,-230.0,-14.0,1,right,MISS C. White 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Left Corner 3,24+ Left,,,,,,,,,23.08,Missed,,,,,,,,,,
12,PT11M21.00S,2024-11-10T00:41:18.6Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,0,0,2024-11-10T00:41:21Z,120000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Left Corner 3,24+ Left,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
13,PT11M12.00S,2024-11-10T00:41:27.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,12.828515111695138,41.911764705882355,1610612737,2,0,2024-11-10T00:41:34Z,130000,False,40.0,68.0,1,left,D. Daniels 7' floating Jump Shot (2 PTS) (T. Young 1 AST),"[1630700, 1629027]",1610612737.0,ATL,floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,7.92,Made,,,,,2.0,T. Young,1629027.0,1.0,,
15,PT10M59.00S,2024-11-10T00:41:40.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,93.24901445466492,50.0,1610612741,2,2,2024-11-10T00:41:50Z,150000,False,0.0,11.0,1,right,N. Vučević reverse Layup (2 PTS) (P. Williams 1 AST),"[202696, 1630172]",1610612741.0,CHI,reverse,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,,,,,1.1,Made,,,,,2.0,P. Williams,1630172.0,1.0,,
17,PT10M48.00S,2024-11-10T00:41:53.1Z,1,REGULAR,foul,personal,['2freethrow'],1630581,,,1610612737,2,2,2024-11-10T00:42:11Z,170000,False,,,0,,J. Giddey shooting personal FOUL (1 PF) (Capela 2 FT),"[1630581, 203991]",1610612741.0,CHI,shooting,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,1830.0,1.0,0.0,Capela,203991.0,,,,,,,,,,,,
