actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-29T00:40:26.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-29T00:40:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-29T00:40:29.3Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2025-01-29T00:40:29Z,40000,False,,,0,,Jump Ball O. Okongwu vs. A. Sengun: Tip to T. Young,"[1629027, 1630168, 1630578]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Okongwu,1630168.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-01-29T00:40:46.3Z,1,REGULAR,3pt,Jump Shot,[],1631243,29.38567674113009,24.019607843137255,1610612737,0,0,2025-01-29T00:40:52Z,70000,False,130.0,224.0,1,left,MISS M. Gueye 25' 3PT,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Right Center,25.87,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2025-01-29T00:40:49.3Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,0,0,2025-01-29T00:40:52Z,80000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2025-01-29T00:41:00.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,86.15308804204993,50.98039215686274,1610612745,0,2,2025-01-29T00:41:05Z,90000,False,5.0,78.0,1,right,A. Sengun 7' turnaround Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,7.79,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M13.00S,2025-01-29T00:41:12.0Z,1,REGULAR,3pt,Jump Shot,[],1629027,34.641918528252305,52.20588235294118,1610612737,0,2,2025-01-29T00:41:31Z,100000,False,-11.0,273.0,1,left,MISS T. Young 27' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,27.33,Missed,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2025-01-29T00:41:13.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,0,2,2025-01-29T00:41:31Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Center,,,10.0,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2025-01-29T00:41:42.6Z,1,REGULAR,violation,kicked ball,[],1628415,,,1610612737,0,2,2025-01-29T00:42:04Z,130000,False,,,0,,D. Brooks kicked ball VIOLATION,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,,,,,,,,,,1627962.0,,,,,,,,,,,,
15,PT10M56.00S,2025-01-29T00:42:06.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631243,5.732588699080158,48.28431372549019,1610612737,2,2,2025-01-29T00:42:10Z,140000,False,9.0,1.0,1,left,M. Gueye Layup (2 PTS) (D. Daniels 1 AST),"[1631243, 1630700]",1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,0.87,Made,,,,,2.0,,D. Daniels,1630700.0,1.0,,,,,,,,,
17,PT10M38.00S,2025-01-29T00:42:24.1Z,1,REGULAR,3pt,Jump Shot,[],1628415,94.56307490144546,96.07843137254902,1610612745,2,2,2025-01-29T00:42:29Z,160000,False,230.0,-1.0,1,right,MISS D. Brooks 3PT,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Right Corner 3,24+ Right,23.04,Missed,,,,,,,,,,,,,,,,,,
18,PT10M34.00S,2025-01-29T00:42:28.1Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,2,2,2025-01-29T00:42:29Z,170000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Right Corner 3,24+ Right,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M29.00S,2025-01-29T00:42:32.7Z,1,REGULAR,3pt,Jump Shot,[],1630249,32.40801576872536,59.55882352941176,1610612737,2,2,2025-01-29T00:42:39Z,180000,False,-48.0,252.0,1,left,MISS V. Krejčí 25' 3PT,[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Above the Break 3,24+ Center,25.66,Missed,,,,,,,,,,,,,,,,,,
20,PT10M27.00S,2025-01-29T00:42:34.7Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,2,2,2025-01-29T00:42:39Z,190000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M09.00S,2025-01-29T00:42:54.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,80.89684625492772,53.67647058823529,1610612745,2,4,2025-01-29T00:42:59Z,200000,False,18.0,127.0,1,right,A. Sengun 12' turnaround fadeaway Jump Shot (4 PTS),[1630578],1610612745.0,HOU,turnaround fadeaway,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,12.84,Made,,,,,4.0,,,,,,,,,,,,,
22,PT09M55.00S,2025-01-29T00:43:06.5Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,2,4,2025-01-29T00:43:10Z,210000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1641708]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,1.0,Thompson,1641708.0,,,,,,
23,PT09M55.00S,2025-01-29T00:43:06.5Z,1,REGULAR,steal,,[],1641708,,,1610612745,2,4,2025-01-29T00:43:08Z,220000,False,,,0,,A. Thompson STEAL (1 STL),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
24,PT09M52.00S,2025-01-29T00:43:10.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628415,71.56701708278581,76.9607843137255,1610612745,2,7,2025-01-29T00:43:17Z,230000,False,135.0,215.0,1,right,D. Brooks 25' 3PT running (3 PTS) (F. VanVleet 1 AST),"[1628415, 1627832]",1610612745.0,HOU,running,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,25.36,Made,,,,,3.0,,F. VanVleet,1627832.0,1.0,,,,,,,,,
26,PT09M38.00S,2025-01-29T00:43:24.1Z,1,REGULAR,3pt,Jump Shot,[],1630700,25.969119579500656,80.88235294117648,1610612737,2,7,2025-01-29T00:43:29Z,250000,False,-154.0,192.0,1,left,MISS D. Daniels 24' 3PT,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,24.61,Missed,,,,,,,,,,,,,,,,,,
27,PT09M34.00S,2025-01-29T00:43:28.1Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,2,7,2025-01-29T00:43:29Z,260000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,,
28,PT09M20.00S,2025-01-29T00:43:41.3Z,1,REGULAR,3pt,Jump Shot,[],1630578,76.03482260183968,12.990196078431374,1610612745,2,7,2025-01-29T00:43:46Z,270000,False,-185.0,173.0,1,right,MISS A. Sengun 25' 3PT,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,25.31,Missed,,,,,,,,,,,,,,,,,,
29,PT09M18.00S,2025-01-29T00:43:43.3Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,2,7,2025-01-29T00:43:46Z,280000,False,,,0,,D. Daniels REBOUND (Off:0 Def:2),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT09M04.00S,2025-01-29T00:44:08.9Z,1,REGULAR,violation,kicked ball,[],1628415,,,1610612737,2,7,2025-01-29T00:44:13Z,300000,False,,,0,,D. Brooks kicked ball VIOLATION,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,,,,,,,,,,1627962.0,,,,,,,,,,,,
32,PT08M59.00S,2025-01-29T00:44:20.3Z,1,REGULAR,3pt,Jump Shot,[],1630700,28.597240473061763,72.79411764705883,1610612737,5,7,2025-01-29T00:44:25Z,310000,False,-114.0,216.0,1,left,D. Daniels 24' 3PT  (3 PTS) (T. Young 1 AST),"[1630700, 1629027]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,24.45,Made,,,,,3.0,,T. Young,1629027.0,1.0,,,,,,,,,
34,PT08M43.00S,2025-01-29T00:44:34.7Z,1,REGULAR,3pt,Jump Shot,[],1630224,68.28186596583443,35.53921568627451,1610612745,5,7,2025-01-29T00:44:40Z,330000,False,-72.0,246.0,1,right,MISS J. Green 25' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Center,25.61,Missed,,,,,,,,,,,,,,,,,,
35,PT08M40.00S,2025-01-29T00:44:37.7Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,5,7,2025-01-29T00:47:49Z,340000,False,,,0,,D. Daniels REBOUND (Off:0 Def:3),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,34.0,3.0,3.0,0.0,,,,,,,,,,,,,,
36,PT08M36.00S,2025-01-29T00:44:42.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630700,7.178055190538765,47.549019607843135,1610612737,5,7,2025-01-29T00:44:51Z,350000,False,12.0,15.0,1,left,MISS D. Daniels running Layup,[1630700],1610612737.0,ATL,running,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,1.94,Missed,,,,,,,,,,,,,,,,,,
37,PT08M31.00S,2025-01-29T00:44:46.6Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,5,7,2025-01-29T00:44:46Z,360000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:0),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,36.0,1.0,0.0,1.0,,,,,,,,,,,,,,
38,PT08M31.00S,2025-01-29T00:44:46.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630168,5.590000152587891,50.0,1610612737,7,7,2025-01-29T00:44:46Z,370000,False,0.0,0.0,1,left,O. Okongwu putback Layup (2 PTS),[1630168],1610612737.0,ATL,putback,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
39,PT08M25.00S,2025-01-29T00:44:55.4Z,1,REGULAR,turnover,out-of-bounds,[],1628415,,,1610612745,7,7,2025-01-29T00:45:00Z,380000,False,,,0,,D. Brooks lost ball out-of-bounds TURNOVER (1 TO),[1628415],1610612745.0,HOU,lost ball,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Right,,,,,,,,1628951.0,,,,1.0,,,,,,,,
40,PT08M17.00S,2025-01-29T00:45:09.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,31.882391590013142,46.32352941176471,1610612737,10,7,2025-01-29T00:45:20Z,390000,False,18.0,247.0,1,left,T. Young 24' 3PT pullup bank (3 PTS),[1629027],1610612737.0,ATL,pullup bank,,,Young,T. Young,,,,,Above the Break 3,24+ Center,24.79,Made,,,,,3.0,,,,,,,,,,,,,
