actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-23T00:40:40.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-23T00:40:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-23T00:40:43.3Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2025-01-23T00:40:43Z,40000,False,,,0,,Jump Ball J. Duren vs. O. Okongwu: Tip to C. Cunningham,"[1630595, 1631105, 1630168]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Duren,1631105.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-01-23T00:40:58.4Z,1,REGULAR,foul,personal,[],1630249,,,1610612765,0,0,2025-01-23T00:41:05Z,70000,False,,,0,,V. Krejčí personal FOUL (1 PF),"[1630249, 1631105]",1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Restricted Area,0-8 Center,1162.0,1.0,0.0,Duren,1631105.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2025-01-23T00:41:30.4Z,1,REGULAR,2pt,Jump Shot,[],1630595,3.4986859395532193,26.715686274509803,1610612765,0,2,2025-01-23T00:41:37Z,90000,False,116.0,-20.0,1,left,C. Cunningham 11' step back Jump Shot (2 PTS),[1630595],1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Right,,,,,,11.8,Made,2.0,,,,,,,,,,,,
10,PT11M10.00S,2025-01-23T00:41:50.5Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612737,0,2,2025-01-23T00:42:14Z,100000,False,,,0,,J. Duren shooting personal FOUL (1 PF) (Okongwu 2 FT),"[1631105, 1630168]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1162.0,1.0,0.0,Okongwu,1630168.0,,,,,,,,,,,,,,,
12,PT11M10.00S,2025-01-23T00:42:17.4Z,1,REGULAR,freethrow,1 of 2,[],1630168,,,1610612737,0,2,2025-01-23T00:42:17Z,120000,False,,,0,,MISS O. Okongwu Free Throw 1 of 2,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
13,PT11M10.00S,2025-01-23T00:42:17.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,0,2,2025-01-23T00:42:17Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,
14,PT11M10.00S,2025-01-23T00:42:36.9Z,1,REGULAR,freethrow,2 of 2,[],1630168,,,1610612737,1,2,2025-01-23T00:42:36Z,140000,False,,,0,,O. Okongwu Free Throw 2 of 2 (1 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
15,PT11M01.00S,2025-01-23T00:42:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,5.601182654402102,51.470588235294116,1610612765,1,4,2025-01-23T00:42:55Z,150000,False,-7.0,0.0,1,left,J. Duren driving Layup (2 PTS) (C. Cunningham 1 AST),"[1631105, 1630595]",1610612765.0,DET,driving,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,0.74,Made,2.0,,C. Cunningham,1630595.0,1.0,,,,,,,,
17,PT10M50.00S,2025-01-23T00:42:59.1Z,1,REGULAR,3pt,Jump Shot,[],1630249,94.95729303547962,96.07843137254902,1610612737,4,4,2025-01-23T00:43:04Z,170000,False,230.0,-5.0,1,right,V. Krejčí 3PT  (3 PTS) (J. Johnson 1 AST),"[1630249, 1630552]",1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Right Corner 3,24+ Right,,,,,,23.05,Made,3.0,,J. Johnson,1630552.0,1.0,,,,,,,,
