actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-06T22:11:33.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-06T22:11:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-04-06T22:11:36.1Z,1,REGULAR,jumpball,recovered,[],1642268,,,1610612762,0,0,2025-04-06T22:11:36Z,40000,False,,,0,,Jump Ball K. Filipowski vs. O. Okongwu: Tip to I. Collier,"[1642268, 1642271, 1630168]",1610612762.0,UTA,startperiod,I. Collier,1642268.0,Collier,I. Collier,Filipowski,1642271.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-04-06T22:11:55.5Z,1,REGULAR,2pt,Jump Shot,[],1629012,81.94809461235218,29.65686274509804,1610612762,0,2,2025-04-06T22:12:37Z,70000,False,-102.0,117.0,1,right,C. Sexton 15' turnaround fadeaway Jump Shot (2 PTS),[1629012],1610612762.0,UTA,turnaround fadeaway,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Left,15.52,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2025-04-06T22:12:07.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,6.389618922470433,47.05882352941176,1610612737,0,2,2025-04-06T22:12:15Z,90000,False,15.0,8.0,1,left,MISS Z. Risacher cutting Layup,[1642258],1610612737.0,ATL,cutting,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,1.65,Missed,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2025-04-06T22:12:09.1Z,1,REGULAR,rebound,defensive,[],1642271,,,1610612762,0,2,2025-04-06T22:13:21Z,110000,False,,,0,,K. Filipowski REBOUND (Off:0 Def:1),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M20.00S,2025-04-06T22:12:12.2Z,1,REGULAR,turnover,bad pass,[],1629012,,,1610612762,0,2,2025-04-06T22:12:18Z,120000,False,,,0,,C. Sexton bad pass TURNOVER (1 TO),"[1629012, 1629027]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Young,1629027.0,,,,,,,,,,
13,PT11M20.00S,2025-04-06T22:12:12.2Z,1,REGULAR,steal,,[],1629027,,,1610612737,0,2,2025-04-06T22:12:14Z,130000,False,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2025-04-06T22:12:15.1Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642258,6.1268068331143235,49.754901960784316,1610612737,2,2,2025-04-06T22:13:47Z,140000,False,1.0,5.0,1,left,Z. Risacher running DUNK (2 PTS) (T. Young 1 AST),"[1642258, 1629027]",1610612737.0,ATL,running,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,0.52,Made,2.0,,,,,,,,T. Young,1629027.0,1.0,,,,,,,
16,PT10M55.00S,2025-04-06T22:12:36.8Z,1,REGULAR,3pt,Jump Shot,[],1641729,94.43166885676742,95.34313725490196,1610612762,2,2,2025-04-06T22:12:42Z,160000,False,227.0,0.0,1,right,MISS B. Sensabaugh 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Right Corner 3,24+ Right,22.67,Missed,,,,,,,,,,,,,,,,,,
17,PT10M52.00S,2025-04-06T22:12:39.8Z,1,REGULAR,rebound,offensive,[],1642271,,,1610612762,2,2,2025-04-06T22:12:42Z,170000,False,,,0,,K. Filipowski REBOUND (Off:1 Def:1),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Right Corner 3,24+ Right,,,,16.0,2.0,1.0,1.0,,,,,,,,,,,,,
18,PT10M48.00S,2025-04-06T22:12:44.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630548,75.64060446780552,13.480392156862745,1610612762,2,2,2025-04-06T22:12:49Z,180000,False,-183.0,176.0,1,right,MISS J. Juzang 25' pullup 3PT,[1630548],1610612762.0,UTA,pullup,,,Juzang,J. Juzang,,,,,Above the Break 3,24+ Left Center,25.4,Missed,,,,,,,,,,,,,,,,,,
19,PT10M44.00S,2025-04-06T22:12:48.1Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,2,2,2025-04-06T22:12:49Z,190000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M36.00S,2025-04-06T22:12:56.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,17.559132720105126,57.59803921568627,1610612737,2,2,2025-04-06T22:13:03Z,200000,False,-38.0,113.0,1,left,MISS T. Young 11' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,11.88,Missed,,,,,,,,,,,,,,,,,,
21,PT10M34.00S,2025-04-06T22:12:58.7Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,2,2,2025-04-06T22:13:03Z,210000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:0),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,
22,PT10M34.00S,2025-04-06T22:13:02.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630168,5.590000152587891,50.0,1610612737,4,2,2025-04-06T22:13:02Z,220000,False,0.0,0.0,1,left,O. Okongwu putback Layup (2 PTS),[1630168],1610612737.0,ATL,putback,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
23,PT10M34.00S,2025-04-06T22:13:16.4Z,1,REGULAR,foul,personal,['1freethrow'],1641729,,,1610612737,4,2,2025-04-06T22:13:29Z,230000,False,,,0,,B. Sensabaugh shooting personal FOUL (1 PF) (Okongwu 1 FT),"[1641729, 1630168]",1610612762.0,UTA,shooting,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1830.0,1.0,0.0,Okongwu,1630168.0,,
25,PT10M34.00S,2025-04-06T22:13:34.8Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1630168,,,1610612737,5,2,2025-04-06T22:13:34Z,250000,False,,,0,,O. Okongwu Free Throw 1 of 1 (3 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
26,PT10M16.00S,2025-04-06T22:13:53.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630548,87.46714848883047,43.627450980392155,1610612762,5,2,2025-04-06T22:14:00Z,260000,False,-32.0,65.0,1,right,MISS J. Juzang 7' driving floating Shot,[1630548],1610612762.0,UTA,driving floating,,,Juzang,J. Juzang,,,,,In The Paint (Non-RA),0-8 Center,7.27,Missed,,,,,,,,,,,,,,,,,,
27,PT10M14.00S,2025-04-06T22:13:55.7Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612737,5,2,2025-04-06T22:14:00Z,270000,False,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612737.0,ATL,,,,Niang,G. Niang,,,,,In The Paint (Non-RA),0-8 Center,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,
28,PT10M07.00S,2025-04-06T22:14:03.6Z,1,REGULAR,3pt,Jump Shot,[],1627777,28.07161629434954,76.9607843137255,1610612737,5,2,2025-04-06T22:14:09Z,280000,False,-135.0,211.0,1,left,MISS G. Niang 25' 3PT,[1627777],1610612737.0,ATL,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Left Center,25.07,Missed,,,,,,,,,,,,,,,,,,
29,PT10M06.00S,2025-04-06T22:14:04.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,5,2,2025-04-06T22:14:09Z,290000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,28.0,,,,,,,,,,,,,,,,
31,PT09M49.00S,2025-04-06T22:14:36.2Z,1,REGULAR,2pt,Jump Shot,[],1642268,82.21090670170827,30.392156862745097,1610612762,5,2,2025-04-06T22:14:41Z,310000,False,-98.0,115.0,1,right,MISS I. Collier 15' pullup Shot,[1642268],1610612762.0,UTA,pullup,,,Collier,I. Collier,,,,,Mid-Range,8-16 Left,15.09,Missed,,,,,,,,,,,,,,,,,,
32,PT09M46.00S,2025-04-06T22:14:39.2Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,5,2,2025-04-06T22:14:41Z,320000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,,,,31.0,2.0,1.0,1.0,,,,,,,,,,,,,
159,PT09M39.00S,2025-04-06T22:14:48.2Z,1,REGULAR,turnover,lost ball,[],1630168,,,1610612737,5,2,2025-04-06T22:44:59Z,345000,False,,,0,,O. Okongwu lost ball TURNOVER (1 TO),"[1630168, 1630548]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Juzang,1630548.0,,,,,,,,,,
160,PT09M39.00S,2025-04-06T22:14:48.2Z,1,REGULAR,steal,,[],1630548,,,1610612762,5,2,2025-04-06T22:36:51Z,347500,False,,,0,,J. Juzang STEAL (1 STL),[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT09M35.00S,2025-04-06T22:14:50.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'fromturnover']",1642268,93.24901445466492,51.225490196078425,1610612762,5,4,2025-04-06T22:36:51Z,350000,False,6.0,11.0,1,right,I. Collier running Layup (2 PTS) (J. Juzang 1 AST),"[1642268, 1630548]",1610612762.0,UTA,running,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,1.26,Made,2.0,,,,,,,,J. Juzang,1630548.0,1.0,,,,,,,
37,PT09M16.00S,2025-04-06T22:15:09.1Z,1,REGULAR,3pt,Jump Shot,[],1630700,31.61957950065703,52.69607843137255,1610612737,8,4,2025-04-06T22:15:13Z,370000,False,-13.0,245.0,1,left,D. Daniels 24' 3PT  (3 PTS) (G. Niang 1 AST),"[1630700, 1627777]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,24.51,Made,3.0,,,,,,,,G. Niang,1627777.0,1.0,,,,,,,
48,PT08M50.00S,2025-04-06T22:15:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642268,89.30683311432325,50.0,1610612762,8,4,2025-04-06T22:19:37Z,385000,False,0.0,48.0,1,right,MISS I. Collier driving Layup - blocked,"[1642268, 1629027]",1610612762.0,UTA,driving,,,Collier,I. Collier,,,,,In The Paint (Non-RA),0-8 Center,4.8,Missed,,,,,,,,,,,,,,,,,Young,1629027.0
49,PT08M50.00S,2025-04-06T22:15:23.8Z,1,REGULAR,block,,[],1629027,,,1610612762,8,4,2025-04-06T22:19:37Z,387500,False,,,0,,T. Young BLOCK (1 BLK),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
50,PT08M50.00S,2025-04-06T22:15:23.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,8,4,2025-04-06T22:19:37Z,388750,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,48.0,,,,,,,,,,,,,,,,
40,PT08M31.00S,2025-04-06T22:16:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,5.469776609724048,49.754901960784316,1610612737,8,4,2025-04-06T22:20:48Z,400000,False,1.0,-1.0,1,left,MISS T. Young driving Layup - blocked,"[1629027, 1642271]",1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,0.16,Missed,,,,,,,,,,,,,,,,,Filipowski,1642271.0
41,PT08M31.00S,2025-04-06T22:16:05.0Z,1,REGULAR,block,,[],1642271,,,1610612737,8,4,2025-04-06T22:16:08Z,410000,False,,,0,,K. Filipowski BLOCK (1 BLK),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
