actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-09T00:40:27.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-09T00:40:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-03-09T00:40:31.7Z,1,REGULAR,jumpball,recovered,[],1630700,,,1610612737,0,0,2025-03-09T00:40:31Z,40000,False,,,0,,Jump Ball O. Okongwu vs. M. Turner: Tip to D. Daniels,"[1630700, 1630168, 1626167]",1610612737.0,ATL,startperiod,D. Daniels,1630700.0,Daniels,D. Daniels,Okongwu,1630168.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-03-09T00:40:42.9Z,1,REGULAR,turnover,out-of-bounds,[],1642258,,,1610612737,0,0,2025-03-09T00:40:50Z,70000,False,,,0,,Z. Risacher bad pass out-of-bounds TURNOVER (1 TO),[1642258],1610612737.0,ATL,bad pass,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,101283.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2025-03-09T00:40:59.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626167,92.59198423127464,47.30392156862745,1610612754,0,2,2025-03-09T00:41:06Z,80000,False,-13.0,17.0,1,right,M. Turner Layup (2 PTS) (P. Siakam 1 AST),"[1626167, 1627783]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,2.18,Made,2.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,,
10,PT11M22.00S,2025-03-09T00:41:11.2Z,1,REGULAR,3pt,Jump Shot,[],1629027,30.17411300919842,67.64705882352942,1610612737,3,2,2025-03-09T00:41:18Z,100000,False,-88.0,231.0,1,left,T. Young 24' 3PT pullup (3 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,24.74,Made,3.0,,,,,,,,,,,,,,,
11,PT11M06.00S,2025-03-09T00:41:27.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,82.34231274638634,41.66666666666667,1610612754,3,2,2025-03-09T00:41:34Z,110000,False,-42.0,113.0,1,right,MISS P. Siakam 12' pullup Shot,[1627783],1610612754.0,IND,pullup,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,12.09,Missed,,,,,,,,,,,,,,,,
12,PT11M03.00S,2025-03-09T00:41:30.2Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,3,2,2025-03-09T00:41:34Z,120000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT10M43.00S,2025-03-09T00:41:50.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630168,9.280551905387648,49.26470588235294,1610612737,3,2,2025-03-09T00:41:57Z,130000,False,4.0,35.0,1,left,MISS O. Okongwu Hook,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,3.49,Missed,,,,,,,,,,,,,,,,
14,PT10M38.00S,2025-03-09T00:41:55.3Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,3,2,2025-03-09T00:41:57Z,140000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M34.00S,2025-03-09T00:41:59.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,88.78120893561103,61.029411764705884,1610612754,3,2,2025-03-09T00:42:41Z,150000,False,55.0,53.0,1,right,MISS M. Turner 7' turnaround bank Shot,[1626167],1610612754.0,IND,turnaround bank,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,7.65,Missed,,,,,,,,,,,,,,,,
16,PT10M30.00S,2025-03-09T00:42:03.8Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,3,2,2025-03-09T00:42:08Z,160000,False,,,0,,D. Daniels REBOUND (Off:0 Def:2),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,
17,PT10M19.00S,2025-03-09T00:42:14.6Z,1,REGULAR,3pt,Jump Shot,[],1629027,30.962549277266753,34.55882352941176,1610612737,6,2,2025-03-09T00:42:20Z,170000,False,77.0,239.0,1,left,T. Young 25' 3PT pullup (6 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,25.07,Made,6.0,,,,,,,,,,,,,,,
18,PT10M05.00S,2025-03-09T00:42:28.1Z,1,REGULAR,3pt,Jump Shot,[],1630174,87.07293035479631,94.85294117647058,1610612754,6,2,2025-03-09T00:42:33Z,180000,False,224.0,69.0,1,right,MISS A. Nesmith 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Right Corner 3,24+ Right,,,23.47,Missed,,,,,,,,,,,,,,,,
