actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-05T00:45:38.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-05T00:45:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-11-05T00:45:41.7Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2024-11-05T00:45:41Z,40000,False,,,0,,Jump Ball C. Capela vs. N. Queta: Tip to T. Young,"[1629027, 203991, 1629674]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-11-05T00:45:54.7Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612737,0,0,2024-11-05T00:46:20Z,70000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Johnson 2 FT),"[201143, 1630552]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,200832.0,1.0,0.0,Johnson,1630552.0,,,,,,,,,,,,,,,
9,PT11M43.00S,2024-11-05T00:46:21.6Z,1,REGULAR,freethrow,1 of 2,[],1630552,,,1610612737,1,0,2024-11-05T00:46:37Z,90000,False,,,0,,J. Johnson Free Throw 1 of 2 (1 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M43.00S,2024-11-05T00:46:21.6Z,1,REGULAR,freethrow,2 of 2,[],1630552,,,1610612737,1,0,2024-11-05T00:46:37Z,100000,False,,,0,,MISS J. Johnson Free Throw 2 of 2,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M41.00S,2024-11-05T00:46:23.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,1,0,2024-11-05T00:46:37Z,110000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M26.00S,2024-11-05T00:46:51.3Z,1,REGULAR,3pt,Jump Shot,[],1628401,31.488173455978973,27.941176470588236,1610612738,1,0,2024-11-05T00:46:56Z,120000,False,110.0,243.0,1,left,MISS D. White 26' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,26.73,,,,,,,,
13,PT11M23.00S,2024-11-05T00:46:54.3Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,1,0,2024-11-05T00:46:56Z,130000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M15.00S,2024-11-05T00:47:02.8Z,1,REGULAR,turnover,lost ball,[],1642258,,,1610612737,1,0,2024-11-05T00:47:08Z,140000,False,,,0,,Z. Risacher lost ball TURNOVER (1 TO),"[1642258, 1628369]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,Tatum,1628369.0,,,,,
15,PT11M15.00S,2024-11-05T00:47:02.8Z,1,REGULAR,steal,,[],1628369,,,1610612738,1,0,2024-11-05T00:47:05Z,150000,False,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
16,PT11M11.00S,2024-11-05T00:47:06.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,6.783837056504599,50.0,1610612738,1,2,2024-11-05T00:47:14Z,160000,False,0.0,11.0,1,left,J. Tatum running DUNK (2 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,1.13,,,,,,,,
17,PT11M03.00S,2024-11-05T00:47:13.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,92.19776609724047,50.49019607843137,1610612737,3,2,2024-11-05T00:47:19Z,170000,False,2.0,21.0,1,right,D. Daniels driving Layup (2 PTS),[1630700],1610612737.0,ATL,driving,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,2.09,,,,,,,,
18,PT10M50.00S,2024-11-05T00:47:27.4Z,1,REGULAR,3pt,Jump Shot,[],201950,7.703679369250986,3.6764705882352944,1610612738,3,5,2024-11-05T00:47:33Z,180000,False,232.0,20.0,1,left,J. Holiday 3PT  (3 PTS) (A. Horford 1 AST),"[201950, 201143]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,,,,,23.25,,,,A. Horford,201143.0,1.0,,
20,PT10M29.00S,2024-11-05T00:47:48.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,90.09526938239159,46.568627450980394,1610612737,5,5,2024-11-05T00:47:56Z,200000,False,-17.0,41.0,1,right,J. Johnson driving floating Jump Shot (3 PTS) (Z. Risacher 1 AST),"[1630552, 1642258]",1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,Made,3.0,,,,,4.41,,,,Z. Risacher,1642258.0,1.0,,
22,PT10M12.00S,2024-11-05T00:48:04.9Z,1,REGULAR,3pt,Jump Shot,[],201950,9.017739816031538,3.6764705882352944,1610612738,5,5,2024-11-05T00:48:10Z,220000,False,232.0,32.0,1,left,MISS J. Holiday 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,23.38,,,,,,,,
23,PT10M08.00S,2024-11-05T00:48:08.9Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,5,5,2024-11-05T00:48:10Z,230000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Right Corner 3,24+ Right,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,
24,PT10M04.00S,2024-11-05T00:48:13.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629027,80.89684625492772,56.86274509803921,1610612737,5,5,2024-11-05T00:48:19Z,240000,False,34.0,127.0,1,right,MISS T. Young 13' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,13.16,,,,,,,,
25,PT10M01.00S,2024-11-05T00:48:16.5Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,5,5,2024-11-05T00:48:19Z,250000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,
26,PT09M57.00S,2024-11-05T00:48:21.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629674,6.652431011826544,49.01960784313725,1610612738,5,7,2024-11-05T00:49:17Z,260000,False,5.0,10.0,1,left,N. Queta running alley-oop DUNK (2 PTS) (J. Holiday 1 AST),"[1629674, 201950]",1610612738.0,BOS,running alley-oop,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,1.11,,,,J. Holiday,201950.0,1.0,,
