actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-05T00:40:35.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-05T00:40:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-05T00:40:38.9Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2025-03-05T00:40:39Z,40000,False,,,0,,Jump Ball B. Lopez vs. O. Okongwu: Tip to G. Antetokounmpo,"[203507, 201572, 1630168]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-03-05T00:40:48.6Z,1,REGULAR,turnover,traveling,[],1627752,,,1610612749,0,0,2025-03-05T00:40:56Z,70000,False,,,0,,T. Prince traveling TURNOVER (1 TO),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Mid-Range,8-16 Center,1628480.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2025-03-05T00:41:14.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631243,78.9257555847569,92.8921568627451,1610612737,0,0,2025-03-05T00:41:19Z,80000,False,214.0,146.0,1,right,MISS M. Gueye 25' 3PT,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Right Center,,,25.92,Missed,,,,,,,,,,,,,,,,
9,PT11M26.00S,2025-03-05T00:41:17.0Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,0,0,2025-03-05T00:41:19Z,90000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M20.00S,2025-03-05T00:41:23.5Z,1,REGULAR,3pt,Jump Shot,[],201572,31.35676741130092,49.01960784313725,1610612749,0,0,2025-03-05T00:41:28Z,100000,False,5.0,242.0,1,left,MISS B. Lopez 24' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,,,24.23,Missed,,,,,,,,,,,,,,,,
11,PT11M16.00S,2025-03-05T00:41:27.5Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,0,0,2025-03-05T00:41:28Z,110000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M08.00S,2025-03-05T00:41:35.0Z,1,REGULAR,3pt,Jump Shot,[],1629027,67.49342969776609,36.029411764705884,1610612737,0,0,2025-03-05T00:41:40Z,120000,False,-70.0,253.0,1,right,MISS T. Young 26' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,26.26,Missed,,,,,,,,,,,,,,,,
13,PT11M05.00S,2025-03-05T00:41:38.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612749,0,0,2025-03-05T00:41:40Z,130000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT10M55.00S,2025-03-05T00:41:48.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,5.601182654402102,50.49019607843137,1610612749,0,2,2025-03-05T00:41:52Z,140000,False,-2.0,0.0,1,left,G. Antetokounmpo DUNK (2 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,0.25,Made,,,,,2.0,,,,,,,,,,,
15,PT10M39.00S,2025-03-05T00:42:03.3Z,1,REGULAR,3pt,Jump Shot,[],1630700,71.17279894875165,23.284313725490197,1610612737,3,2,2025-03-05T00:42:07Z,150000,False,-134.0,218.0,1,right,D. Daniels 25' 3PT pullup (3 PTS),[1630700],1610612737.0,ATL,pullup,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,25.61,Made,,,,,3.0,,,,,,,,,,,
16,PT10M18.00S,2025-03-05T00:42:25.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,9.806176084099869,48.77450980392157,1610612749,3,2,2025-03-05T00:42:29Z,160000,False,6.0,40.0,1,left,MISS B. Lopez Layup - blocked,"[201572, 1631243]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,4.02,Missed,,,,,,Gueye,1631243.0,,,,,,,,,
17,PT10M18.00S,2025-03-05T00:42:25.1Z,1,REGULAR,block,,[],1631243,,,1610612749,3,2,2025-03-05T00:42:28Z,170000,False,,,0,,M. Gueye BLOCK (1 BLK),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M14.00S,2025-03-05T00:42:29.1Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,3,2,2025-03-05T00:42:29Z,180000,False,,,0,,D. Daniels REBOUND (Off:0 Def:2),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,
19,PT10M12.00S,2025-03-05T00:42:30.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630700,91.93495400788436,48.28431372549019,1610612737,5,2,2025-03-05T00:45:08Z,190000,False,-9.0,23.0,1,right,D. Daniels running finger roll Layup (5 PTS),[1630700],1610612737.0,ATL,running finger roll,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,2.48,Made,,,,,5.0,,,,,,,,,,,
