actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-01T00:40:27.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-01T00:40:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2025-03-01T00:40:33.8Z,1,REGULAR,jumpball,recovered,[],1641717,,,1610612760,0,0,2025-03-01T00:40:33Z,40000,False,,,0,,Jump Ball C. Holmgren vs. O. Okongwu: Tip to C. Wallace,"[1641717, 1631096, 1630168]",1610612760.0,OKC,startperiod,C. Wallace,1641717.0,Wallace,C. Wallace,Holmgren,1631096.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-03-01T00:40:47.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,10.068988173455978,53.92156862745098,1610612760,0,0,2025-03-01T00:40:57Z,70000,False,-20.0,42.0,1,left,MISS J. Williams driving floating Shot,[1631114],1610612760.0,OKC,driving floating,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,4.64,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-03-01T00:40:48.8Z,1,REGULAR,rebound,defensive,[],1631243,,,1610612737,0,0,2025-03-01T00:41:45Z,80000,False,,,0,,M. Gueye REBOUND (Off:0 Def:1),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2025-03-01T00:40:57.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631243,92.32917214191852,47.05882352941176,1610612737,0,0,2025-03-01T00:43:10Z,90000,False,-15.0,20.0,1,right,MISS M. Gueye running Layup,[1631243],1610612737.0,ATL,running,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2025-03-01T00:40:59.7Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,0,0,2025-03-01T00:44:45Z,100000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M26.00S,2025-03-01T00:41:07.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631114,7.835085413929041,47.549019607843135,1610612760,0,0,2025-03-01T00:43:51Z,110000,False,12.0,21.0,1,left,MISS J. Williams running Layup - blocked,"[1631114, 1630700]",1610612760.0,OKC,running,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,2.44,Missed,,,,,Daniels,1630700.0,,,,,,,,,,,,
12,PT11M26.00S,2025-03-01T00:41:07.2Z,1,REGULAR,block,,[],1630700,,,1610612760,0,0,2025-03-01T00:41:10Z,120000,False,,,0,,D. Daniels BLOCK (1 BLK),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M26.00S,2025-03-01T00:41:07.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,0,0,2025-03-01T00:41:23Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,,,11.0,,,,,,,,,,,,,,,,,
15,PT11M21.00S,2025-03-01T00:41:24.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631096,6.652431011826544,50.49019607843137,1610612760,0,2,2025-03-01T00:41:36Z,150000,False,-2.0,10.0,1,left,C. Holmgren driving finger roll Layup (2 PTS) (J. Williams 1 AST),"[1631096, 1631114]",1610612760.0,OKC,driving finger roll,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,1.03,Made,,,,,,,2.0,J. Williams,1631114.0,1.0,,,,,,,,
