actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-07T00:40:27.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-07T00:40:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-03-07T00:40:31.4Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2025-03-07T00:40:31Z,40000,False,,,0,,Jump Ball O. Okongwu vs. M. Turner: Tip to T. Young,"[1629027, 1630168, 1626167]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Okongwu,1630168.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2025-03-07T00:40:35.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631243,7.046649145860711,39.705882352941174,1610612737,2,0,2025-03-07T00:40:41Z,70000,False,51.0,14.0,1,left,M. Gueye floating Jump Shot (2 PTS) (T. Young 1 AST),"[1631243, 1629027]",1610612737.0,ATL,floating,,,Gueye,M. Gueye,,,,,In The Paint (Non-RA),0-8 Center,5.33,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2025-03-07T00:41:00.6Z,1,REGULAR,3pt,Jump Shot,[],1626167,69.33311432325887,27.205882352941174,1610612754,2,0,2025-03-07T00:41:07Z,90000,False,-114.0,236.0,1,right,MISS M. Turner 26' step back 3PT,[1626167],1610612754.0,IND,step back,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,26.19,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2025-03-07T00:41:02.6Z,1,REGULAR,rebound,offensive,[],1641716,,,1610612754,2,0,2025-03-07T00:41:51Z,100000,False,,,0,,J. Walker REBOUND (Off:1 Def:0),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M23.00S,2025-03-07T00:41:04.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641716,94.40999984741211,50.0,1610612754,2,0,2025-03-07T00:41:58Z,110000,False,0.0,0.0,1,right,MISS J. Walker tip Layup,[1641716],1610612754.0,IND,tip,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2025-03-07T00:41:04.8Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,2,0,2025-03-07T00:41:58Z,120000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M18.00S,2025-03-07T00:41:09.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642258,6.258212877792378,47.30392156862745,1610612737,2,0,2025-03-07T00:41:15Z,130000,False,13.0,6.0,1,left,MISS Z. Risacher running Layup,[1642258],1610612737.0,ATL,running,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,1.49,Missed,,,,,,,,,,,,,,,,,,
14,PT11M16.00S,2025-03-07T00:41:11.1Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,2,0,2025-03-07T00:41:15Z,140000,False,,,0,,J. Walker REBOUND (Off:1 Def:1),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,,,,,,,13.0,2.0,1.0,1.0,,,,,,,,,,
15,PT11M11.00S,2025-03-07T00:41:15.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1626167,93.11760840998686,49.754901960784316,1610612754,2,2,2025-03-07T00:41:25Z,150000,False,-1.0,12.0,1,right,M. Turner running DUNK (2 PTS) (A. Nembhard 1 AST),"[1626167, 1629614]",1610612754.0,IND,running,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,1.23,Made,2.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,,,,,
17,PT10M47.00S,2025-03-07T00:41:39.9Z,1,REGULAR,3pt,Jump Shot,[],1629027,41.606438896189225,47.549019607843135,1610612737,2,2,2025-03-07T00:41:46Z,170000,False,12.0,339.0,1,left,MISS T. Young 33' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,33.88,Missed,,,,,,,,,,,,,,,,,,
18,PT10M44.00S,2025-03-07T00:41:42.9Z,1,REGULAR,rebound,offensive,[],1642258,,,1610612737,2,2,2025-03-07T00:41:46Z,180000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:0),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Center,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,
19,PT10M41.00S,2025-03-07T00:41:45.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629027,16.245072273324574,52.69607843137255,1610612737,4,2,2025-03-07T00:41:50Z,190000,False,-13.0,100.0,1,left,T. Young 10' driving floating Jump Shot (2 PTS) (Z. Risacher 1 AST),"[1629027, 1642258]",1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,10.11,Made,2.0,Z. Risacher,1642258.0,1.0,,,,,,,,,,,,,,
