actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-15T00:40:16.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-15T00:40:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-01-15T00:40:18.8Z,1,REGULAR,jumpball,recovered,[],1630249,,,1610612737,0,0,2025-01-15T00:40:18Z,40000,False,,,0,,Jump Ball C. Capela vs. M. Plumlee: Tip to V. Krejčí,"[1630249, 203991, 203486]",1610612737.0,ATL,startperiod,V. Krejčí,1630249.0,Krejčí,V. Krejčí,Capela,203991.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-01-15T00:40:37.9Z,1,REGULAR,3pt,Jump Shot,[],1629027,4.5499342969776615,3.1862745098039214,1610612737,3,0,2025-01-15T00:40:42Z,70000,False,234.0,-10.0,1,left,T. Young 3PT step back (3 PTS),[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Right Corner 3,24+ Right,23.43,Made,3.0,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2025-01-15T00:40:53.5Z,1,REGULAR,3pt,Jump Shot,[],201142,72.48685939553219,18.872549019607842,1610612756,3,0,2025-01-15T00:41:01Z,90000,False,-156.0,206.0,1,right,MISS K. Durant 25' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,25.82,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2025-01-15T00:40:59.5Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,3,0,2025-01-15T00:41:01Z,100000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M11.00S,2025-01-15T00:41:04.7Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1642258,7.178055190538765,66.91176470588235,1610612737,5,0,2025-01-15T00:42:41Z,110000,False,-85.0,15.0,1,left,Z. Risacher 8' driving floating Jump Shot (2 PTS) (V. Krejčí 1 AST),"[1642258, 1630249]",1610612737.0,ATL,driving floating,,,Risacher,Z. Risacher,,,,,Mid-Range,8-16 Left,8.59,Made,2.0,,,,,V. Krejčí,1630249.0,1.0,,,,,,,,,,
13,PT10M52.00S,2025-01-15T00:41:23.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,77.7431011826544,67.64705882352942,1610612756,5,0,2025-01-15T00:43:13Z,130000,False,88.0,157.0,1,right,MISS D. Booker 17' step back Shot,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right Center,17.98,Missed,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2025-01-15T00:41:25.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,5,0,2025-01-15T00:41:28Z,140000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,16-24 Right Center,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M34.00S,2025-01-15T00:41:42.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,15.982260183968464,54.65686274509803,1610612737,5,0,2025-01-15T00:41:51Z,150000,False,-23.0,98.0,1,left,MISS Z. Risacher 10' driving Layup - blocked,"[1642258, 201142]",1610612737.0,ATL,driving,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),8-16 Center,10.04,Missed,,,,,,,,,Durant,201142.0,,,,,,,,
16,PT10M34.00S,2025-01-15T00:41:42.2Z,1,REGULAR,block,,[],201142,,,1610612737,5,0,2025-01-15T00:41:45Z,160000,False,,,0,,K. Durant BLOCK (1 BLK),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
