actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-06T00:13:48.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-06T00:13:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-06T00:13:51.4Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612759,0,0,2025-02-06T00:13:51Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. O. Okongwu: Tip to H. Barnes,"[203084, 1641705, 1630168]",1610612759.0,SAS,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Wembanyama,1641705.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-02-06T00:14:11.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,81.94809461235218,40.931372549019606,1610612759,0,0,2025-02-06T00:14:16Z,70000,False,-45.0,117.0,1,right,MISS D. Fox 12' pullup Shot,[1628368],1610612759.0,SAS,pullup,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,12.57,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2025-02-06T00:14:15.5Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,0,0,2025-02-06T00:14:16Z,80000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2025-02-06T00:14:24.5Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,0,0,2025-02-06T00:14:30Z,90000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 203084]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,Barnes,203084.0,,,,,,,,,,,
10,PT11M23.00S,2025-02-06T00:14:24.5Z,1,REGULAR,steal,,[],203084,,,1610612759,0,0,2025-02-06T00:14:27Z,100000,False,,,0,,H. Barnes STEAL (1 STL),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2025-02-06T00:14:29.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630170,93.51182654402102,49.754901960784316,1610612759,0,2,2025-02-06T00:14:35Z,110000,False,-1.0,8.0,1,right,D. Vassell running DUNK (2 PTS) (D. Fox 1 AST),"[1630170, 1628368]",1610612759.0,SAS,running,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,0.86,Made,,,,,,,,2.0,D. Fox,1628368.0,1.0,,,,,,,
13,PT10M59.00S,2025-02-06T00:14:48.1Z,1,REGULAR,3pt,Jump Shot,[],1629631,27.414586070959263,24.019607843137255,1610612737,3,2,2025-02-06T00:14:53Z,130000,False,130.0,205.0,1,left,D. Hunter 24' 3PT  (3 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,24.29,Made,,,,,,,,3.0,T. Young,1629027.0,1.0,,,,,,,
16,PT10M35.00S,2025-02-06T00:15:28.3Z,1,REGULAR,2pt,Jump Shot,[],1630170,76.5604467805519,72.54901960784314,1610612759,3,4,2025-02-06T00:15:33Z,160000,False,113.0,168.0,1,right,D. Vassell 20' Jump Shot (4 PTS) (C. Paul 1 AST),"[1630170, 101108]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Right Center,20.21,Made,,,,,,,,4.0,C. Paul,101108.0,1.0,,,,,,,
18,PT10M17.00S,2025-02-06T00:15:45.4Z,1,REGULAR,3pt,Jump Shot,[],1642258,23.73521681997372,13.725490196078432,1610612737,3,4,2025-02-06T00:15:51Z,180000,False,181.0,171.0,1,left,MISS Z. Risacher 24' 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,24.9,Missed,,,,,,,,,,,,,,,,,,
