actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-23T22:10:08.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-23T22:10:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-23T22:10:11.7Z,1,REGULAR,jumpball,recovered,[],1630700,,,1610612737,0,0,2025-03-23T22:10:11Z,40000,False,,,0,,Jump Ball O. Okongwu vs. G. Yabusele: Tip to D. Daniels,"[1630700, 1630168, 1627824]",1610612737.0,ATL,startperiod,D. Daniels,1630700.0,Daniels,D. Daniels,Okongwu,1630168.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-03-23T22:10:30.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,92.9862023653088,49.50980392156863,1610612737,2,0,2025-03-23T22:10:37Z,70000,False,-2.0,13.0,1,right,Z. Risacher cutting Layup (2 PTS) (T. Young 1 AST),"[1642258, 1629027]",1610612737.0,ATL,cutting,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,1.36,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2025-03-23T22:10:50.5Z,1,REGULAR,turnover,bad pass,[],1629656,,,1610612755,2,0,2025-03-23T22:10:59Z,90000,False,,,0,,Q. Grimes bad pass TURNOVER (1 TO),"[1629656, 1630700]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Center,,,,,,,1.0,Daniels,1630700.0,,,,,,,,,,,
10,PT11M17.00S,2025-03-23T22:10:50.5Z,1,REGULAR,steal,,[],1630700,,,1610612737,2,0,2025-03-23T22:10:52Z,100000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2025-03-23T22:10:55.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1631243,71.56701708278581,79.41176470588235,1610612737,2,0,2025-03-23T22:11:05Z,110000,False,147.0,215.0,1,right,MISS M. Gueye 26' running 3PT,[1631243],1610612737.0,ATL,running,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Right Center,26.03,Missed,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2025-03-23T22:10:57.5Z,1,REGULAR,rebound,defensive,[],1630288,,,1610612755,2,0,2025-03-23T22:11:22Z,120000,False,,,0,,J. Dowtin Jr. REBOUND (Off:0 Def:1),[1630288],1610612755.0,PHI,,,,Dowtin Jr.,J. Dowtin Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
13,PT10M52.00S,2025-03-23T22:11:15.9Z,1,REGULAR,turnover,lost ball,[],1629643,,,1610612755,2,0,2025-03-23T22:11:20Z,130000,False,,,0,,C. Okeke lost ball TURNOVER (1 TO),"[1629643, 1630700]",1610612755.0,PHI,,,,Okeke,C. Okeke,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,1.0,Daniels,1630700.0,,,,,,,,,,,
14,PT10M52.00S,2025-03-23T22:11:15.9Z,1,REGULAR,steal,,[],1630700,,,1610612737,2,0,2025-03-23T22:11:18Z,140000,False,,,0,,D. Daniels STEAL (2 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2025-03-23T22:11:25.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630700,85.23324572930355,52.69607843137255,1610612737,4,0,2025-03-23T22:11:30Z,150000,False,13.0,86.0,1,right,D. Daniels 8' floating Jump Shot (2 PTS) (T. Young 2 AST),"[1630700, 1629027]",1610612737.0,ATL,floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,8.73,Made,2.0,T. Young,1629027.0,2.0,,,,,,,,,,,,,,
