actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-13T17:11:47.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-13T17:11:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-04-13T17:11:50.9Z,1,REGULAR,jumpball,recovered,[],1629611,,,1610612737,0,0,2025-04-13T17:11:50Z,40000,False,,,0,,Jump Ball D. Barlow vs. W. Carter Jr.: Tip to T. Mann,"[1629611, 1631230, 1628976]",1610612737.0,ATL,startperiod,T. Mann,1629611.0,Mann,T. Mann,Barlow,1631230.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-04-13T17:12:03.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,92.19776609724047,43.38235294117647,1610612737,0,0,2025-04-13T17:12:12Z,70000,False,-33.0,21.0,1,right,MISS T. Mann fadeaway Shot,[1629611],1610612737.0,ATL,fadeaway,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,3.91,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-04-13T17:12:06.6Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2025-04-13T17:12:12Z,80000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2025-04-13T17:12:23.6Z,1,REGULAR,3pt,Jump Shot,[],203484,27.54599211563732,23.03921568627451,1610612753,0,0,2025-04-13T17:12:29Z,90000,False,135.0,206.0,1,left,MISS K. Caldwell-Pope 24' 3PT,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,24.65,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2025-04-13T17:12:27.6Z,1,REGULAR,rebound,defensive,[],1631243,,,1610612737,0,0,2025-04-13T17:12:29Z,100000,False,,,0,,M. Gueye REBOUND (Off:0 Def:1),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M15.00S,2025-04-13T17:12:31.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629611,93.11760840998686,51.225490196078425,1610612737,2,0,2025-04-13T17:12:47Z,110000,False,6.0,12.0,1,right,T. Mann running reverse Layup (2 PTS) (K. Wallace 1 AST),"[1629611, 1630811]",1610612737.0,ATL,running reverse,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,1.36,Made,,,,,2.0,K. Wallace,1630811.0,1.0,,,,,,,,,,
13,PT10M58.00S,2025-04-13T17:12:47.8Z,1,REGULAR,3pt,Jump Shot,[],1628976,31.225361366622867,33.57843137254902,1610612753,2,0,2025-04-13T17:12:53Z,130000,False,82.0,241.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,25.46,Missed,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2025-04-13T17:12:50.8Z,1,REGULAR,rebound,offensive,[],1641710,,,1610612753,2,0,2025-04-13T17:12:53Z,140000,False,,,0,,A. Black REBOUND (Off:1 Def:0),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Right Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,PT10M49.00S,2025-04-13T17:12:57.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641783,26.231931668856767,18.872549019607842,1610612753,2,3,2025-04-13T17:13:03Z,150000,False,156.0,194.0,1,left,T. da Silva 24' 3PT  (3 PTS) (K. Caldwell-Pope 1 AST),"[1641783, 203484]",1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Above the Break 3,24+ Right Center,24.88,Made,,,,,3.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,
