actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-14T23:40:35.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-14T23:40:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-03-14T23:40:39.1Z,1,REGULAR,jumpball,recovered,[],1627739,,,1610612746,0,0,2025-03-14T23:40:39Z,40000,False,,,0,,Jump Ball I. Zubac vs. O. Okongwu: Tip to K. Dunn,"[1627739, 1627826, 1630168]",1610612746.0,LAC,startperiod,K. Dunn,1627739.0,Dunn,K. Dunn,Zubac,1627826.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-03-14T23:40:53.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627739,93.38042049934296,49.26470588235294,1610612746,0,0,2025-03-14T23:41:03Z,70000,False,-4.0,10.0,1,right,MISS K. Dunn reverse Layup,[1627739],1610612746.0,LAC,reverse,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,1.04,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2025-03-14T23:40:57.3Z,1,REGULAR,rebound,offensive,[],202695,,,1610612746,0,0,2025-03-14T23:40:57Z,80000,False,,,0,,K. Leonard REBOUND (Off:1 Def:0),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2025-03-14T23:40:57.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202695,94.40999984741211,50.0,1610612746,0,2,2025-03-14T23:40:57Z,90000,False,0.0,0.0,1,right,K. Leonard tip Layup (2 PTS),[202695],1610612746.0,LAC,tip,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M21.00S,2025-03-14T23:41:13.1Z,1,REGULAR,3pt,Jump Shot,[],1629027,31.882391590013142,64.2156862745098,1610612737,0,2,2025-03-14T23:41:22Z,100000,False,-71.0,247.0,1,left,MISS T. Young 25' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,25.72,Missed,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2025-03-14T23:41:19.1Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,0,2,2025-03-14T23:41:22Z,110000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M15.00S,2025-03-14T23:41:21.7Z,1,REGULAR,turnover,out-of-bounds,[],201935,,,1610612746,0,2,2025-03-14T23:41:29Z,120000,False,,,0,,J. Harden bad pass out-of-bounds TURNOVER (1 TO),[201935],1610612746.0,LAC,bad pass,,,Harden,J. Harden,,,,,Mid-Range,8-16 Right,,,,,,,,1162.0,1.0,,,,,,,,,,,
13,PT11M03.00S,2025-03-14T23:41:39.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631243,30.305519053876477,26.225490196078432,1610612737,3,2,2025-03-14T23:41:44Z,130000,False,119.0,232.0,1,left,M. Gueye 26' 3PT  (3 PTS) (T. Young 1 AST),"[1631243, 1629027]",1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Right Center,26.1,Made,,,,,3.0,,,T. Young,1629027.0,1.0,,,,,,,,
15,PT10M37.00S,2025-03-14T23:42:05.9Z,1,REGULAR,3pt,Jump Shot,[],201935,73.01248357424441,82.35294117647058,1610612746,3,5,2025-03-14T23:42:10Z,150000,False,162.0,201.0,1,right,J. Harden 25' 3PT  (3 PTS) (I. Zubac 1 AST),"[201935, 1627826]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,25.82,Made,,,,,3.0,,,I. Zubac,1627826.0,1.0,,,,,,,,
17,PT10M32.00S,2025-03-14T23:42:12.5Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,3,5,2025-03-14T23:42:20Z,170000,False,,,0,,T. Young bad pass out-of-bounds TURNOVER (1 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,Mid-Range,8-16 Left,,,,,,,,1627539.0,1.0,,,,,,,,,,,
18,PT10M22.00S,2025-03-14T23:42:32.7Z,1,REGULAR,turnover,bad pass,[],201587,,,1610612746,3,5,2025-03-14T23:42:39Z,180000,False,,,0,,N. Batum bad pass TURNOVER (1 TO),"[201587, 1630700]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,1.0,,,,Daniels,1630700.0,,,,,,
19,PT10M22.00S,2025-03-14T23:42:32.7Z,1,REGULAR,steal,,[],1630700,,,1610612737,3,5,2025-03-14T23:42:35Z,190000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
20,PT10M18.00S,2025-03-14T23:42:36.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629027,6.521024967148489,48.28431372549019,1610612737,5,5,2025-03-14T23:42:49Z,200000,False,9.0,9.0,1,left,T. Young running Layup (2 PTS) (D. Daniels 1 AST),"[1629027, 1630700]",1610612737.0,ATL,running,,,Young,T. Young,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,2.0,,,D. Daniels,1630700.0,1.0,,,,,,,,
22,PT10M04.00S,2025-03-14T23:42:50.5Z,1,REGULAR,turnover,lost ball,[],202695,,,1610612746,5,5,2025-03-14T23:42:57Z,220000,False,,,0,,K. Leonard lost ball TURNOVER (1 TO),"[202695, 1642258]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Center,,,,,,,,,1.0,,,,Risacher,1642258.0,,,,,,
23,PT10M04.00S,2025-03-14T23:42:50.5Z,1,REGULAR,steal,,[],1642258,,,1610612737,5,5,2025-03-14T23:42:53Z,230000,False,,,0,,Z. Risacher STEAL (1 STL),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
25,PT09M53.00S,2025-03-14T23:43:20.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1631243,5.338370565045992,50.49019607843137,1610612737,7,5,2025-03-14T23:43:24Z,250000,False,-2.0,-2.0,1,left,M. Gueye driving DUNK (5 PTS) (O. Okongwu 1 AST),"[1631243, 1630168]",1610612737.0,ATL,driving,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,0.34,Made,,,,,5.0,,,O. Okongwu,1630168.0,1.0,,,,,,,,
27,PT09M35.00S,2025-03-14T23:43:38.5Z,1,REGULAR,turnover,lost ball,[],201935,,,1610612746,7,5,2025-03-14T23:43:44Z,270000,False,,,0,,J. Harden lost ball TURNOVER (2 TO),"[201935, 1630700]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,2.0,,,,Daniels,1630700.0,,,,,,
28,PT09M35.00S,2025-03-14T23:43:38.5Z,1,REGULAR,steal,,[],1630700,,,1610612737,7,5,2025-03-14T23:46:29Z,280000,False,,,0,,D. Daniels STEAL (2 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M22.00S,2025-03-14T23:43:51.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631243,6.389618922470433,46.568627450980394,1610612737,7,5,2025-03-14T23:45:57Z,290000,False,17.0,8.0,1,left,MISS M. Gueye reverse Layup,[1631243],1610612737.0,ATL,reverse,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,1.88,Missed,,,,,,,,,,,,,,,,,,
30,PT09M17.00S,2025-03-14T23:43:55.6Z,1,REGULAR,rebound,offensive,[],1631243,,,1610612737,7,5,2025-03-14T23:43:55Z,300000,False,,,0,,M. Gueye REBOUND (Off:1 Def:0),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,,,29.0,1.0,0.0,1.0,,,,,,,,,,,,,,
31,PT09M17.00S,2025-03-14T23:43:55.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1631243,5.590000152587891,50.0,1610612737,7,5,2025-03-14T23:43:58Z,310000,False,0.0,0.0,1,left,MISS M. Gueye putback Layup,[1631243],1610612737.0,ATL,putback,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
32,PT09M17.00S,2025-03-14T23:43:55.6Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,7,5,2025-03-14T23:43:58Z,320000,False,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,,,
33,PT09M02.00S,2025-03-14T23:44:11.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,87.46714848883047,53.18627450980392,1610612746,7,7,2025-03-14T23:46:43Z,330000,False,16.0,65.0,1,right,I. Zubac 6' turnaround Hook (2 PTS),[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,6.72,Made,,,,,2.0,,,,,,,,,,,,,
34,PT08M54.00S,2025-03-14T23:44:21.4Z,1,REGULAR,foul,personal,['2freethrow'],1627739,,,1610612737,7,7,2025-03-14T23:44:52Z,340000,False,,,0,,K. Dunn shooting personal FOUL (1 PF) (Young 2 FT),"[1627739, 1629027]",1610612746.0,LAC,shooting,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1627539.0,,,,,,,1.0,0.0,Young,1629027.0,,
36,PT08M54.00S,2025-03-14T23:44:55.7Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,8,7,2025-03-14T23:44:55Z,360000,False,,,0,,T. Young Free Throw 1 of 2 (3 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
37,PT08M54.00S,2025-03-14T23:45:12.2Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,9,7,2025-03-14T23:45:12Z,370000,False,,,0,,T. Young Free Throw 2 of 2 (4 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
38,PT08M35.00S,2025-03-14T23:45:32.9Z,1,REGULAR,3pt,Jump Shot,[],201935,81.2910643889619,93.87254901960785,1610612746,9,10,2025-03-14T23:45:40Z,380000,False,219.0,123.0,1,right,J. Harden 25' 3PT step back (6 PTS),[201935],1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,25.17,Made,,,,,6.0,,,,,,,,,,,,,
39,PT08M22.00S,2025-03-14T23:45:46.4Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,9,10,2025-03-14T23:52:14Z,390000,False,,,0,,T. Young bad pass TURNOVER (2 TO),"[1629027, 1627739]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,16-24 Center,,,,,,,,,2.0,,,,Dunn,1627739.0,,,,,,
40,PT08M22.00S,2025-03-14T23:45:46.4Z,1,REGULAR,steal,,[],1627739,,,1610612746,9,10,2025-03-14T23:45:49Z,400000,False,,,0,,K. Dunn STEAL (1 STL),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
41,PT08M17.00S,2025-03-14T23:45:51.0Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",202695,74.98357424441524,14.215686274509803,1610612746,9,10,2025-03-14T23:48:30Z,410000,False,-179.0,183.0,1,right,MISS K. Leonard 25' running pullup 3PT,[202695],1610612746.0,LAC,running pullup,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Left Center,25.57,Missed,,,,,,,,,,,,,,,,,,
42,PT08M11.00S,2025-03-14T23:45:57.0Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,9,10,2025-03-14T23:45:57Z,420000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT08M09.00S,2025-03-14T23:45:59.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629027,30.042706964520367,29.65686274509804,1610612737,9,10,2025-03-14T23:51:25Z,430000,False,102.0,230.0,1,left,MISS T. Young 25' running pullup 3PT,[1629027],1610612737.0,ATL,running pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,25.14,Missed,,,,,,,,,,,,,,,,,,
44,PT08M09.00S,2025-03-14T23:45:59.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,9,10,2025-03-14T23:46:09Z,440000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Above the Break 3,24+ Right Center,,,43.0,,,,,,,,,,,,,,,,,
46,PT07M48.00S,2025-03-14T23:46:30.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,89.30683311432325,48.77450980392157,1610612746,9,10,2025-03-14T23:52:52Z,460000,False,-6.0,48.0,1,right,MISS J. Harden driving floating Shot - blocked,"[201935, 1631243]",1610612746.0,LAC,driving floating,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,4.84,Missed,,,,,,,,,,,,,,,,,Gueye,1631243.0
