actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-21T00:40:27.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-21T00:40:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-02-21T00:40:31.6Z,1,REGULAR,jumpball,recovered,[],1631094,,,1610612753,0,0,2025-02-21T00:40:31Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. O. Okongwu: Tip to P. Banchero,"[1631094, 1628976, 1630168]",1610612753.0,ORL,startperiod,P. Banchero,1631094.0,Banchero,P. Banchero,Carter Jr.,1628976.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2025-02-21T00:40:33.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631094,6.652431011826544,51.225490196078425,1610612753,0,2,2025-02-21T00:40:40Z,70000,False,-6.0,10.0,1,left,P. Banchero driving DUNK (2 PTS),[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,1.17,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-02-21T00:40:48.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,90.48948751642575,64.4607843137255,1610612737,0,2,2025-02-21T00:40:55Z,80000,False,72.0,37.0,1,right,MISS Z. Risacher 8' driving Layup,[1642258],1610612737.0,ATL,driving,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),8-16 Right,8.12,Missed,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2025-02-21T00:40:51.0Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,2,2025-02-21T00:40:55Z,90000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Right,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M33.00S,2025-02-21T00:40:53.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630532,6.1268068331143235,50.73529411764706,1610612753,0,4,2025-02-21T00:41:00Z,100000,False,-4.0,5.0,1,left,F. Wagner running DUNK (2 PTS) (P. Banchero 1 AST),"[1630532, 1631094]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,0.63,Made,2.0,,,,,P. Banchero,1631094.0,1.0,,,,,,,,,,
12,PT11M25.00S,2025-02-21T00:41:03.2Z,1,REGULAR,violation,kicked ball,[],1628976,,,1610612737,0,4,2025-02-21T00:41:08Z,120000,False,,,0,,W. Carter Jr. kicked ball VIOLATION,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,202041.0,,,,,,,,,
13,PT11M10.00S,2025-02-21T00:41:33.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630168,82.86793692509855,49.50980392156863,1610612737,0,4,2025-02-21T00:41:43Z,130000,False,-2.0,109.0,1,right,MISS O. Okongwu 10' driving floating Shot,[1630168],1610612737.0,ATL,driving floating,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,10.85,Missed,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2025-02-21T00:41:36.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,4,2025-02-21T00:41:43Z,140000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M51.00S,2025-02-21T00:41:53.1Z,1,REGULAR,3pt,Jump Shot,[],203484,31.225361366622867,45.09803921568628,1610612753,0,4,2025-02-21T00:42:25Z,150000,False,25.0,241.0,1,left,MISS K. Caldwell-Pope 24' bank 3PT,[203484],1610612753.0,ORL,bank,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,24.22,Missed,,,,,,,,,,,,,,,,,,
16,PT10M48.00S,2025-02-21T00:41:56.1Z,1,REGULAR,rebound,defensive,[],1631243,,,1610612737,0,4,2025-02-21T00:41:58Z,160000,False,,,0,,M. Gueye REBOUND (Off:0 Def:1),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M42.00S,2025-02-21T00:42:03.1Z,1,REGULAR,foul,personal,['2freethrow'],1631094,,,1610612737,0,4,2025-02-21T00:42:26Z,170000,False,,,0,,P. Banchero shooting personal FOUL (1 PF) (Young 2 FT),"[1631094, 1629027]",1610612753.0,ORL,shooting,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202041.0,1.0,0.0,Young,1629027.0,,,,,
19,PT10M42.00S,2025-02-21T00:42:27.2Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,0,4,2025-02-21T00:42:27Z,190000,False,,,0,,MISS T. Young Free Throw 1 of 2,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
20,PT10M42.00S,2025-02-21T00:42:27.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,0,4,2025-02-21T00:42:27Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,
21,PT10M42.00S,2025-02-21T00:42:39.2Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,1,4,2025-02-21T00:42:39Z,210000,False,,,0,,T. Young Free Throw 2 of 2 (1 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
22,PT10M25.00S,2025-02-21T00:42:58.6Z,1,REGULAR,3pt,Jump Shot,[],1628976,9.937582128777924,2.941176470588235,1610612753,1,4,2025-02-21T00:43:03Z,220000,False,235.0,41.0,1,left,MISS W. Carter Jr. 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Right Corner 3,24+ Right,23.88,Missed,,,,,,,,,,,,,,,,,,
