actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-24T00:42:24.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-24T00:42:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2025-01-24T00:42:32.8Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2025-01-24T00:42:32Z,40000,False,,,0,,Jump Ball J. Poeltl vs. O. Okongwu: Tip to S. Barnes,"[1630567, 1627751, 1630168]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Poeltl,1627751.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-01-24T00:42:47.0Z,1,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612761,0,0,2025-01-24T00:43:09Z,70000,False,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Dick 2 FT),"[1630168, 1641711]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,202058.0,1.0,0.0,Dick,1641711.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2025-01-24T00:43:10.7Z,1,REGULAR,freethrow,1 of 2,[],1641711,,,1610612761,0,1,2025-01-24T00:43:10Z,90000,False,,,0,,G. Dick Free Throw 1 of 2 (1 PTS),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M38.00S,2025-01-24T00:43:27.0Z,1,REGULAR,freethrow,2 of 2,[],1641711,,,1610612761,0,2,2025-01-24T00:43:27Z,100000,False,,,0,,G. Dick Free Throw 2 of 2 (2 PTS),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M26.00S,2025-01-24T00:43:41.5Z,1,REGULAR,turnover,bad pass,[],1630552,,,1610612737,0,2,2025-01-24T00:43:47Z,110000,False,,,0,,J. Johnson bad pass TURNOVER (1 TO),"[1630552, 1627751]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,Poeltl,1627751.0,,,,,,,,,,
12,PT11M26.00S,2025-01-24T00:43:41.5Z,1,REGULAR,steal,,[],1627751,,,1610612761,0,2,2025-01-24T00:43:43Z,120000,False,,,0,,J. Poeltl STEAL (1 STL),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M19.00S,2025-01-24T00:43:56.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641711,74.85216819973719,13.970588235294118,1610612761,0,5,2025-01-24T00:44:02Z,140000,False,-180.0,184.0,1,right,G. Dick 25' 3PT  (5 PTS) (S. Barnes 1 AST),"[1641711, 1630567]",1610612761.0,TOR,,,,Dick,G. Dick,,,,,Above the Break 3,24+ Left Center,,,,,,Made,5.0,,,,25.74,S. Barnes,1630567.0,1.0,,,,,,
16,PT11M00.00S,2025-01-24T00:44:15.9Z,1,REGULAR,3pt,Jump Shot,[],1629027,29.517082785808146,68.38235294117648,1610612737,3,5,2025-01-24T00:44:21Z,160000,False,-92.0,225.0,1,left,T. Young 24' 3PT  (3 PTS) (O. Okongwu 1 AST),"[1629027, 1630168]",1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,,,24.3,O. Okongwu,1630168.0,1.0,,,,,,
18,PT10M45.00S,2025-01-24T00:44:30.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,92.32917214191852,52.450980392156865,1610612761,3,7,2025-01-24T00:44:36Z,180000,False,12.0,20.0,1,right,S. Barnes driving Layup (2 PTS) (J. Poeltl 1 AST),"[1630567, 1627751]",1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,2.31,J. Poeltl,1627751.0,1.0,,,,,,
20,PT10M34.00S,2025-01-24T00:44:41.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,4.681340341655716,48.529411764705884,1610612737,5,7,2025-01-24T00:45:09Z,200000,False,7.0,-8.0,1,left,O. Okongwu cutting Layup (2 PTS) (J. Johnson 1 AST),"[1630168, 1630552]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,1.13,J. Johnson,1630552.0,1.0,,,,,,
22,PT10M27.00S,2025-01-24T00:44:49.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,92.46057818659659,46.81372549019608,1610612761,5,7,2025-01-24T00:44:55Z,220000,False,-16.0,18.0,1,right,MISS D. Mitchell driving Layup,[1630558],1610612761.0,TOR,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,2.43,,,,,,,,,
23,PT10M24.00S,2025-01-24T00:44:51.9Z,1,REGULAR,rebound,defensive,[],1630249,,,1610612737,5,7,2025-01-24T00:44:51Z,230000,False,,,0,,V. Krejčí REBOUND (Off:0 Def:1),[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,
24,PT10M11.00S,2025-01-24T00:45:04.3Z,1,REGULAR,3pt,Jump Shot,[],1630249,33.98488830486202,39.705882352941174,1610612737,8,7,2025-01-24T00:45:10Z,240000,False,51.0,267.0,1,left,V. Krejčí 27' 3PT  (3 PTS) (T. Young 1 AST),"[1630249, 1629027]",1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,,,,27.19,T. Young,1629027.0,1.0,,,,,,
26,PT09M48.00S,2025-01-24T00:45:27.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.11760840998686,51.9607843137255,1610612761,8,9,2025-01-24T00:46:38Z,260000,False,10.0,12.0,1,right,J. Poeltl cutting Layup (2 PTS) (D. Mitchell 1 AST),"[1627751, 1630558]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,1.56,D. Mitchell,1630558.0,1.0,,,,,,
28,PT09M37.00S,2025-01-24T00:45:40.9Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,8,9,2025-01-24T00:45:49Z,280000,False,,,0,,T. Young bad pass out-of-bounds TURNOVER (1 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,2003.0,,,,,,,1.0,,,,,,,,,,,,
