actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-10-25T23:41:18.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-25T23:41:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-10-25T23:41:20.8Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2024-10-25T23:41:20Z,40000,False,,,0,,Jump Ball N. Richards vs. C. Capela: Tip to L. Ball,"[1630163, 1630208, 203991]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Richards,1630208.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-10-25T23:41:34.1Z,1,REGULAR,3pt,Jump Shot,[],1630163,30.305519053876477,76.22549019607843,1610612766,0,0,2024-10-25T23:41:41Z,70000,False,-131.0,232.0,1,left,MISS L. Ball 26' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,26.68,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-10-25T23:41:38.1Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,0,0,2024-10-25T23:41:41Z,80000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2024-10-25T23:41:44.8Z,1,REGULAR,3pt,Jump Shot,[],1629027,67.62483574244416,54.166666666666664,1610612737,3,0,2024-10-25T23:41:49Z,90000,False,21.0,252.0,1,right,T. Young 25' 3PT pullup (3 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,25.27,Made,,,,,3.0,,,,,,,,,,,,,
10,PT11M27.00S,2024-10-25T23:41:54.1Z,1,REGULAR,foul,personal,[],1630700,,,1610612766,3,0,2024-10-25T23:41:59Z,100000,False,,,0,,D. Daniels personal FOUL (1 PF),"[1630700, 1630163]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,,,,,101283.0,1.0,0.0,Ball,1630163.0,,,,,,,,
13,PT11M13.00S,2024-10-25T23:42:41.0Z,1,REGULAR,2pt,Jump Shot,[],203552,7.046649145860711,71.81372549019608,1610612766,3,0,2024-10-25T23:42:46Z,130000,False,-109.0,14.0,1,left,MISS S. Curry 11' driving floating Shot,[203552],1610612766.0,CHA,driving floating,,,Curry,S. Curry,,,,,Mid-Range,8-16 Left,11.0,Missed,,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2024-10-25T23:42:44.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,3,0,2024-10-25T23:42:46Z,140000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M03.00S,2024-10-25T23:42:51.4Z,1,REGULAR,foul,personal,['2freethrow'],203552,,,1610612737,3,0,2024-10-25T23:43:11Z,150000,False,,,0,,S. Curry shooting personal FOUL (1 PF) (Capela 2 FT),"[203552, 203991]",1610612766.0,CHA,shooting,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,,,,,,101283.0,1.0,0.0,Capela,203991.0,,,,,,,,
17,PT11M03.00S,2024-10-25T23:43:14.4Z,1,REGULAR,freethrow,1 of 2,[],203991,,,1610612737,4,0,2024-10-25T23:43:14Z,170000,False,,,0,,C. Capela Free Throw 1 of 2 (1 PTS),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
