actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-26T00:40:30.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-26T00:40:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-11-26T00:40:36.0Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612742,0,0,2024-11-26T00:40:36Z,40000,False,,,0,,Jump Ball D. Lively II vs. C. Capela: Tip to P. Washington,"[1629023, 1641726, 203991]",1610612742.0,DAL,startperiod,P. Washington,1629023.0,Washington,P. Washington,Lively II,1641726.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-11-26T00:40:48.3Z,1,REGULAR,turnover,out-of-bounds,[],1630702,,,1610612742,0,0,2024-11-26T00:40:59Z,70000,False,,,0,,J. Hardy bad pass out-of-bounds TURNOVER (1 TO),[1630702],1610612742.0,DAL,bad pass,,,Hardy,J. Hardy,,,,,Left Corner 3,24+ Left,11629177.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2024-11-26T00:41:13.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203991,85.49605781865965,45.83333333333333,1610612737,0,0,2024-11-26T00:41:21Z,80000,False,-21.0,84.0,1,right,MISS C. Capela 8' turnaround Hook,[203991],1610612737.0,ATL,turnaround,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Center,,,8.63,Missed,,,,,,,,,,,,,,,,
9,PT11M21.00S,2024-11-26T00:41:17.6Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,0,0,2024-11-26T00:41:21Z,90000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),8-16 Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M16.00S,2024-11-26T00:41:22.4Z,1,REGULAR,turnover,bad pass,[],1630230,,,1610612742,0,0,2024-11-26T00:41:28Z,100000,False,,,0,,N. Marshall bad pass TURNOVER (1 TO),"[1630230, 1630552]",1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Center,,1.0,,,,,,,Johnson,1630552.0,,,,,,,,,,
11,PT11M16.00S,2024-11-26T00:41:22.4Z,1,REGULAR,steal,,[],1630552,,,1610612737,0,0,2024-11-26T00:41:24Z,110000,False,,,0,,J. Johnson STEAL (1 STL),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2024-11-26T00:41:25.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630552,94.30026281208936,51.225490196078425,1610612737,2,0,2024-11-26T00:41:34Z,120000,False,6.0,1.0,1,right,J. Johnson running DUNK (2 PTS),[1630552],1610612737.0,ATL,running,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,0.62,Made,,,,,,,2.0,,,,,,,,,
13,PT10M59.00S,2024-11-26T00:41:39.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,10.726018396846255,48.03921568627451,1610612742,2,0,2024-11-26T00:42:18Z,130000,False,10.0,48.0,1,left,MISS P. Washington driving floating Shot,[1629023],1610612742.0,DAL,driving floating,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,4.93,Missed,,,,,,,,,,,,,,,,
17,PT10M53.00S,2024-11-26T00:42:17.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,2,0,2024-11-26T00:42:17Z,140000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,13.0,,,,,,,,,,,,,,,
