actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-12-27T00:40:41.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-27T00:40:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-27T00:40:43.7Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2024-12-27T00:40:43Z,40000,False,,,0,,Jump Ball C. Capela vs. N. Vučević: Tip to T. Young,"[1629027, 203991, 202696]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-12-27T00:41:14.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,9.017739816031538,61.029411764705884,1610612737,0,0,2024-12-27T00:41:22Z,80000,False,-55.0,32.0,1,left,MISS D. Daniels 6' driving floating bank Shot,[1630700],1610612737.0,ATL,driving floating bank,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,6.39,Missed,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2024-12-27T00:41:17.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2024-12-27T00:50:16Z,90000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M24.00S,2024-12-27T00:41:29.0Z,1,REGULAR,3pt,Jump Shot,[],203897,94.03745072273325,96.32352941176471,1610612741,0,0,2024-12-27T00:41:35Z,100000,False,232.0,4.0,1,right,MISS Z. LaVine 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Right Corner 3,24+ Right,23.16,Missed,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2024-12-27T00:41:33.0Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,0,0,2024-12-27T00:50:27Z,110000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Right Corner 3,24+ Right,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M17.00S,2024-12-27T00:41:38.2Z,1,REGULAR,turnover,out-of-bounds,[],1630552,,,1610612737,0,0,2024-12-27T00:41:51Z,120000,False,,,0,,J. Johnson lost ball out-of-bounds TURNOVER (1 TO),[1630552],1610612737.0,ATL,lost ball,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627964.0,1.0,,,,,,,,,,,,
13,PT11M07.00S,2024-12-27T00:42:00.1Z,1,REGULAR,foul,offensive,[],1631207,,,1610612741,0,0,2024-12-27T00:42:07Z,130000,False,,,0,,D. Terry off-the-ball offensive FOUL (1 PF),"[1631207, 1630552]",1610612741.0,CHI,off-the-ball,,,Terry,D. Terry,,,,,Mid-Range,16-24 Center,,,,,,,1627964.0,,1.0,0.0,Johnson,1630552.0,,,,,,,,
15,PT11M07.00S,2024-12-27T00:42:00.1Z,1,REGULAR,turnover,offensive foul,[],1631207,,,1610612741,0,0,2024-12-27T00:42:00Z,150000,False,,,0,,D. Terry offensive foul TURNOVER (1 TO),[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,Mid-Range,16-24 Center,,,,,,,1627964.0,1.0,,,,,,,,,,,,
17,PT10M43.00S,2024-12-27T00:43:01.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612737,0,0,2024-12-27T00:43:10Z,170000,False,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,204058.0,,,,,,,,,,,,,
18,PT10M31.00S,2024-12-27T00:43:24.6Z,1,REGULAR,turnover,bad pass,[],1629632,,,1610612741,0,0,2024-12-27T00:43:33Z,180000,False,,,0,,C. White bad pass TURNOVER (1 TO),"[1629632, 1642258]",1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,,,,,Risacher,1642258.0,,,,,,
19,PT10M31.00S,2024-12-27T00:43:24.6Z,1,REGULAR,steal,,[],1642258,,,1610612737,0,0,2024-12-27T00:43:26Z,190000,False,,,0,,Z. Risacher STEAL (1 STL),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
20,PT10M28.00S,2024-12-27T00:43:28.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642258,6.521024967148489,47.05882352941176,1610612737,0,0,2024-12-27T00:43:40Z,200000,False,15.0,9.0,1,left,MISS Z. Risacher running Layup - blocked,"[1642258, 203897]",1610612737.0,ATL,running,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,1.71,Missed,,,,,,,,,,,,,LaVine,203897.0,,,,
21,PT10M28.00S,2024-12-27T00:43:28.3Z,1,REGULAR,block,,[],203897,,,1610612737,0,0,2024-12-27T00:43:30Z,210000,False,,,0,,Z. LaVine BLOCK (1 BLK),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M23.00S,2024-12-27T00:43:33.3Z,1,REGULAR,rebound,offensive,[],1629027,,,1610612737,0,0,2024-12-27T00:43:40Z,220000,False,,,0,,T. Young REBOUND (Off:1 Def:0),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,,
23,PT10M22.00S,2024-12-27T00:43:33.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630552,7.440867279894875,47.05882352941176,1610612737,2,0,2024-12-27T00:49:39Z,230000,False,15.0,17.0,1,left,J. Johnson DUNK (2 PTS) (T. Young 1 AST),"[1630552, 1629027]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,2.28,Made,,,,,,,,,,,,,,,2.0,T. Young,1629027.0,1.0
25,PT10M17.00S,2024-12-27T00:43:38.1Z,1,REGULAR,turnover,lost ball,[],203897,,,1610612741,2,0,2024-12-27T00:55:24Z,250000,False,,,0,,Z. LaVine lost ball TURNOVER (1 TO),"[203897, 1630552]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,,,,,Johnson,1630552.0,,,,,,
26,PT10M17.00S,2024-12-27T00:43:38.1Z,1,REGULAR,steal,,[],1630552,,,1610612737,2,0,2024-12-27T00:43:40Z,260000,False,,,0,,J. Johnson STEAL (1 STL),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
