actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-27T23:42:18.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-27T23:42:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-27T23:42:20.2Z,1,REGULAR,jumpball,recovered,[],1630700,,,1610612737,0,0,2025-03-27T23:42:20Z,40000,False,,,0,,Jump Ball O. Okongwu vs. K. Ware: Tip to D. Daniels,"[1630700, 1630168, 1642276]",1610612737.0,ATL,startperiod,D. Daniels,1630700.0,Daniels,D. Daniels,Okongwu,1630168.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-03-27T23:42:33.6Z,1,REGULAR,turnover,out-of-bounds,[],1642258,,,1610612737,0,0,2025-03-27T23:42:42Z,70000,False,,,0,,Z. Risacher bad pass out-of-bounds TURNOVER (1 TO),[1642258],1610612737.0,ATL,bad pass,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,1628171.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2025-03-27T23:42:57.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628389,4.28712220762155,79.65686274509804,1610612748,2,0,2025-03-27T23:43:02Z,80000,False,-148.0,-12.0,1,left,B. Adebayo 14' Jump Shot (2 PTS) (A. Wiggins 1 AST),"[1628389, 203952]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,,,14.88,Made,2.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,
10,PT11M18.00S,2025-03-27T23:43:06.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642258,94.1688567674113,50.98039215686274,1610612737,2,2,2025-03-28T03:06:33Z,100000,False,5.0,2.0,1,right,Z. Risacher cutting DUNK (2 PTS) (T. Young 1 AST),"[1642258, 1629027]",1610612737.0,ATL,cutting,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,0.54,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,,
11,PT11M11.00S,2025-03-27T23:43:15.7Z,1,REGULAR,foul,personal,[],1630168,,,1610612748,2,2,2025-03-27T23:43:36Z,110000,False,,,0,,O. Okongwu personal FOUL (1 PF),"[1630168, 1628389]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,16-24 Left Center,201245.0,,,,,,,,1.0,0.0,Adebayo,1628389.0,,,,,,,,
13,PT11M00.00S,2025-03-27T23:43:47.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642276,5.995400788436268,54.41176470588235,1610612748,2,2,2025-03-27T23:46:29Z,130000,False,-22.0,4.0,1,left,MISS K. Ware alley-oop Layup,[1642276],1610612748.0,MIA,alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,2.24,Missed,,,,,,,,,,,,,,,,
14,PT10M58.00S,2025-03-27T23:43:49.8Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,2,2,2025-03-27T23:46:29Z,140000,False,,,0,,K. Ware REBOUND (Off:1 Def:0),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,
15,PT10M57.00S,2025-03-27T23:43:55.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642276,5.590000152587891,50.0,1610612748,2,2,2025-03-27T23:44:03Z,150000,False,0.0,0.0,1,left,MISS K. Ware tip Layup,[1642276],1610612748.0,MIA,tip,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,0.0,Missed,,,,,,,,,,,,,,,,
16,PT10M57.00S,2025-03-27T23:43:55.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,2,2,2025-03-27T23:44:03Z,160000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,15.0,,,,,,,
