actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-19T00:42:20.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-19T00:42:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-19T00:42:24.9Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2024-11-19T00:42:24Z,40000,False,,,0,,Jump Ball B. Adebayo vs. J. Embiid: Tip to T. Herro,"[1629639, 1628389, 203954]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Adebayo,1628389.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-11-19T00:42:40.9Z,1,REGULAR,3pt,Jump Shot,[],1629130,11.777266754270697,2.696078431372549,1610612748,0,0,2024-11-19T00:43:16Z,70000,False,237.0,58.0,1,left,MISS D. Robinson 24' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Right Corner 3,24+ Right,24.36,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-11-19T00:42:43.9Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612755,0,0,2024-11-19T00:42:47Z,80000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2024-11-19T00:42:52.6Z,1,REGULAR,3pt,Jump Shot,[],202331,66.96780551905388,50.98039215686274,1610612755,0,3,2024-11-19T00:42:59Z,90000,False,5.0,258.0,1,right,P. George 25' 3PT  (3 PTS) (J. Embiid 1 AST),"[202331, 203954]",1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Center,25.8,Made,,,,,3.0,J. Embiid,203954.0,1.0,,,,,,,,,,
11,PT11M09.00S,2024-11-19T00:43:10.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,18.2161629434954,46.81372549019608,1610612748,2,3,2024-11-19T00:44:03Z,110000,False,16.0,119.0,1,left,J. Butler 11' pullup Jump Shot (2 PTS) (B. Adebayo 1 AST),"[202710, 1628389]",1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,11.98,Made,,,,,2.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,
13,PT10M53.00S,2024-11-19T00:43:27.0Z,1,REGULAR,2pt,Jump Shot,[],202331,76.2976346911958,36.76470588235294,1610612755,2,3,2024-11-19T00:43:34Z,130000,False,-66.0,170.0,1,right,MISS P. George 18' step back Shot,[202331],1610612755.0,PHI,step back,,,George,P. George,,,,,Mid-Range,16-24 Left Center,18.27,Missed,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2024-11-19T00:43:30.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,3,2024-11-19T00:43:34Z,140000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Left Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M38.00S,2024-11-19T00:43:42.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,7.835085413929041,39.46078431372549,1610612748,4,3,2024-11-19T00:44:39Z,150000,False,53.0,21.0,1,left,J. Butler driving floating Jump Shot (4 PTS),[202710],1610612748.0,MIA,driving floating,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,5.68,Made,,,,,4.0,,,,,,,,,,,,,
16,PT10M25.00S,2024-11-19T00:43:55.3Z,1,REGULAR,3pt,Jump Shot,[],203954,70.90998685939553,21.568627450980394,1610612755,4,3,2024-11-19T00:44:00Z,160000,False,-142.0,221.0,1,right,MISS J. Embiid 26' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,26.27,Missed,,,,,,,,,,,,,,,,,,
17,PT10M23.00S,2024-11-19T00:43:57.3Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,4,3,2024-11-19T00:44:00Z,170000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M13.00S,2024-11-19T00:44:07.3Z,1,REGULAR,3pt,Jump Shot,[],1629639,29.517082785808146,27.941176470588236,1610612748,4,3,2024-11-19T00:44:14Z,180000,False,110.0,225.0,1,left,MISS T. Herro 25' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,25.06,Missed,,,,,,,,,,,,,,,,,,
19,PT10M09.00S,2024-11-19T00:44:11.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,4,3,2024-11-19T00:44:14Z,190000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT09M56.00S,2024-11-19T00:44:23.4Z,1,REGULAR,2pt,Jump Shot,[],202331,90.75229960578186,21.813725490196077,1610612755,4,5,2024-11-19T00:45:47Z,200000,False,-141.0,34.0,1,right,P. George 14' step back Jump Shot (5 PTS),[202331],1610612755.0,PHI,step back,,,George,P. George,,,,,Mid-Range,8-16 Left,14.5,Made,,,,,5.0,,,,,,,,,,,,,
