actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-22T00:12:27.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-22T00:12:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-22T00:12:29.8Z,1,REGULAR,jumpball,recovered,[],1628389,,,1610612748,0,0,2025-03-22T00:12:29Z,40000,False,,,0,,Jump Ball K. Ware vs. A. Sengun: Tip to B. Adebayo,"[1628389, 1642276, 1630578]",1610612748.0,MIA,startperiod,B. Adebayo,1628389.0,Adebayo,B. Adebayo,Ware,1642276.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-03-22T00:12:43.0Z,1,REGULAR,turnover,bad pass,[],203952,,,1610612748,0,0,2025-03-22T00:12:49Z,70000,False,,,0,,A. Wiggins bad pass TURNOVER (1 TO),"[203952, 1630578]",1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,1.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-03-22T00:12:43.0Z,1,REGULAR,steal,,[],1630578,,,1610612745,0,0,2025-03-22T00:12:45Z,80000,False,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2025-03-22T00:12:47.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630224,5.863994743758213,51.470588235294116,1610612745,0,2,2025-03-22T00:12:58Z,90000,False,-7.0,3.0,1,left,J. Green running alley-oop DUNK (2 PTS) (A. Thompson 1 AST),"[1630224, 1641708]",1610612745.0,HOU,running alley-oop,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,0.78,Made,2.0,A. Thompson,1641708.0,1.0,,,,,,,,,,,
11,PT11M23.00S,2025-03-22T00:13:03.2Z,1,REGULAR,2pt,Jump Shot,[],1629639,92.72339027595268,70.83333333333334,1610612748,0,2,2025-03-22T00:13:37Z,110000,False,104.0,16.0,1,right,MISS T. Herro 10' driving floating bank Shot,[1629639],1610612748.0,MIA,driving floating bank,,,Herro,T. Herro,,,,,Mid-Range,8-16 Right,,,,10.54,Missed,,,,,,,,,,,,,,,
12,PT11M19.00S,2025-03-22T00:13:07.2Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,0,2,2025-03-22T00:13:11Z,120000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,
13,PT11M14.00S,2025-03-22T00:13:11.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1642276,93.9060446780552,51.71568627450981,1610612748,2,2,2025-03-22T00:13:18Z,130000,False,9.0,5.0,1,right,K. Ware alley-oop DUNK (2 PTS) (B. Adebayo 1 AST),"[1642276, 1628389]",1610612748.0,MIA,alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,0.98,Made,2.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,
15,PT10M50.00S,2025-03-22T00:13:35.8Z,1,REGULAR,2pt,Layup,[],1630224,5.995400788436268,67.8921568627451,1610612745,2,2,2025-03-22T00:13:42Z,150000,False,-89.0,4.0,1,left,MISS J. Green 8' driving finger roll Layup,[1630224],1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,8.96,Missed,,,,,,,,,,,,,,,
16,PT10M49.00S,2025-03-22T00:13:36.8Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,2,2,2025-03-22T00:17:06Z,160000,False,,,0,,K. Ware REBOUND (Off:0 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Mid-Range,8-16 Left,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
