actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-24T00:42:32.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-24T00:42:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-24T00:42:35.3Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2024-12-24T00:42:35Z,40000,False,,,0,,Jump Ball B. Adebayo vs. N. Claxton: Tip to T. Herro,"[1629639, 1628389, 1629651]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Adebayo,1628389.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-12-24T00:42:52.0Z,1,REGULAR,3pt,Jump Shot,[],1629312,24.78646517739816,84.55882352941177,1610612748,0,0,2024-12-24T00:42:58Z,70000,False,-173.0,180.0,1,left,MISS H. Highsmith 24' 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Left Center,24.99,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-12-24T00:42:55.0Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2024-12-24T00:42:58Z,80000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2024-12-24T00:43:04.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,87.59855453350855,57.84313725490197,1610612751,0,0,2024-12-24T00:43:43Z,90000,False,39.0,64.0,1,right,MISS N. Claxton 7' driving Hook,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,7.51,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2024-12-24T00:43:08.5Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,0,2024-12-24T00:43:08Z,100000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M14.00S,2024-12-24T00:43:20.5Z,1,REGULAR,turnover,out-of-bounds,[],1629312,,,1610612748,0,0,2024-12-24T00:43:28Z,110000,False,,,0,,H. Highsmith step out-of-bounds TURNOVER (1 TO),[1629312],1610612748.0,MIA,step,,,Highsmith,H. Highsmith,,,,,Left Corner 3,24+ Left,,,,,,,2530.0,1.0,,,,,,,,,,,,
12,PT10M59.00S,2024-12-24T00:43:48.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629661,94.82588699080158,3.6764705882352944,1610612751,0,3,2024-12-24T00:43:53Z,120000,False,-232.0,-4.0,1,right,C. Johnson 3PT  (3 PTS) (K. Johnson 1 AST),"[1629661, 1630553]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,23.16,Made,,,,,,,3.0,K. Johnson,1630553.0,1.0,,,,,,,,
14,PT10M44.00S,2024-12-24T00:44:02.8Z,1,REGULAR,3pt,Jump Shot,[],1629130,31.882391590013142,49.26470588235294,1610612748,3,3,2024-12-24T00:44:09Z,140000,False,4.0,247.0,1,left,D. Robinson 24' 3PT pullup (3 PTS) (B. Adebayo 1 AST),"[1629130, 1628389]",1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,24.72,Made,,,,,,,3.0,B. Adebayo,1628389.0,1.0,,,,,,,,
16,PT10M21.00S,2024-12-24T00:44:26.0Z,1,REGULAR,3pt,Jump Shot,[],1641730,93.38042049934296,4.166666666666666,1610612751,3,6,2024-12-24T00:44:32Z,160000,False,-229.0,10.0,1,right,N. Clowney 3PT  (3 PTS) (K. Johnson 2 AST),"[1641730, 1630553]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Left Corner 3,24+ Left,22.94,Made,,,,,,,3.0,K. Johnson,1630553.0,2.0,,,,,,,,
