actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-07T23:43:03.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-07T23:43:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-04-07T23:43:06.3Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2025-04-07T23:43:06Z,40000,False,,,0,,Jump Ball K. Ware vs. A. Bona: Tip to T. Herro,"[1629639, 1642276, 1641737]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Ware,1642276.0,Bona,1641737.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-04-07T23:43:27.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642276,6.521024967148489,49.26470588235294,1610612748,0,0,2025-04-07T23:44:02Z,70000,False,4.0,9.0,1,left,MISS K. Ware alley-oop DUNK,[1642276],1610612748.0,MIA,alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,0.95,Missed,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2025-04-07T23:43:31.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,0,0,2025-04-07T23:43:35Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2025-04-07T23:43:57.2Z,1,REGULAR,foul,personal,[],1629022,,,1610612748,0,0,2025-04-07T23:44:04Z,100000,False,,,0,,L. Walker IV personal FOUL (1 PF),"[1629022, 202692]",1610612755.0,PHI,,,,Walker IV,L. Walker IV,,,,,Mid-Range,16-24 Left,,,,200832.0,1.0,0.0,Burks,202692.0,,,,,,,,,,,,
12,PT11M29.00S,2025-04-07T23:44:11.8Z,1,REGULAR,turnover,bad pass,[],202692,,,1610612748,0,0,2025-04-07T23:44:15Z,120000,False,,,0,,A. Burks bad pass TURNOVER (1 TO),"[202692, 1630215]",1610612748.0,MIA,,,,Burks,A. Burks,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,Butler,1630215.0,,,,,,,,,
13,PT11M29.00S,2025-04-07T23:44:11.8Z,1,REGULAR,steal,,[],1630215,,,1610612755,0,0,2025-04-07T23:44:13Z,130000,False,,,0,,J. Butler STEAL (1 STL),[1630215],1610612755.0,PHI,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2025-04-07T23:44:23.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630215,82.07950065703022,50.245098039215684,1610612755,0,2,2025-04-07T23:44:28Z,140000,False,1.0,116.0,1,right,J. Butler 11' driving floating Jump Shot (2 PTS),[1630215],1610612755.0,PHI,driving floating,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,11.6,Made,,,,,,,,,,2.0,,,,,,,,
15,PT11M05.00S,2025-04-07T23:44:38.4Z,1,REGULAR,turnover,out-of-bounds,[],1629639,,,1610612748,0,2,2025-04-07T23:44:47Z,150000,False,,,0,,T. Herro step out-of-bounds TURNOVER (1 TO),[1629639],1610612748.0,MIA,step,,,Herro,T. Herro,,,,,Mid-Range,8-16 Left,,,,1627541.0,,,,,1.0,,,,,,,,,,,
16,PT10M48.00S,2025-04-07T23:45:06.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630215,87.07293035479631,28.431372549019606,1610612755,0,2,2025-04-07T23:45:10Z,160000,False,-108.0,69.0,1,right,MISS J. Butler 12' driving floating bank Shot,[1630215],1610612755.0,PHI,driving floating bank,,,Butler,J. Butler,,,,,Mid-Range,8-16 Left,12.8,Missed,,,,,,,,,,,,,,,,,,
17,PT10M45.00S,2025-04-07T23:45:09.1Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,0,2,2025-04-07T23:45:10Z,170000,False,,,0,,K. Ware REBOUND (Off:0 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Mid-Range,8-16 Left,,,16.0,,,,,,,,,,1.0,1.0,0.0,,,,,
18,PT10M35.00S,2025-04-07T23:45:19.3Z,1,REGULAR,turnover,bad pass,[],1629639,,,1610612748,0,2,2025-04-07T23:45:23Z,180000,False,,,0,,T. Herro bad pass TURNOVER (2 TO),"[1629639, 1630542]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,,,,,2.0,Bagley,1630542.0,,,,,,,,,
19,PT10M35.00S,2025-04-07T23:45:19.3Z,1,REGULAR,steal,,[],1630542,,,1610612755,0,2,2025-04-07T23:45:21Z,190000,False,,,0,,M. Bagley STEAL (1 STL),[1630542],1610612755.0,PHI,,,,Bagley,M. Bagley,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
20,PT10M31.00S,2025-04-07T23:45:23.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630542,94.56307490144546,52.450980392156865,1610612755,0,4,2025-04-07T23:45:28Z,200000,False,12.0,-1.0,1,right,M. Bagley running finger roll Layup (2 PTS),[1630542],1610612755.0,PHI,running finger roll,,,Bagley,M. Bagley,,,,,Restricted Area,0-8 Center,1.24,Made,,,,,,,,,,2.0,,,,,,,,
21,PT10M14.00S,2025-04-07T23:45:39.3Z,1,REGULAR,3pt,Jump Shot,[],1629312,18.873193166885677,6.127450980392156,1610612748,3,4,2025-04-07T23:45:43Z,210000,False,219.0,125.0,1,left,H. Highsmith 25' 3PT  (3 PTS) (P. Larsson 1 AST),"[1629312, 1641796]",1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Right Center,25.25,Made,,,,,,,,,,3.0,,,,P. Larsson,1641796.0,1.0,,
23,PT09M58.00S,2025-04-07T23:45:55.5Z,1,REGULAR,3pt,Jump Shot,[],1629656,68.41327201051249,79.90196078431373,1610612755,3,4,2025-04-07T23:46:06Z,230000,False,150.0,244.0,1,right,MISS Q. Grimes 28' 3PT,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,28.65,Missed,,,,,,,,,,,,,,,,,,
24,PT09M55.00S,2025-04-07T23:45:58.5Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,3,4,2025-04-07T23:46:00Z,240000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,23.0,,,,,,,,,,1.0,1.0,0.0,,,,,
