actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-02T00:43:19.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-02T00:43:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2025-01-02T00:43:24.3Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2025-01-02T00:43:24Z,40000,False,,,0,,Jump Ball B. Adebayo vs. Y. Missi: Tip to T. Herro,"[1629639, 1628389, 1642274]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Adebayo,1628389.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-01-02T00:43:38.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,80.23981603153744,50.49019607843137,1610612748,2,0,2025-01-02T00:44:10Z,70000,False,2.0,133.0,1,right,B. Adebayo 13' Jump Shot (2 PTS) (D. Robinson 1 AST),"[1628389, 1629130]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,13.32,Made,2.0,D. Robinson,1629130.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2025-01-02T00:43:57.7Z,1,REGULAR,turnover,out-of-bounds,[],1627749,,,1610612740,2,0,2025-01-02T00:44:05Z,90000,False,,,0,,D. Murray lost ball out-of-bounds TURNOVER (1 TO),[1627749],1610612740.0,NOP,lost ball,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,,1629175.0,1.0,,,,,,,,,,,,
10,PT11M09.00S,2025-01-02T00:44:17.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,67.49342969776609,55.14705882352941,1610612748,5,0,2025-01-02T00:44:23Z,100000,False,26.0,253.0,1,right,D. Robinson 25' 3PT pullup (3 PTS) (T. Herro 1 AST),"[1629130, 1629639]",1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,25.44,Made,3.0,T. Herro,1629639.0,1.0,,,,,,,,,,,,,,
30,PT10M55.00S,2025-01-02T00:44:25.5Z,1,REGULAR,turnover,lost ball,[],1627749,,,1610612740,5,0,2025-01-02T00:48:49Z,115000,False,,,0,,D. Murray lost ball TURNOVER (2 TO),"[1627749, 1628389]",1610612740.0,NOP,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,2.0,Adebayo,1628389.0,,,,,,,,,,
31,PT10M55.00S,2025-01-02T00:44:25.5Z,1,REGULAR,steal,,[],1628389,,,1610612748,5,0,2025-01-02T00:48:28Z,117500,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2025-01-02T00:45:04.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629639,86.41590013140605,48.77450980392157,1610612748,7,0,2025-01-02T00:48:35Z,160000,False,-6.0,75.0,1,right,T. Herro 7' driving floating Jump Shot (2 PTS) (B. Adebayo 1 AST),"[1629639, 1628389]",1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,7.54,Made,2.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,
17,PT10M30.00S,2025-01-02T00:45:14.7Z,1,REGULAR,foul,personal,[],1629312,,,1610612740,7,0,2025-01-02T00:45:24Z,170000,False,,,0,,H. Highsmith personal FOUL (1 PF),"[1629312, 1630530]",1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Right Center,,,,,,,1629175.0,,,,1.0,0.0,Murphy III,1630530.0,,,,,,
20,PT10M20.00S,2025-01-02T00:45:41.4Z,1,REGULAR,3pt,Jump Shot,[],1630530,28.07161629434954,80.3921568627451,1610612740,7,3,2025-01-02T00:45:47Z,190000,False,-152.0,211.0,1,left,T. Murphy III 26' 3PT  (3 PTS) (D. Murray 1 AST),"[1630530, 1627749]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,26.04,Made,3.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,
