actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-06T00:12:39.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-06T00:12:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-04-06T00:12:42.3Z,1,REGULAR,jumpball,recovered,[],1641796,,,1610612748,0,0,2025-04-06T00:12:42Z,40000,False,,,0,,Jump Ball K. Ware vs. B. Lopez: Tip to P. Larsson,"[1641796, 1642276, 201572]",1610612748.0,MIA,startperiod,P. Larsson,1641796.0,Larsson,P. Larsson,Ware,1642276.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-04-06T00:12:56.6Z,1,REGULAR,turnover,bad pass,[],1641796,,,1610612748,0,0,2025-04-06T00:13:03Z,70000,False,,,0,,P. Larsson bad pass TURNOVER (1 TO),"[1641796, 1627752]",1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),0-8 Center,1.0,Prince,1627752.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-04-06T00:12:56.6Z,1,REGULAR,steal,,[],1627752,,,1610612749,0,0,2025-04-06T00:12:59Z,80000,False,,,0,,T. Prince STEAL (1 STL),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2025-04-06T00:13:04.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203507,74.98357424441524,40.19607843137255,1610612749,0,2,2025-04-06T00:14:14Z,90000,False,-49.0,183.0,1,right,G. Antetokounmpo 18' pullup Jump Shot (2 PTS),[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,,,,18.92,Made,2.0,,,,,,,,,,,,,,
10,PT11M14.00S,2025-04-06T00:13:24.3Z,1,REGULAR,3pt,Jump Shot,[],1641796,25.18068331143233,83.57843137254902,1610612748,0,2,2025-04-06T00:13:30Z,100000,False,-168.0,184.0,1,left,MISS P. Larsson 24' step back 3PT,[1641796],1610612748.0,MIA,step back,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Left Center,,,,24.92,Missed,,,,,,,,,,,,,,,
11,PT11M12.00S,2025-04-06T00:13:26.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,2,2025-04-06T00:13:30Z,110000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M06.00S,2025-04-06T00:13:34.4Z,1,REGULAR,foul,personal,['2freethrow'],1642276,,,1610612749,0,2,2025-04-06T00:13:59Z,120000,False,,,0,,K. Ware shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1642276, 203507]",1610612748.0,MIA,shooting,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202007.0,1.0,0.0,Antetokounmpo,203507.0,,,,,
14,PT11M06.00S,2025-04-06T00:14:14.8Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,0,2,2025-04-06T00:14:14Z,140000,False,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
15,PT11M06.00S,2025-04-06T00:14:14.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,0,2,2025-04-06T00:14:14Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,
