actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-19T20:14:18.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-19T20:14:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-01-19T20:14:20.3Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612759,0,0,2025-01-19T20:14:20Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. B. Adebayo: Tip to H. Barnes,"[203084, 1641705, 1628389]",1610612759.0,SAS,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Wembanyama,1641705.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2025-01-19T20:14:29.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641705,6.521024967148489,60.049019607843135,1610612759,0,2,2025-01-19T20:14:44Z,70000,False,-50.0,9.0,1,left,V. Wembanyama driving Layup (2 PTS) (C. Paul 1 AST),"[1641705, 101108]",1610612759.0,SAS,driving,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,5.1,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2025-01-19T20:14:53.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629312,92.06636005256242,61.029411764705884,1610612748,2,2,2025-01-19T20:14:58Z,90000,False,55.0,22.0,1,right,H. Highsmith driving finger roll Layup (2 PTS),[1629312],1610612748.0,MIA,driving finger roll,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,5.94,Made,2.0,,,,,,,,,,,,,,,,,
47,PT11M04.00S,2025-01-19T20:15:18.0Z,1,REGULAR,turnover,out-of-bounds,[],1630170,,,1610612759,2,2,2025-01-19T20:21:03Z,125000,False,,,0,,D. Vassell lost ball out-of-bounds TURNOVER (1 TO),[1630170],1610612759.0,SAS,lost ball,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,,,,1151.0,1.0,,,,,,,,,,,,
15,PT10M43.00S,2025-01-19T20:15:43.0Z,1,REGULAR,turnover,out-of-bounds,[],1629130,,,1610612748,2,2,2025-01-19T20:16:06Z,150000,False,,,0,,D. Robinson step out-of-bounds TURNOVER (1 TO),[1629130],1610612748.0,MIA,step,,,Robinson,D. Robinson,,,,,Left Corner 3,24+ Left,,,,,,,1199.0,1.0,,,,,,,,,,,,
16,PT10M32.00S,2025-01-19T20:16:11.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642264,6.783837056504599,39.705882352941174,1610612759,2,2,2025-01-19T21:09:41Z,160000,False,51.0,11.0,1,left,MISS S. Castle floating Shot,[1642264],1610612759.0,SAS,floating,,,Castle,S. Castle,,,,,In The Paint (Non-RA),0-8 Center,5.27,Missed,,,,,,,,,,,,,,,,,,
17,PT10M30.00S,2025-01-19T20:16:13.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,2,2025-01-19T21:08:52Z,170000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,
18,PT10M19.00S,2025-01-19T20:16:19.1Z,1,REGULAR,foul,personal,['2freethrow'],1641705,,,1610612748,2,2,2025-01-19T20:16:44Z,180000,False,,,0,,V. Wembanyama shooting personal FOUL (1 PF) (Butler 2 FT),"[1641705, 202710]",1610612759.0,SAS,shooting,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,202058.0,,,,,,1.0,0.0,Butler,202710.0,,,,
20,PT10M19.00S,2025-01-19T20:16:48.6Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,3,2,2025-01-19T20:16:48Z,200000,False,,,0,,J. Butler Free Throw 1 of 2 (1 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
21,PT10M19.00S,2025-01-19T20:17:08.0Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,4,2,2025-01-19T20:17:08Z,210000,False,,,0,,J. Butler Free Throw 2 of 2 (2 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
22,PT10M05.00S,2025-01-19T20:17:24.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,8.360709592641262,43.872549019607845,1610612759,4,4,2025-01-19T20:17:30Z,220000,False,31.0,26.0,1,left,H. Barnes driving Layup (2 PTS) (D. Vassell 1 AST),"[203084, 1630170]",1610612759.0,SAS,driving,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,4.02,Made,2.0,D. Vassell,1630170.0,1.0,,,,,,,,,,,,,,
