actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2024-11-05T01:16:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-05T01:16:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-11-05T01:16:43.5Z,1,REGULAR,jumpball,recovered,[],0,,,1610612748,0,0,2024-11-05T01:16:43Z,40000,False,,,0,,Jump Ball B. Adebayo vs. D. Sabonis: Tip to Team (MIA),"[1628389, 1627734]",1610612748.0,MIA,startperiod,Team (MIA),Adebayo,1628389.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M31.00S,2024-11-05T01:17:20.5Z,1,REGULAR,3pt,Jump Shot,[],1626179,17.95335085413929,92.8921568627451,1610612748,0,0,2024-11-05T01:17:34Z,70000,False,-214.0,116.0,1,left,MISS T. Rozier 24' step back 3PT,[1626179],1610612748.0,MIA,step back,,,,,,Above the Break 3,24+ Left Center,24.4,Missed,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2024-11-05T01:17:23.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,0,0,2024-11-05T01:17:23Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2024-11-05T01:17:41.9Z,1,REGULAR,foul,personal,['2freethrow'],1631165,,,1610612748,0,0,2024-11-05T01:17:50Z,90000,False,,,0,,K. Ellis shooting personal FOUL (1 PF) (Herro 2 FT),"[1631165, 1629639]",1610612758.0,SAC,shooting,,,,,,Mid-Range,8-16 Left,,,Ellis,K. Ellis,,1628482.0,1.0,0.0,Herro,1629639.0,,,,,,,,,,,,,
11,PT11M28.00S,2024-11-05T01:18:08.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629639,,,1610612748,1,0,2024-11-05T01:18:27Z,110000,False,,,0,,T. Herro Free Throw 1 of 2 (1 PTS),[1629639],1610612748.0,MIA,,,,,,,,,,Made,Herro,T. Herro,,,,,,,1.0,,,,,,,,,,,,
12,PT11M28.00S,2024-11-05T01:18:08.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629639,,,1610612748,1,0,2024-11-05T01:18:27Z,120000,False,,,0,,MISS T. Herro Free Throw 2 of 2,[1629639],1610612748.0,MIA,,,,,,,,,,Missed,Herro,T. Herro,,,,,,,,,,,,,,,,,,,
13,PT11M24.00S,2024-11-05T01:18:12.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,1,0,2024-11-05T01:18:27Z,130000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,,,,,,,,Sabonis,D. Sabonis,12.0,,,,,,,1.0,1.0,0.0,,,,,,,,,
14,PT11M06.00S,2024-11-05T01:18:42.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631165,91.01511169513797,45.34313725490196,1610612758,1,0,2024-11-05T01:18:49Z,140000,False,-23.0,32.0,1,right,MISS K. Ellis driving Layup - blocked,"[1631165, 1628389]",1610612758.0,SAC,driving,,,,,,Restricted Area,0-8 Center,3.96,Missed,Ellis,K. Ellis,,,,,,,,,,,Adebayo,1628389.0,,,,,,,
15,PT11M06.00S,2024-11-05T01:18:42.5Z,1,REGULAR,block,,[],1628389,,,1610612758,1,0,2024-11-05T01:18:46Z,150000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
16,PT11M01.00S,2024-11-05T01:18:47.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,1,0,2024-11-05T01:18:49Z,160000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,Adebayo,B. Adebayo,14.0,,,,,,,1.0,1.0,0.0,,,,,,,,,
17,PT10M46.00S,2024-11-05T01:19:02.5Z,1,REGULAR,3pt,Jump Shot,[],1629639,34.773324572930356,48.77450980392157,1610612748,4,0,2024-11-05T01:19:09Z,170000,False,6.0,274.0,1,left,T. Herro 27' 3PT  (4 PTS) (J. Butler 1 AST),"[1629639, 202710]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,27.45,Made,Herro,T. Herro,,,,,,,4.0,,,,,,J. Butler,202710.0,1.0,,,,
19,PT10M20.00S,2024-11-05T01:19:27.9Z,1,REGULAR,2pt,Jump Shot,[],1628368,78.79434954007884,30.88235294117647,1610612758,4,0,2024-11-05T01:19:35Z,190000,False,-96.0,147.0,1,right,MISS D. Fox 17' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,,,,Mid-Range,16-24 Left Center,17.52,Missed,Fox,D. Fox,,,,,,,,,,,,,,,,,,,
20,PT10M18.00S,2024-11-05T01:19:29.9Z,1,REGULAR,rebound,offensive,[],1628368,,,1610612758,4,0,2024-11-05T01:19:35Z,200000,False,,,0,,D. Fox REBOUND (Off:1 Def:0),[1628368],1610612758.0,SAC,,,,,,,Mid-Range,16-24 Left Center,,,Fox,D. Fox,19.0,,,,,,,1.0,0.0,1.0,,,,,,,,,
21,PT10M16.00S,2024-11-05T01:19:32.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627734,66.17936925098554,49.50980392156863,1610612758,4,3,2024-11-05T01:19:39Z,210000,False,-2.0,265.0,1,right,D. Sabonis 26' 3PT  (3 PTS) (D. Fox 1 AST),"[1627734, 1628368]",1610612758.0,SAC,,,,,,,Above the Break 3,24+ Center,26.54,Made,Sabonis,D. Sabonis,,,,,,,3.0,,,,,,D. Fox,1628368.0,1.0,,,,
23,PT09M59.00S,2024-11-05T01:19:51.5Z,1,REGULAR,turnover,out-of-bounds,[],202710,,,1610612748,4,3,2024-11-05T01:20:01Z,230000,False,,,0,,J. Butler bad pass out-of-bounds TURNOVER (1 TO),[202710],1610612748.0,MIA,bad pass,,,,,,Above the Break 3,24+ Left Center,,,Butler,J. Butler,,101284.0,,,,,,,,,,,,,,1.0,,,
24,PT09M46.00S,2024-11-05T01:20:11.1Z,1,REGULAR,foul,personal,['2freethrow'],202710,,,1610612758,4,3,2024-11-05T01:20:20Z,240000,False,,,0,,J. Butler shooting personal FOUL (1 PF) (DeRozan 2 FT),"[202710, 201942]",1610612748.0,MIA,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,Butler,J. Butler,,202053.0,1.0,0.0,DeRozan,201942.0,,,,,,,,,,,,,
26,PT09M46.00S,2024-11-05T01:20:38.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201942,,,1610612758,4,4,2024-11-05T01:20:38Z,260000,False,,,0,,D. DeRozan Free Throw 1 of 2 (1 PTS),[201942],1610612758.0,SAC,,,,,,,,,,Made,DeRozan,D. DeRozan,,,,,,,1.0,,,,,,,,,,,,
27,PT09M46.00S,2024-11-05T01:20:55.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201942,,,1610612758,4,5,2024-11-05T01:20:55Z,270000,False,,,0,,D. DeRozan Free Throw 2 of 2 (2 PTS),[201942],1610612758.0,SAC,,,,,,,,,,Made,DeRozan,D. DeRozan,,,,,,,2.0,,,,,,,,,,,,
28,PT09M37.00S,2024-11-05T01:21:05.1Z,1,REGULAR,turnover,bad pass,[],1629639,,,1610612748,4,5,2024-11-05T01:21:10Z,280000,False,,,0,,T. Herro bad pass TURNOVER (1 TO),"[1629639, 1631165]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,Herro,T. Herro,,,,,,,,,,,,,,,,1.0,Ellis,1631165.0,
