actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-03T23:35:26.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-03T23:35:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-04-03T23:35:28.5Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2025-04-03T23:35:28Z,40000,False,,,0,,Jump Ball K. Ware vs. Z. Edey: Tip to T. Herro,"[1629639, 1642276, 1641744]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Ware,1642276.0,Edey,1641744.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-04-03T23:35:45.8Z,1,REGULAR,3pt,Jump Shot,[],1628389,94.82588699080158,96.07843137254902,1610612748,3,0,2025-04-03T23:35:52Z,70000,False,230.0,-4.0,1,right,B. Adebayo 3PT  (3 PTS) (P. Larsson 1 AST),"[1628389, 1641796]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Right Corner 3,24+ Right,23.04,Made,3.0,P. Larsson,1641796.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2025-04-03T23:36:02.3Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,3,0,2025-04-03T23:36:07Z,90000,False,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 1641796]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Larsson,1641796.0,,,,,,,,,,,
10,PT11M23.00S,2025-04-03T23:36:02.3Z,1,REGULAR,steal,,[],1641796,,,1610612748,3,0,2025-04-03T23:36:04Z,100000,False,,,0,,P. Larsson STEAL (1 STL),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2025-04-03T23:36:14.0Z,1,REGULAR,foul,personal,['2freethrow'],1630217,,,1610612748,3,0,2025-04-03T23:36:20Z,120000,False,,,0,,D. Bane shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1630217, 1628389]",1610612763.0,MEM,shooting,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1627534.0,1.0,0.0,Adebayo,1628389.0,,,,,,
14,PT11M19.00S,2025-04-03T23:36:41.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1628389,,,1610612748,4,0,2025-04-03T23:37:19Z,140000,False,,,0,,B. Adebayo Free Throw 1 of 2 (4 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
15,PT11M19.00S,2025-04-03T23:36:41.5Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1628389,,,1610612748,5,0,2025-04-03T23:37:19Z,150000,False,,,0,,B. Adebayo Free Throw 2 of 2 (5 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
16,PT11M06.00S,2025-04-03T23:37:12.0Z,1,REGULAR,2pt,Jump Shot,[],1629630,20.630749014454665,70.36611519607843,1610612763,5,0,2025-04-03T23:37:23Z,160000,False,-102.0,141.0,1,left,MISS J. Morant 17' step back Shot,[1629630],1610612763.0,MEM,step back,,,Morant,J. Morant,,,,,Mid-Range,16-24 Left Center,17.42,Missed,,,,,,,,,,,,,,,,,,
17,PT11M03.00S,2025-04-03T23:37:15.0Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,5,0,2025-04-03T23:37:23Z,170000,False,,,0,,K. Ware REBOUND (Off:0 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,
18,PT10M48.00S,2025-04-03T23:37:30.5Z,1,REGULAR,2pt,Jump Shot,[],1628389,86.02168199737189,25.0,1610612748,7,0,2025-04-03T23:37:37Z,180000,False,-125.0,79.0,1,right,B. Adebayo 14' step back Jump Shot (7 PTS) (A. Burks 1 AST),"[1628389, 202692]",1610612748.0,MIA,step back,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,14.78,Made,7.0,A. Burks,202692.0,1.0,,,,,,,,,,,,,,
19,PT10M32.00S,2025-04-03T23:37:45.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,14.931011826544022,52.450980392156865,1610612763,7,0,2025-04-03T23:39:13Z,190000,False,-12.0,88.0,1,left,MISS J. Jackson Jr. 8' driving floating Shot - blocked,"[1628991, 1628389]",1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,8.88,Missed,,,,,,,,,,,,,,,,,Adebayo,1628389.0
