actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-13T17:12:41.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-13T17:12:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2025-04-13T17:12:46.2Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2025-04-13T17:12:46Z,40000,False,,,0,,Jump Ball A. Sarr vs. K. Ware: Tip to B. Carrington,"[1642267, 1642259, 1642276]",1610612764.0,WAS,startperiod,B. Carrington,1642267.0,Carrington,B. Carrington,Sarr,1642259.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2025-04-13T17:12:50.7Z,1,REGULAR,turnover,bad pass,[],1642358,,,1610612764,0,0,2025-04-13T17:12:54Z,70000,False,,,0,,A. Johnson bad pass TURNOVER (1 TO),"[1642358, 1630558]",1610612764.0,WAS,,,,Johnson,A. Johnson,,,,,Mid-Range,8-16 Center,1.0,Mitchell,1630558.0,,,,,,,,,,,,,,,,,
8,PT11M50.00S,2025-04-13T17:12:50.7Z,1,REGULAR,steal,,[],1630558,,,1610612748,0,0,2025-04-13T17:12:53Z,80000,False,,,0,,D. Mitchell STEAL (1 STL),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2025-04-13T17:12:54.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630558,6.258212877792378,52.20588235294118,1610612748,2,0,2025-04-13T17:13:06Z,90000,False,-11.0,6.0,1,left,D. Mitchell running Layup (2 PTS),[1630558],1610612748.0,MIA,running,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,1.27,Made,2.0,,,,,,,,,,,,,,
10,PT11M29.00S,2025-04-13T17:13:10.8Z,1,REGULAR,3pt,Jump Shot,[],1642273,68.67608409986859,30.637254901960787,1610612764,2,0,2025-04-13T17:13:20Z,100000,False,-97.0,242.0,1,right,MISS K. George 26' pullup 3PT,[1642273],1610612764.0,WAS,pullup,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,,26.05,Missed,,,,,,,,,,,,,,,
11,PT11M28.00S,2025-04-13T17:13:11.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,2,0,2025-04-13T17:13:20Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,10.0,,,,,,,,,,,,,
12,PT11M28.00S,2025-04-13T17:13:19.6Z,1,REGULAR,foul,personal,[],1631170,,,1610612764,2,0,2025-04-13T17:13:30Z,120000,False,,,0,,J. Jaquez Jr. loose ball personal FOUL (1 PF),"[1631170, 1630551]",1610612748.0,MIA,loose ball,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,1627963.0,1.0,0.0,Champagnie,1630551.0,,,,,,,,
14,PT11M19.00S,2025-04-13T17:13:45.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642267,92.32917214191852,47.05882352941176,1610612764,2,2,2025-04-13T17:13:50Z,140000,False,-15.0,20.0,1,right,B. Carrington cutting Layup (2 PTS) (A. Sarr 1 AST),"[1642267, 1642259]",1610612764.0,WAS,cutting,,,Carrington,B. Carrington,,,,,Restricted Area,0-8 Center,,,,2.45,Made,2.0,,,,,,,A. Sarr,1642259.0,1.0,,,,,
16,PT11M03.00S,2025-04-13T17:14:01.6Z,1,REGULAR,3pt,Jump Shot,[],1642276,31.225361366622867,66.91176470588235,1610612748,5,2,2025-04-13T17:14:05Z,160000,False,-85.0,241.0,1,left,K. Ware 25' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1642276, 1630558]",1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Left Center,,,,25.54,Made,3.0,,,,,,,D. Mitchell,1630558.0,1.0,,,,,
18,PT10M45.00S,2025-04-13T17:14:18.5Z,1,REGULAR,3pt,Jump Shot,[],1642267,69.07030223390277,30.14705882352941,1610612764,5,2,2025-04-13T17:15:02Z,180000,False,-99.0,238.0,1,right,MISS B. Carrington 25' 3PT,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Left Center,,,,25.81,Missed,,,,,,,,,,,,,,,
19,PT10M42.00S,2025-04-13T17:14:21.5Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,5,2,2025-04-13T17:14:23Z,190000,False,,,0,,K. Ware REBOUND (Off:0 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Left Center,,,,,,,18.0,,,,,,,,,1.0,1.0,0.0,,
20,PT10M34.00S,2025-04-13T17:14:30.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642276,6.258212877792378,50.73529411764706,1610612748,7,2,2025-04-13T17:14:34Z,200000,False,-4.0,6.0,1,left,K. Ware alley-oop DUNK (5 PTS) (D. Mitchell 2 AST),"[1642276, 1630558]",1610612748.0,MIA,alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,0.73,Made,5.0,,,,,,,D. Mitchell,1630558.0,2.0,,,,,
22,PT10M20.00S,2025-04-13T17:14:43.5Z,1,REGULAR,3pt,Jump Shot,[],1642358,70.38436268068331,71.07843137254902,1610612764,7,2,2025-04-13T17:14:47Z,220000,False,105.0,226.0,1,right,MISS A. Johnson 24' pullup 3PT,[1642358],1610612764.0,WAS,pullup,,,Johnson,A. Johnson,,,,,Above the Break 3,24+ Right Center,,,,24.93,Missed,,,,,,,,,,,,,,,
23,PT10M17.00S,2025-04-13T17:14:46.5Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,7,2,2025-04-13T17:14:47Z,230000,False,,,0,,K. Ware REBOUND (Off:0 Def:2),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Right Center,,,,,,,22.0,,,,,,,,,2.0,2.0,0.0,,
24,PT10M10.00S,2025-04-13T17:14:56.8Z,1,REGULAR,turnover,out-of-bounds,[],1631170,,,1610612748,7,2,2025-04-13T17:15:02Z,240000,False,,,0,,J. Jaquez Jr. bad pass out-of-bounds TURNOVER (1 TO),[1631170],1610612748.0,MIA,bad pass,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,1.0,,,,,,,101283.0,,,,,,,,,,,,
25,PT09M59.00S,2025-04-13T17:15:12.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1642259,81.02825229960578,31.61764705882353,1610612764,7,4,2025-04-13T17:15:22Z,250000,False,-92.0,126.0,1,right,A. Sarr 15' fadeaway Jump Shot (2 PTS),[1642259],1610612764.0,WAS,fadeaway,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Left,,,,15.58,Made,2.0,,,,,,,,,,,,,,
26,PT09M47.00S,2025-04-13T17:15:24.5Z,1,REGULAR,3pt,Jump Shot,[],1629130,32.013797634691194,41.42156862745098,1610612748,7,4,2025-04-13T17:15:30Z,260000,False,43.0,248.0,1,left,MISS D. Robinson 25' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,,,,25.21,Missed,,,,,,,,,,,,,,,
27,PT09M43.00S,2025-04-13T17:15:28.5Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,7,4,2025-04-13T17:15:30Z,270000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Center,,,,,,,26.0,,,,,,,,,1.0,1.0,0.0,,
28,PT09M39.00S,2025-04-13T17:15:33.4Z,1,REGULAR,3pt,Jump Shot,[],1630551,75.24638633377135,15.931372549019606,1610612764,7,7,2025-04-13T17:15:39Z,280000,False,-170.0,180.0,1,right,J. Champagnie 24' 3PT  (3 PTS) (K. George 1 AST),"[1630551, 1642273]",1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,24.79,Made,3.0,,,,,,,K. George,1642273.0,1.0,,,,,
30,PT09M19.00S,2025-04-13T17:15:52.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629312,16.376478318002626,50.73529411764706,1610612748,7,7,2025-04-13T17:15:57Z,300000,False,-4.0,101.0,1,left,MISS H. Highsmith 10' floating Shot,[1629312],1610612748.0,MIA,floating,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),8-16 Center,,,,10.15,Missed,,,,,,,,,,,,,,,
31,PT09M17.00S,2025-04-13T17:15:54.4Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,7,7,2025-04-13T17:15:57Z,310000,False,,,0,,A. Sarr REBOUND (Off:0 Def:2),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,30.0,,,,,,,,,2.0,2.0,0.0,,
32,PT09M13.00S,2025-04-13T17:16:02.2Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612764,7,7,2025-04-13T17:16:28Z,320000,False,,,0,,D. Robinson shooting personal FOUL (1 PF) (Sarr 2 FT),"[1629130, 1642259]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,202058.0,1.0,0.0,Sarr,1642259.0,,,,,,,,
34,PT09M13.00S,2025-04-13T17:16:40.1Z,1,REGULAR,freethrow,1 of 2,[],1642259,,,1610612764,7,7,2025-04-13T17:16:40Z,340000,False,,,0,,MISS A. Sarr Free Throw 1 of 2,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
35,PT09M13.00S,2025-04-13T17:16:40.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,7,7,2025-04-13T17:16:40Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,
36,PT09M13.00S,2025-04-13T17:16:55.9Z,1,REGULAR,freethrow,2 of 2,[],1642259,,,1610612764,7,8,2025-04-13T17:16:55Z,360000,False,,,0,,A. Sarr Free Throw 2 of 2 (3 PTS),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
37,PT08M58.00S,2025-04-13T17:17:13.8Z,1,REGULAR,3pt,Jump Shot,[],1629312,4.681340341655716,3.431372549019608,1610612748,7,8,2025-04-13T17:17:21Z,370000,False,233.0,-8.0,1,left,MISS H. Highsmith 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Right Corner 3,24+ Right,,,,23.3,Missed,,,,,,,,,,,,,,,
38,PT08M54.00S,2025-04-13T17:17:17.8Z,1,REGULAR,rebound,offensive,[],1629312,,,1610612748,7,8,2025-04-13T17:18:25Z,380000,False,,,0,,H. Highsmith REBOUND (Off:1 Def:0),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Right Corner 3,24+ Right,,,,,,,37.0,,,,,,,,,1.0,0.0,1.0,,
