actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-23T22:12:25.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-23T22:12:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-23T22:12:28.1Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2025-03-23T22:12:28Z,40000,False,,,0,,Jump Ball M. Williams vs. K. Ware: Tip to L. Ball,"[1630163, 1631109, 1642276]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Williams,1631109.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-03-23T22:12:38.6Z,1,REGULAR,violation,kicked ball,[],1642276,,,1610612766,0,0,2025-03-23T22:13:17Z,70000,False,,,0,,K. Ware kicked ball VIOLATION,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,201639.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2025-03-23T22:13:09.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629610,11.645860709592641,37.99019607843137,1610612766,0,2,2025-03-23T22:14:04Z,80000,False,60.0,57.0,1,left,D. Jeffries 8' driving floating bank Jump Shot (2 PTS),[1629610],1610612766.0,CHA,driving floating bank,,,Jeffries,D. Jeffries,,,,,,In The Paint (Non-RA),8-16 Right,8.28,Made,2.0,,,,,,,,,,,,,,,,
9,PT11M14.00S,2025-03-23T22:13:30.3Z,1,REGULAR,3pt,Jump Shot,[],203952,66.5735873850197,59.31372549019608,1610612748,3,2,2025-03-23T22:13:37Z,90000,False,47.0,262.0,1,right,A. Wiggins 26' 3PT  (3 PTS) (D. Robinson 1 AST),"[203952, 1629130]",1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,Above the Break 3,24+ Center,26.58,Made,3.0,D. Robinson,1629130.0,1.0,,,,,,,,,,,,,
11,PT11M03.00S,2025-03-23T22:13:44.1Z,1,REGULAR,turnover,out-of-bounds,[],1631109,,,1610612766,3,2,2025-03-23T22:13:52Z,110000,False,,,0,,M. Williams bad pass out-of-bounds TURNOVER (1 TO),[1631109],1610612766.0,CHA,bad pass,,,Williams,M. Williams,,,,,1628951.0,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,,,,,,,,,,,,
13,PT10M47.00S,2025-03-23T22:14:06.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628389,92.59198423127464,3.9215686274509802,1610612748,3,2,2025-03-23T22:15:27Z,130000,False,-230.0,17.0,1,right,MISS B. Adebayo step back 3PT,[1628389],1610612748.0,MIA,step back,,,Adebayo,B. Adebayo,,,,,,Left Corner 3,24+ Left,23.1,Missed,,,,,,,,,,,,,,,,,
14,PT10M43.00S,2025-03-23T22:14:10.4Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,3,2,2025-03-23T22:14:14Z,140000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Left Corner 3,24+ Left,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M39.00S,2025-03-23T22:14:15.4Z,1,REGULAR,3pt,Jump Shot,[],1641733,30.56833114323259,63.970588235294116,1610612766,3,2,2025-03-23T22:14:24Z,150000,False,-70.0,235.0,1,left,MISS N. Smith Jr. 24' pullup 3PT,[1641733],1610612766.0,CHA,pullup,,,Smith Jr.,N. Smith Jr.,,,,,,Above the Break 3,24+ Center,24.5,Missed,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2025-03-23T22:14:19.4Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,3,2,2025-03-23T22:14:24Z,160000,False,,,0,,K. Ware REBOUND (Off:0 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,Above the Break 3,24+ Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
