actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-08T01:13:06.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-08T01:13:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2025-03-08T01:13:12.3Z,1,REGULAR,jumpball,recovered,[],201567,,,1610612748,0,0,2025-03-08T01:13:12Z,40000,False,,,0,,Jump Ball B. Adebayo vs. N. Reid: Tip to K. Love,"[201567, 1628389, 1629675]",1610612748.0,MIA,startperiod,K. Love,201567.0,Love,K. Love,Adebayo,1628389.0,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-03-08T01:13:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641796,92.46057818659659,52.450980392156865,1610612748,2,0,2025-03-08T01:14:03Z,70000,False,12.0,18.0,1,right,P. Larsson cutting finger roll Layup (2 PTS) (D. Mitchell 1 AST),"[1641796, 1630558]",1610612748.0,MIA,cutting finger roll,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,2.21,Made,2.0,D. Mitchell,1630558.0,1.0,,,,,,,,,,,,,,
9,PT11M44.00S,2025-03-08T01:13:31.8Z,1,REGULAR,foul,personal,['1freethrow'],1630162,,,1610612748,2,0,2025-03-08T01:13:43Z,90000,False,,,0,,A. Edwards shooting personal FOUL (1 PF) (Larsson 1 FT),"[1630162, 1641796]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,202041.0,1.0,0.0,Larsson,1641796.0,,,,,,,,,
11,PT11M44.00S,2025-03-08T01:13:51.1Z,1,REGULAR,freethrow,1 of 1,[],1641796,,,1610612748,3,0,2025-03-08T01:13:51Z,110000,False,,,0,,P. Larsson Free Throw 1 of 1 (3 PTS),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2025-03-08T01:14:12.7Z,1,REGULAR,2pt,Jump Shot,[],203944,20.05584756898817,28.431372549019606,1610612750,3,2,2025-03-08T01:14:17Z,120000,False,108.0,136.0,1,left,J. Randle 17' pullup Jump Shot (2 PTS),[203944],1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,Mid-Range,16-24 Right Center,17.35,Made,2.0,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2025-03-08T01:14:33.9Z,1,REGULAR,2pt,Jump Shot,[],201567,79.188567674113,50.245098039215684,1610612748,3,2,2025-03-08T01:14:43Z,130000,False,1.0,143.0,1,right,MISS K. Love 14' turnaround fadeaway Shot - blocked,"[201567, 1629675]",1610612748.0,MIA,turnaround fadeaway,,,Love,K. Love,,,,,Mid-Range,8-16 Center,14.31,Missed,,,,,,,,,,Reid,1629675.0,,,,,,,
14,PT11M01.00S,2025-03-08T01:14:33.9Z,1,REGULAR,block,,[],1629675,,,1610612748,3,2,2025-03-08T01:14:36Z,140000,False,,,0,,N. Reid BLOCK (1 BLK),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2025-03-08T01:14:37.9Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,3,2,2025-03-08T01:14:43Z,150000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,
16,PT10M51.00S,2025-03-08T01:14:44.1Z,1,REGULAR,3pt,Jump Shot,[],1629675,9.017739816031538,95.58823529411765,1610612750,3,5,2025-03-08T01:14:50Z,160000,False,-228.0,32.0,1,left,N. Reid 3PT  (3 PTS) (J. McDaniels 1 AST),"[1629675, 1630183]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Left Corner 3,24+ Left,23.02,Made,3.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,,,,,
